compliance,acceleration,deceleration,result
1,5,1,27
1,4,3,42
1,5,1,24
4,5,5,75
1,1,3,25
5,5,5,91
3,5,4,83
1,5,3,46
5,5,5,100
3,5,5,79
4,5,4,89
3,5,4,59
4,5,4,85
5,5,5,90
5,5,5,99
3,3,1,35
5,1,1,32
1,3,1,38
1,1,1,23
5,4,4,90
3,5,5,91
3,3,1,56
1,2,1,24
3,5,5,87
3,4,3,68
1,1,5,53
1,3,4,50
5,3,4,89
2,5,5,60
1,1,1,24
1,5,4,43
5,5,5,98
4,5,4,88
1,2,1,24
3,5,4,74
3,5,3,62
5,4,5,99
2,5,5,68
5,5,4,91
5,5,5,98
1,2,3,25
3,5,5,76
1,1,1,25
1,5,3,31
4,5,5,96
1,1,1,28
2,5,5,68
5,3,2,67
1,3,3,40
1,3,4,50
5,5,3,82
1,4,1,27
3,5,4,81
2,5,3,43
1,3,5,49
5,5,5,90
1,5,3,32
5,5,5,92
4,5,5,89
2,5,4,48
1,5,4,39
4,5,5,99
1,5,5,58
1,5,3,46
3,3,3,75
1,3,1,31
1,1,1,24
4,5,5,94
4,5,4,89
4,5,4,81
1,3,1,31
3,2,4,68
3,3,3,74
5,5,5,98
1,4,3,30
5,5,5,87
3,4,3,73
2,3,4,53
4,5,4,89
3,5,5,82
4,5,5,77
5,5,5,95
5,5,5,94
3,5,5,87
2,1,1,24
4,5,4,89
3,3,5,66
1,5,1,24
1,4,3,42
3,5,4,74
2,5,4,46
4,5,5,98
3,4,5,78
1,5,3,38
3,2,5,76
3,5,3,63
1,2,1,23
4,5,2,77
4,4,4,92
4,5,5,75
5,5,5,97
4,5,5,99
3,3,3,65
3,3,1,56
2,5,3,63
2,5,3,55
1,4,4,51
2,5,3,41
2,4,3,41
3,5,5,82
5,5,5,95
5,3,4,92
5,1,5,94
4,5,5,97
1,3,2,33
4,5,5,95
1,1,1,23
3,5,3,73
5,5,5,94
3,5,4,81
5,5,5,99
2,4,3,63
3,4,3,73
3,5,5,92
2,4,3,53
5,5,5,94
1,3,1,31
1,3,3,25
1,5,3,31
3,5,3,76
4,4,4,91
2,3,1,29
3,5,5,77
5,5,3,95
1,2,3,25
5,5,5,88
5,5,3,85
2,5,3,43
3,5,5,89
3,3,5,66
1,4,3,38
1,5,5,45
4,5,5,88
5,5,5,92
