compl,accel,decel,result
1,1,1,23
1,1,2,28
1,1,3,33
1,1,4,41
1,1,5,50
1,2,1,25
1,2,2,30
1,2,3,34
1,2,4,39
1,2,5,47
1,3,1,26
1,3,2,31
1,3,3,36
1,3,4,40
1,3,5,46
1,4,1,27
1,4,2,33
1,4,3,37
1,4,4,42
1,4,5,46
1,5,1,29
1,5,2,35
1,5,3,39
1,5,4,44
1,5,5,48
2,1,1,31
2,1,2,39
2,1,3,45
2,1,4,51
2,1,5,58
2,2,1,35
2,2,2,42
2,2,3,47
2,2,4,52
2,2,5,58
2,3,1,36
2,3,2,45
2,3,3,51
2,3,4,55
2,3,5,58
2,4,1,37
2,4,2,47
2,4,3,53
2,4,4,57
2,4,5,61
2,5,1,38
2,5,2,48
2,5,3,54
2,5,4,59
2,5,5,63
3,1,1,34
3,1,2,47
3,1,3,55
3,1,4,61
3,1,5,67
3,2,1,41
3,2,2,52
3,2,3,57
3,2,4,63
3,2,5,69
3,3,1,43
3,3,2,55
3,3,3,61
3,3,4,66
3,3,5,70
3,4,1,44
3,4,2,58
3,4,3,64
3,4,4,70
3,4,5,74
3,5,1,45
3,5,2,59
3,5,3,67
3,5,4,73
3,5,5,78
4,1,1,38
4,1,2,51
4,1,3,64
4,1,4,72
4,1,5,78
4,2,1,46
4,2,2,59
4,2,3,68
4,2,4,73
4,2,5,79
4,3,1,50
4,3,2,61
4,3,3,71
4,3,4,76
4,3,5,81
4,4,1,51
4,4,2,64
4,4,3,75
4,4,4,80
4,4,5,85
4,5,1,52
4,5,2,66
4,5,3,78
4,5,4,83
4,5,5,89
5,1,1,42
5,1,2,55
5,1,3,68
5,1,4,79
5,1,5,88
5,2,1,50
5,2,2,63
5,2,3,76
5,2,4,84
5,2,5,90
5,3,1,57
5,3,2,68
5,3,3,79
5,3,4,87
5,3,5,91
5,4,1,58
5,4,2,71
5,4,3,81
5,4,4,90
5,4,5,95
5,5,1,58
5,5,2,72
5,5,3,85
5,5,4,93
5,5,5,99
