compliance,acceleration,deceleration,result
1,5,1,19
2,4,1,20
3,1,1,21
2,1,1,21
2,4,1,21
4,1,1,23
2,1,1,23
2,5,1,23
3,1,1,24
2,2,1,25
1,3,2,26
4,5,1,26
1,2,3,27
3,4,1,27
1,2,1,27
1,4,1,28
1,4,2,29
1,1,4,30
1,3,3,30
1,4,2,30
4,1,1,30
2,3,1,30
5,5,1,31
1,2,5,32
1,2,5,33
1,4,4,33
2,1,2,33
1,2,5,34
2,2,3,34
1,3,2,34
5,2,1,34
1,2,5,35
1,5,4,36
1,5,3,36
2,2,3,38
2,3,2,39
1,3,5,40
1,4,4,40
1,5,5,41
1,5,4,41
2,2,3,41
2,4,3,41
4,2,1,41
2,5,4,42
2,3,4,43
2,5,2,43
5,4,1,43
1,3,5,44
2,1,3,44
4,2,1,44
5,4,2,46
2,5,4,47
3,3,1,47
2,3,5,48
1,4,5,48
1,1,5,49
5,1,3,49
2,3,5,50
4,1,3,50
5,4,2,50
2,2,5,51
2,3,5,51
1,4,5,51
3,3,5,52
1,1,5,52
3,2,2,52
2,3,5,53
2,4,5,53
1,1,5,53
3,2,1,53
2,1,4,54
5,1,3,54
5,1,3,56
3,2,3,57
4,2,2,58
3,2,2,58
3,5,2,60
5,5,2,61
5,4,3,62
5,5,2,62
3,4,5,63
5,2,3,63
5,3,2,63
4,4,2,63
3,5,2,63
3,4,3,65
4,4,2,65
3,5,2,65
5,2,3,66
3,3,3,67
3,4,5,68
3,3,3,68
3,4,3,68
4,4,2,69
4,5,2,69
3,4,4,71
4,4,5,72
3,5,4,72
4,2,3,72
4,4,3,72
4,5,2,72
2,1,5,74
3,5,4,74
5,1,4,75
3,1,4,75
4,4,5,76
4,3,4,77
4,5,4,77
4,4,5,78
4,2,4,78
4,5,2,78
4,4,4,79
3,1,5,80
4,5,5,81
4,4,3,81
5,5,5,82
5,3,4,82
3,1,5,83
5,1,5,84
4,2,5,87
5,4,5,88
4,1,5,89
4,2,5,89
5,2,5,94
5,2,5,96
1,5,1,18
1,1,2,20
1,1,2,21
1,2,3,22
1,1,2,22
4,4,1,22
2,2,1,23
1,2,2,24
4,1,1,24
3,4,1,25
5,5,1,26
1,4,2,27
2,3,1,27
2,5,1,27
2,5,1,28
1,3,3,29
2,1,2,29
5,1,1,29
3,4,1,29
1,4,3,30
1,3,2,30
5,5,1,30
1,5,2,31
1,1,4,32
1,3,3,32
4,1,2,32
1,5,4,33
3,1,2,33
1,3,3,34
3,1,2,34
1,4,2,34
1,3,1,34
4,1,2,35
3,1,2,36
2,3,2,36
1,5,3,37
5,2,1,37
2,2,2,38
5,4,1,38
2,2,4,39
1,3,4,39
4,1,2,39
2,2,2,39
2,4,2,39
4,2,1,39
1,5,4,40
5,2,2,41
4,1,2,41
2,4,2,41
1,3,5,42
3,3,1,42
2,2,4,43
2,5,4,43
2,4,2,43
1,4,5,44
1,5,5,44
2,2,4,45
3,3,1,46
1,3,4,47
2,5,2,47
2,5,3,48
3,3,1,48
2,3,5,49
3,2,2,54
4,1,3,55
3,3,5,56
5,5,2,56
4,2,2,56
2,5,5,57
4,1,3,57
3,2,1,57
2,1,4,58
5,4,3,58
2,1,4,59
3,3,5,60
5,3,2,61
4,4,2,61
4,2,2,62
4,2,2,64
3,2,5,65
2,1,5,65
3,2,4,65
3,5,3,65
3,1,4,66
4,3,3,66
3,3,2,66
4,3,1,66
5,2,3,67
3,3,2,68
4,3,1,68
3,2,5,69
3,1,4,69
3,5,3,69
3,3,2,69
4,3,3,71
3,3,2,71
2,1,5,72
5,5,3,72
4,3,3,72
4,1,4,73
4,5,2,73
3,1,4,74
3,5,5,75
5,4,4,76
5,5,3,76
4,2,3,76
5,4,4,79
4,5,3,79
4,5,4,81
5,3,3,81
5,1,5,82
5,5,4,82
4,2,5,83
4,2,5,84
5,2,4,84
4,1,5,85
4,2,5,85
3,1,5,85
5,3,5,86
5,5,5,86
5,3,5,87
5,3,5,88
3,1,5,88
5,4,5,89
5,2,4,91
1,1,2,15
1,2,1,19
2,1,1,20
1,1,1,20
1,1,3,21
1,2,3,21
1,4,1,22
3,4,1,23
1,1,2,24
1,2,3,25
2,3,1,25
2,5,1,25
1,3,1,26
1,1,3,27
1,3,2,27
1,3,2,28
1,1,1,28
1,2,3,29
4,1,1,29
4,5,1,29
2,5,1,29
1,2,4,30
1,3,2,31
4,1,1,31
1,5,3,32
1,4,2,32
5,2,1,32
2,3,2,33
1,3,2,33
1,5,2,33
1,4,3,34
2,1,2,34
2,2,3,35
1,5,2,35
1,5,5,36
2,3,3,36
1,3,3,36
2,4,2,36
1,5,4,37
1,1,4,38
1,4,4,38
2,2,3,39
2,2,4,40
2,4,3,40
5,2,2,40
4,2,1,40
3,1,2,41
5,4,1,41
3,3,1,41
1,5,5,42
3,1,2,42
5,2,2,43
1,3,4,44
2,4,2,44
2,5,3,45
1,3,5,46
2,5,3,46
1,3,5,48
2,4,3,48
5,4,2,48
2,3,4,49
2,1,3,50
2,3,4,51
5,1,3,52
4,3,2,52
2,5,5,53
4,1,3,53
4,3,2,53
2,4,5,54
4,3,2,54
2,2,5,55
2,4,5,55
5,4,3,56
3,2,3,56
2,1,4,57
3,5,2,59
3,2,4,60
5,4,3,60
3,2,3,60
3,5,2,61
5,2,3,62
3,3,2,62
4,3,1,62
3,2,4,64
3,4,3,64
3,5,2,64
3,4,4,65
3,4,4,66
3,5,3,66
3,5,4,67
4,3,1,67
3,4,5,69
4,3,3,69
3,4,4,70
4,2,4,71
5,1,4,72
4,1,4,72
4,3,5,73
4,3,4,73
4,5,4,73
4,5,3,73
4,3,4,74
5,5,3,74
4,5,3,74
4,5,3,75
4,5,2,77
4,3,5,78
5,4,4,78
4,4,4,80
4,4,3,80
4,1,5,81
3,5,5,81
5,4,4,83
5,3,3,83
5,4,5,85
5,1,5,86
4,1,5,86
3,1,5,86
5,2,4,86
5,1,5,87
5,4,5,87
5,5,5,87
5,3,4,88
5,2,4,92
5,4,5,93
1,1,2,17
1,2,1,18
1,4,1,19
2,5,1,21
4,1,1,22
3,1,1,22
2,1,1,22
2,2,1,22
2,3,1,22
2,4,1,22
2,5,1,22
1,2,1,22
1,2,3,23
1,2,2,23
2,3,1,23
2,2,1,24
2,3,1,24
2,5,1,24
1,1,1,24
1,1,1,25
1,3,1,25
1,2,4,26
4,1,1,26
2,5,1,26
1,2,4,27
5,5,1,27
5,5,1,28
1,5,3,31
5,1,1,31
4,4,1,31
2,2,2,33
1,5,3,35
3,1,2,35
1,3,3,37
1,2,5,38
2,2,4,38
2,3,3,39
2,4,3,39
1,2,5,40
1,3,4,40
2,5,3,42
2,4,2,42
2,2,3,43
3,3,1,43
2,5,3,44
5,2,2,44
5,4,1,44
2,4,4,45
4,2,1,45
1,1,5,46
1,3,5,47
2,5,3,47
2,2,5,48
1,1,5,48
1,3,5,49
1,4,5,49
2,4,4,49
2,2,5,50
2,5,4,50
5,1,3,50
3,1,3,51
2,1,3,51
3,2,1,51
2,4,5,52
2,5,5,52
2,4,4,52
4,1,3,52
5,4,2,54
2,1,4,56
2,5,5,58
5,1,3,58
2,4,5,59
2,5,5,59
5,2,3,59
3,3,4,60
5,2,3,60
3,2,2,60
3,3,3,62
3,2,3,63
3,2,5,64
3,3,4,64
4,2,2,65
3,2,5,67
2,1,5,67
4,3,3,67
5,1,4,68
3,1,4,68
4,3,3,68
3,5,3,68
5,1,4,69
4,2,3,69
3,4,3,69
5,1,4,70
4,3,1,70
3,2,5,71
3,4,5,71
3,2,5,72
4,5,4,72
4,2,4,73
4,3,5,74
4,1,4,74
5,5,4,75
4,2,4,75
5,5,3,75
3,5,5,76
4,2,4,76
4,2,4,77
4,4,3,77
3,5,5,78
5,5,4,78
4,3,4,79
5,3,3,79
5,4,4,80
4,4,5,81
4,1,5,82
4,1,5,83
5,4,5,84
5,5,5,84
3,1,5,84
5,3,4,84
5,3,1,86
4,1,5,90
4,2,5,90
5,2,5,95
2,1,1,18
2,2,1,19
2,2,1,21
3,1,1,23
1,1,1,23
1,5,1,23
1,1,3,24
4,5,1,24
2,1,1,24
1,2,4,25
1,2,2,25
5,1,1,25
3,1,1,25
2,1,1,25
1,2,3,26
5,1,1,27
3,1,1,28
3,5,1,28
5,5,1,29
2,3,1,29
1,5,3,30
1,5,2,30
5,1,1,30
5,2,1,31
1,3,2,32
4,5,1,32
1,2,4,33
4,1,2,33
1,3,1,33
1,1,4,34
5,1,2,34
2,2,2,34
1,4,3,35
2,3,2,35
1,3,2,35
5,2,1,35
2,2,2,36
1,3,4,38
1,5,3,38
4,1,2,38
5,2,2,39
1,5,5,40
4,1,2,40
5,4,1,40
3,3,1,40
1,4,4,41
2,5,3,41
1,3,4,42
5,2,2,42
2,5,2,42
2,3,3,43
4,2,1,43
2,5,2,44
3,3,1,44
2,5,2,45
5,4,1,45
3,3,1,45
2,3,4,46
4,2,1,46
2,3,4,47
2,5,4,48
3,1,3,50
3,3,5,51
4,1,3,51
3,3,5,57
2,4,5,57
5,5,2,57
5,3,2,58
5,5,2,58
3,5,2,58
5,3,2,60
2,1,4,61
3,2,2,61
3,2,3,62
3,4,3,62
5,3,2,62
3,4,2,63
3,4,5,64
5,5,2,64
4,4,2,64
3,3,2,64
3,3,4,65
4,3,3,65
3,3,2,65
4,1,4,66
3,5,4,66
3,4,3,66
3,1,4,67
3,5,3,67
4,4,2,67
3,3,2,67
4,1,4,68
4,1,4,69
3,1,4,70
3,5,4,70
4,3,5,71
3,4,3,71
3,5,3,71
4,3,5,72
4,2,4,72
3,1,4,72
3,5,5,73
5,1,4,73
3,4,4,73
4,4,3,75
4,5,4,76
4,4,5,77
3,5,5,77
4,5,5,78
5,3,3,78
4,2,3,78
3,5,5,80
4,2,4,80
4,4,4,81
4,5,5,82
5,5,5,83
4,4,4,83
5,5,4,84
5,4,4,85
5,3,1,85
4,1,5,87
5,2,4,87
3,1,5,89
5,3,1,89
5,2,5,93
5,3,5,93
1,1,2,16
1,2,3,20
1,4,1,20
1,2,1,21
1,4,1,21
1,5,1,22
1,2,4,24
4,1,1,25
4,4,1,25
3,5,1,25
1,4,2,26
3,5,1,26
2,1,1,26
2,3,1,26
2,4,1,27
1,1,1,27
1,3,1,27
1,4,1,27
1,5,1,27
1,2,3,28
3,5,1,30
3,4,1,31
1,3,1,31
2,1,2,32
5,5,1,32
1,3,1,32
1,4,3,33
5,1,2,33
5,2,1,33
4,5,1,33
4,1,2,34
1,5,2,34
1,1,4,35
1,4,4,35
1,5,4,35
5,2,2,36
1,2,5,37
1,1,4,37
1,4,3,37
5,2,2,37
3,1,2,37
2,2,2,37
2,4,2,37
5,4,1,37
4,2,1,37
1,5,4,38
1,2,5,39
1,5,4,39
3,3,1,39
2,5,3,40
1,3,4,41
2,2,4,42
2,4,3,43
1,3,5,45
2,3,3,45
2,4,3,45
2,5,4,46
2,1,3,46
1,1,5,47
1,4,5,47
2,2,4,47
4,3,2,48
2,1,3,49
2,4,5,51
2,2,5,52
2,3,5,52
3,1,3,52
