compliance,acceleration,deceleration,result
5,5,1,27
5,5,1,28
5,5,1,29
5,5,1,30
5,4,1,39
5,4,1,40
5,4,1,41
5,4,1,42
5,3,1,84
5,3,1,85
5,3,1,86
5,3,1,87
5,2,1,32
5,2,1,33
5,2,1,34
5,2,1,35
5,1,1,28
5,1,1,29
5,1,1,30
5,1,1,31
5,5,2,59
5,5,2,60
5,5,2,61
5,5,2,62
5,4,2,49
5,4,2,50
5,4,2,51
5,4,2,52
5,3,2,59
5,3,2,60
5,3,2,61
5,3,2,62
5,2,2,39
5,2,2,40
5,2,2,41
5,2,2,42
5,1,2,36
5,1,2,37
5,1,2,38
5,1,2,39
5,5,3,74
5,5,3,75
5,5,3,76
5,5,3,77
5,4,3,58
5,4,3,59
5,4,3,60
5,4,3,61
5,3,3,77
5,3,3,78
5,3,3,79
5,3,3,80
5,2,3,62
5,2,3,63
5,2,3,64
5,2,3,65
5,1,3,52
5,1,3,53
5,1,3,54
5,1,3,55
5,5,4,78
5,5,4,79
5,5,4,80
5,5,4,81
5,4,4,79
5,4,4,80
5,4,4,81
5,4,4,82
5,3,4,82
5,3,4,83
5,3,4,84
5,3,4,85
5,2,4,86
5,2,4,87
5,2,4,88
5,2,4,89
5,1,4,69
5,1,4,70
5,1,4,71
5,1,4,72
5,5,5,83
5,5,5,84
5,5,5,85
5,5,5,86
5,4,5,87
5,4,5,88
5,4,5,89
5,4,5,90
5,3,5,87
5,3,5,88
5,3,5,89
5,3,5,90
5,2,5,96
5,2,5,97
5,2,5,98
5,2,5,99
5,1,5,85
5,1,5,86
5,1,5,87
5,1,5,88
4,5,1,27
4,5,1,28
4,5,1,29
4,5,1,30
4,4,1,25
4,4,1,26
4,4,1,27
4,4,1,28
4,3,1,64
4,3,1,65
4,3,1,66
4,3,1,67
4,2,1,40
4,2,1,41
4,2,1,42
4,2,1,43
4,1,1,25
4,1,1,26
4,1,1,27
4,1,1,28
4,5,2,72
4,5,2,73
4,5,2,74
4,5,2,75
4,4,2,64
4,4,2,65
4,4,2,66
4,4,2,67
4,3,2,51
4,3,2,52
4,3,2,53
4,3,2,54
4,2,2,59
4,2,2,60
4,2,2,61
4,2,2,62
4,1,2,35
4,1,2,36
4,1,2,37
4,1,2,38
4,5,3,76
4,5,3,77
4,5,3,78
4,5,3,79
4,4,3,75
4,4,3,76
4,4,3,77
4,4,3,78
4,3,3,68
4,3,3,69
4,3,3,70
4,3,3,71
4,2,3,72
4,2,3,73
4,2,3,74
4,2,3,75
4,1,3,52
4,1,3,53
4,1,3,54
4,1,3,55
4,5,4,75
4,5,4,76
4,5,4,77
4,5,4,78
4,4,4,77
4,4,4,78
4,4,4,79
4,4,4,80
4,3,4,75
4,3,4,76
4,3,4,77
4,3,4,78
4,2,4,74
4,2,4,75
4,2,4,76
4,2,4,77
4,1,4,69
4,1,4,70
4,1,4,71
4,1,4,72
4,5,5,79
4,5,5,80
4,5,5,81
4,5,5,82
4,4,5,75
4,4,5,76
4,4,5,77
4,4,5,78
4,3,5,73
4,3,5,74
4,3,5,75
4,3,5,76
4,2,5,84
4,2,5,85
4,2,5,86
4,2,5,87
4,1,5,84
4,1,5,85
4,1,5,86
4,1,5,87
3,5,1,26
3,5,1,27
3,5,1,28
3,5,1,29
3,4,1,25
3,4,1,26
3,4,1,27
3,4,1,28
3,3,1,42
3,3,1,43
3,3,1,44
3,3,1,45
3,2,1,54
3,2,1,55
3,2,1,56
3,2,1,57
3,1,1,22
3,1,1,23
3,1,1,24
3,1,1,25
3,5,2,59
3,5,2,60
3,5,2,61
3,5,2,62
3,4,2,65
3,4,2,66
3,4,2,67
3,4,2,68
3,3,2,65
3,3,2,66
3,3,2,67
3,3,2,68
3,2,2,55
3,2,2,56
3,2,2,57
3,2,2,58
3,1,2,36
3,1,2,37
3,1,2,38
3,1,2,39
3,5,3,66
3,5,3,67
3,5,3,68
3,5,3,69
3,4,3,65
3,4,3,66
3,4,3,67
3,4,3,68
3,3,3,64
3,3,3,65
3,3,3,66
3,3,3,67
3,2,3,59
3,2,3,60
3,2,3,61
3,2,3,62
3,1,3,52
3,1,3,53
3,1,3,54
3,1,3,55
3,5,4,69
3,5,4,70
3,5,4,71
3,5,4,72
3,4,4,67
3,4,4,68
3,4,4,69
3,4,4,70
3,3,4,59
3,3,4,60
3,3,4,61
3,3,4,62
3,2,4,59
3,2,4,60
3,2,4,61
3,2,4,62
3,1,4,69
3,1,4,70
3,1,4,71
3,1,4,72
3,5,5,75
3,5,5,76
3,5,5,77
3,5,5,78
3,4,5,66
3,4,5,67
3,4,5,68
3,4,5,69
3,3,5,54
3,3,5,55
3,3,5,56
3,3,5,57
3,2,5,67
3,2,5,68
3,2,5,69
3,2,5,70
3,1,5,83
3,1,5,84
3,1,5,85
3,1,5,86
2,5,1,23
2,5,1,24
2,5,1,25
2,5,1,26
2,4,1,23
2,4,1,24
2,4,1,25
2,4,1,26
2,3,1,25
2,3,1,26
2,3,1,27
2,3,1,28
2,2,1,22
2,2,1,23
2,2,1,24
2,2,1,25
2,1,1,21
2,1,1,22
2,1,1,23
2,1,1,24
2,5,2,42
2,5,2,43
2,5,2,44
2,5,2,45
2,4,2,39
2,4,2,40
2,4,2,41
2,4,2,42
2,3,2,34
2,3,2,35
2,3,2,36
2,3,2,37
2,2,2,34
2,2,2,35
2,2,2,36
2,2,2,37
2,1,2,31
2,1,2,32
2,1,2,33
2,1,2,34
2,5,3,42
2,5,3,43
2,5,3,44
2,5,3,45
2,4,3,42
2,4,3,43
2,4,3,44
2,4,3,45
2,3,3,39
2,3,3,40
2,3,3,41
2,3,3,42
2,2,3,37
2,2,3,38
2,2,3,39
2,2,3,40
2,1,3,45
2,1,3,46
2,1,3,47
2,1,3,48
2,5,4,44
2,5,4,45
2,5,4,46
2,5,4,47
2,4,4,47
2,4,4,48
2,4,4,49
2,4,4,50
2,3,4,46
2,3,4,47
2,3,4,48
2,3,4,49
2,2,4,41
2,2,4,42
2,2,4,43
2,2,4,44
2,1,4,56
2,1,4,57
