compliance,acceleration,deceleration,result,pred,loss
1,1,1,22,23.0542202,1.0542202
1,1,1,23,23.0542202,0.0542202
1,1,1,24,23.0542202,-0.9457798
1,1,1,25,23.0542202,-1.9457798
1,1,2,18,19.7567234,1.756723404
1,1,2,19,19.7567234,0.756723404
1,1,2,20,19.7567234,-0.243276596
1,1,2,21,19.7567234,-1.243276596
1,1,3,22,23.53161049,1.531610489
1,1,3,23,23.53161049,0.531610489
1,1,3,24,23.53161049,-0.468389511
1,1,3,25,23.53161049,-1.468389511
1,1,4,33,34.58417511,1.58417511
1,1,4,34,34.58417511,0.58417511
1,1,4,35,34.58417511,-0.41582489
1,1,4,36,34.58417511,-1.41582489
1,1,5,47,48.05626297,1.05626297
1,1,5,48,48.05626297,0.05626297
1,1,5,49,48.05626297,-0.94373703
1,1,5,50,48.05626297,-1.94373703
1,2,1,21,22.29657173,1.296571732
1,2,1,22,22.29657173,0.296571732
1,2,1,23,22.29657173,-0.703428268
1,2,1,24,22.29657173,-1.703428268
1,2,2,23,24.4095726,1.409572601
1,2,2,24,24.4095726,0.409572601
1,2,2,25,24.4095726,-0.590427399
1,2,2,26,24.4095726,-1.590427399
1,2,3,23,24.40372658,1.403726578
1,2,3,24,24.40372658,0.403726578
1,2,3,25,24.40372658,-0.596273422
1,2,3,26,24.40372658,-1.596273422
1,2,4,27,28.99266243,1.99266243
1,2,4,28,28.99266243,0.99266243
1,2,4,29,28.99266243,-0.00733757
1,2,4,30,28.99266243,-1.00733757
1,2,5,35,36.57774734,1.577747345
1,2,5,36,36.57774734,0.577747345
1,2,5,37,36.57774734,-0.422252655
1,2,5,38,36.57774734,-1.422252655
1,3,1,28,29.43606758,1.436067581
1,3,1,29,29.43606758,0.436067581
1,3,1,30,29.43606758,-0.563932419
1,3,1,31,29.43606758,-1.563932419
1,3,2,29,30.00483894,1.004838943
1,3,2,30,30.00483894,0.004838943
1,3,2,31,30.00483894,-0.995161057
1,3,2,32,30.00483894,-1.995161057
1,3,3,32,33.23394012,1.233940125
1,3,3,33,33.23394012,0.233940125
1,3,3,34,33.23394012,-0.766059875
1,3,3,35,33.23394012,-1.766059875
1,3,4,41,42.34337616,1.34337616
1,3,4,42,42.34337616,0.34337616
1,3,4,43,42.34337616,-0.65662384
1,3,4,44,42.34337616,-1.65662384
1,3,5,43,44.7115097,1.711509705
1,3,5,44,44.7115097,0.711509705
1,3,5,45,44.7115097,-0.288490295
1,3,5,46,44.7115097,-1.288490295
1,4,1,22,23.47060204,1.470602036
1,4,1,23,23.47060204,0.470602036
1,4,1,24,23.47060204,-0.529397964
1,4,1,25,23.47060204,-1.529397964
1,4,2,29,30.99649239,1.996492386
1,4,2,30,30.99649239,0.996492386
1,4,2,31,30.99649239,-0.003507614
1,4,2,32,30.99649239,-1.003507614
1,4,3,32,33.25200653,1.252006531
1,4,3,33,33.25200653,0.252006531
1,4,3,34,33.25200653,-0.747993469
1,4,3,35,33.25200653,-1.747993469
1,4,4,35,36.90719223,1.90719223
1,4,4,36,36.90719223,0.90719223
1,4,4,37,36.90719223,-0.09280777
1,4,4,38,36.90719223,-1.09280777
1,4,5,45,46.43690109,1.436901093
1,4,5,46,46.43690109,0.436901093
1,4,5,47,46.43690109,-0.563098907
1,4,5,48,46.43690109,-1.563098907
1,5,1,21,22.05165863,1.05165863
1,5,1,22,22.05165863,0.05165863
1,5,1,23,22.05165863,-0.94834137
1,5,1,24,22.05165863,-1.94834137
1,5,2,31,32.467453,1.467453003
1,5,2,32,32.467453,0.467453003
1,5,2,33,32.467453,-0.532546997
1,5,2,34,32.467453,-1.532546997
1,5,3,32,33.39202118,1.392021179
1,5,3,33,33.39202118,0.392021179
1,5,3,34,33.39202118,-0.607978821
1,5,3,35,33.39202118,-1.607978821
1,5,4,35,36.18388367,1.183883667
1,5,4,36,36.18388367,0.183883667
1,5,4,37,36.18388367,-0.816116333
1,5,4,38,36.18388367,-1.816116333
1,5,5,39,40.37596512,1.375965118
1,5,5,40,40.37596512,0.375965118
1,5,5,41,40.37596512,-0.624034882
1,5,5,42,40.37596512,-1.624034882
2,1,1,21,22.49487495,1.494874954
2,1,1,22,22.49487495,0.494874954
2,1,1,23,22.49487495,-0.505125046
2,1,1,24,22.49487495,-1.505125046
2,1,2,31,32.82249069,1.822490692
2,1,2,32,32.82249069,0.822490692
2,1,2,33,32.82249069,-0.177509308
2,1,2,34,32.82249069,-1.177509308
2,1,3,45,46.64517212,1.645172119
2,1,3,46,46.64517212,0.645172119
2,1,3,47,46.64517212,-0.354827881
2,1,3,48,46.64517212,-1.354827881
2,1,4,56,57.92387772,1.923877716
2,1,4,57,57.92387772,0.923877716
2,1,4,58,57.92387772,-0.076122284
2,1,4,59,57.92387772,-1.076122284
2,1,5,68,69.09732056,1.097320557
2,1,5,69,69.09732056,0.097320557
2,1,5,70,69.09732056,-0.902679443
2,1,5,71,69.09732056,-1.902679443
2,2,1,22,23.19446564,1.194465637
2,2,1,23,23.19446564,0.194465637
2,2,1,24,23.19446564,-0.805534363
2,2,1,25,23.19446564,-1.805534363
2,2,2,34,35.00283051,1.002830505
2,2,2,35,35.00283051,0.002830505
2,2,2,36,35.00283051,-0.997169495
2,2,2,37,35.00283051,-1.997169495
2,2,3,37,38.70201874,1.702018738
2,2,3,38,38.70201874,0.702018738
2,2,3,39,38.70201874,-0.297981262
2,2,3,40,38.70201874,-1.297981262
2,2,4,41,42.66376877,1.663768768
2,2,4,42,42.66376877,0.663768768
2,2,4,43,42.66376877,-0.336231232
2,2,4,44,42.66376877,-1.336231232
2,2,5,51,52.11820221,1.118202209
2,2,5,52,52.11820221,0.118202209
2,2,5,53,52.11820221,-0.881797791
2,2,5,54,52.11820221,-1.881797791
2,3,1,25,26.38991547,1.389915466
2,3,1,26,26.38991547,0.389915466
2,3,1,27,26.38991547,-0.610084534
2,3,1,28,26.38991547,-1.610084534
2,3,2,34,35.40882874,1.408828735
2,3,2,35,35.40882874,0.408828735
2,3,2,36,35.40882874,-0.591171265
2,3,2,37,35.40882874,-1.591171265
2,3,3,39,40.48174667,1.481746674
2,3,3,40,40.48174667,0.481746674
2,3,3,41,40.48174667,-0.518253326
2,3,3,42,40.48174667,-1.518253326
2,3,4,46,47.47519684,1.475196838
2,3,4,47,47.47519684,0.475196838
2,3,4,48,47.47519684,-0.524803162
2,3,4,49,47.47519684,-1.524803162
2,3,5,47,48.92493057,1.924930573
2,3,5,48,48.92493057,0.924930573
2,3,5,49,48.92493057,-0.075069427
2,3,5,50,48.92493057,-1.075069427
2,4,1,23,24.61270905,1.612709045
2,4,1,24,24.61270905,0.612709045
2,4,1,25,24.61270905,-0.387290955
2,4,1,26,24.61270905,-1.387290955
2,4,2,39,40.75489426,1.754894257
2,4,2,40,40.75489426,0.754894257
2,4,2,41,40.75489426,-0.245105743
2,4,2,42,40.75489426,-1.245105743
2,4,3,42,43.61351395,1.613513947
2,4,3,43,43.61351395,0.613513947
2,4,3,44,43.61351395,-0.386486053
2,4,3,45,43.61351395,-1.386486053
2,4,4,47,48.98455048,1.984550476
2,4,4,48,48.98455048,0.984550476
2,4,4,49,48.98455048,-0.015449524
2,4,4,50,48.98455048,-1.015449524
2,4,5,54,55.30131912,1.301319122
2,4,5,55,55.30131912,0.301319122
2,4,5,56,55.30131912,-0.698680878
2,4,5,57,55.30131912,-1.698680878
2,5,1,23,24.44662285,1.446622849
2,5,1,24,24.44662285,0.446622849
2,5,1,25,24.44662285,-0.553377151
2,5,1,26,24.44662285,-1.553377151
2,5,2,42,43.18119812,1.18119812
2,5,2,43,43.18119812,0.18119812
2,5,2,44,43.18119812,-0.81880188
2,5,2,45,43.18119812,-1.81880188
2,5,3,42,43.71650696,1.716506958
2,5,3,43,43.71650696,0.716506958
2,5,3,44,43.71650696,-0.283493042
2,5,3,45,43.71650696,-1.283493042
2,5,4,44,45.93364334,1.933643341
2,5,4,45,45.93364334,0.933643341
2,5,4,46,45.93364334,-0.066356659
2,5,4,47,45.93364334,-1.066356659
2,5,5,53,54.93199539,1.931995392
2,5,5,54,54.93199539,0.931995392
2,5,5,55,54.93199539,-0.068004608
2,5,5,56,54.93199539,-1.068004608
3,1,1,22,23.99511528,1.99511528
3,1,1,23,23.99511528,0.99511528
3,1,1,24,23.99511528,-0.00488472
3,1,1,25,23.99511528,-1.00488472
3,1,2,36,37.0057373,1.005737305
3,1,2,37,37.0057373,0.005737305
3,1,2,38,37.0057373,-0.994262695
3,1,2,39,37.0057373,-1.994262695
3,1,3,52,53.32475662,1.324756622
3,1,3,53,53.32475662,0.324756622
3,1,3,54,53.32475662,-0.675243378
3,1,3,55,53.32475662,-1.675243378
3,1,4,69,70.0424881,1.042488098
3,1,4,70,70.0424881,0.042488098
3,1,4,71,70.0424881,-0.957511902
3,1,4,72,70.0424881,-1.957511902
3,1,5,83,84.0032196,1.003219604
3,1,5,84,84.0032196,0.003219604
3,1,5,85,84.0032196,-0.996780396
3,1,5,86,84.0032196,-1.996780396
3,2,1,54,55.92886734,1.92886734
3,2,1,55,55.92886734,0.92886734
3,2,1,56,55.92886734,-0.07113266
3,2,1,57,55.92886734,-1.07113266
3,2,2,55,56.33314896,1.333148956
3,2,2,56,56.33314896,0.333148956
3,2,2,57,56.33314896,-0.666851044
3,2,2,58,56.33314896,-1.666851044
3,2,3,59,60.02621078,1.026210785
3,2,3,60,60.02621078,0.026210785
3,2,3,61,60.02621078,-0.973789215
3,2,3,62,60.02621078,-1.973789215
3,2,4,59,60.32475662,1.324756622
3,2,4,60,60.32475662,0.324756622
3,2,4,61,60.32475662,-0.675243378
3,2,4,62,60.32475662,-1.675243378
3,2,5,67,68.46620941,1.466209412
3,2,5,68,68.46620941,0.466209412
3,2,5,69,68.46620941,-0.533790588
3,2,5,70,68.46620941,-1.533790588
3,3,1,42,43.97593689,1.97593689
3,3,1,43,43.97593689,0.97593689
3,3,1,44,43.97593689,-0.02406311
3,3,1,45,43.97593689,-1.02406311
3,3,2,65,66.53053284,1.530532837
3,3,2,66,66.53053284,0.530532837
3,3,2,67,66.53053284,-0.469467163
3,3,2,68,66.53053284,-1.469467163
3,3,3,64,65.36425781,1.364257813
3,3,3,65,65.36425781,0.364257813
3,3,3,66,65.36425781,-0.635742188
3,3,3,67,65.36425781,-1.635742188
3,3,4,59,60.93346786,1.933467865
3,3,4,60,60.93346786,0.933467865
3,3,4,61,60.93346786,-0.066532135
3,3,4,62,60.93346786,-1.066532135
3,3,5,54,55.18019104,1.18019104
3,3,5,55,55.18019104,0.18019104
3,3,5,56,55.18019104,-0.81980896
3,3,5,57,55.18019104,-1.81980896
3,4,1,25,26.77023697,1.770236969
3,4,1,26,26.77023697,0.770236969
3,4,1,27,26.77023697,-0.229763031
3,4,1,28,26.77023697,-1.229763031
3,4,2,65,66.83972931,1.839729309
3,4,2,66,66.83972931,0.839729309
3,4,2,67,66.83972931,-0.160270691
3,4,2,68,66.83972931,-1.160270691
3,4,3,65,66.33469391,1.334693909
3,4,3,66,66.33469391,0.334693909
3,4,3,67,66.33469391,-0.665306091
3,4,3,68,66.33469391,-1.665306091
3,4,4,67,68.1724472,1.172447205
3,4,4,68,68.1724472,0.172447205
3,4,4,69,68.1724472,-0.827552795
3,4,4,70,68.1724472,-1.827552795
3,4,5,66,67.02774048,1.027740479
3,4,5,67,67.02774048,0.027740479
3,4,5,68,67.02774048,-0.972259521
3,4,5,69,67.02774048,-1.972259521
3,5,1,26,27.00539398,1.005393982
3,5,1,27,27.00539398,0.005393982
3,5,1,28,27.00539398,-0.994606018
3,5,1,29,27.00539398,-1.994606018
3,5,2,59,60.35206223,1.352062225
3,5,2,60,60.35206223,0.352062225
