compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr
1,1,1,23,7,9,2
1,1,1,24,7,9,2
1,1,2,21,7,9,2
1,1,2,22,7,9,2
1,1,3,24,7,9,2
1,1,3,25,7,9,2
1,1,4,35,18,3,1
1,1,4,36,18,3,1
1,1,5,50,4,13,1
1,1,5,51,4,13,1
1,2,1,23,7,17,2
1,2,1,24,7,17,2
1,2,2,26,7,17,2
1,2,2,27,7,17,2
1,2,3,26,7,17,2
1,2,3,27,7,17,2
1,2,4,32,18,17,2
1,2,4,33,18,19,2
1,2,5,45,4,19,1
1,2,5,46,4,19,1
1,3,1,31,18,17,2
1,3,1,32,18,17,2
1,3,2,31,18,17,2
1,3,2,32,18,17,2
1,3,3,30,18,17,2
1,3,3,31,18,17,2
1,3,4,47,4,18,1
1,3,4,48,4,18,1
1,3,5,49,4,18,1
1,3,5,50,4,18,1
1,4,1,26,7,16,2
1,4,1,27,7,16,2
1,4,2,34,18,16,2
1,4,2,35,18,16,2
1,4,3,38,18,16,2
1,4,3,39,18,16,2
1,4,4,47,4,6,1
1,4,4,48,4,6,1
1,4,5,61,14,8,1
1,4,5,62,14,8,1
1,5,1,24,7,16,2
1,5,1,25,7,16,2
1,5,2,33,18,16,2
1,5,2,34,18,16,2
1,5,3,36,18,2,2
1,5,3,37,18,2,2
1,5,4,39,18,2,1
1,5,4,40,18,2,1
1,5,5,44,4,2,1
1,5,5,45,4,2,1
2,1,1,24,2,9,2
2,1,1,25,2,9,2
2,1,2,35,10,3,2
2,1,2,36,10,3,2
2,1,3,41,10,3,2
2,1,3,42,10,3,2
2,1,4,45,5,3,1
2,1,4,46,5,3,1
2,1,5,53,8,13,1
2,1,5,54,8,13,1
2,2,1,34,10,19,2
2,2,1,35,10,19,2
2,2,2,42,10,19,2
2,2,2,43,10,19,2
2,2,3,43,10,19,2
2,2,3,44,10,19,2
2,2,4,40,10,19,1
2,2,4,41,10,19,1
2,2,5,42,10,19,1
2,2,5,43,10,19,1
2,3,1,30,2,17,2
2,3,1,31,2,17,2
2,3,2,42,10,18,2
2,3,2,43,10,18,2
2,3,3,52,8,18,1
2,3,3,53,8,18,1
2,3,4,48,5,18,1
2,3,4,49,5,18,1
2,3,5,43,10,18,1
2,3,5,44,10,18,1
2,4,1,29,2,16,2
2,4,1,30,2,16,2
2,4,2,37,10,16,2
2,4,2,38,10,16,2
2,4,3,48,5,6,2
2,4,3,49,5,6,1
2,4,4,54,8,6,1
2,4,4,55,8,6,1
2,4,5,52,8,6,1
2,4,5,53,8,6,1
2,5,1,29,2,16,2
2,5,1,30,2,16,2
2,5,2,43,10,2,2
2,5,2,44,10,2,2
2,5,3,44,10,2,2
2,5,3,45,5,2,2
2,5,4,48,5,2,1
2,5,4,49,5,2,1
2,5,5,57,8,2,1
2,5,5,58,8,2,1
3,1,1,36,11,3,2
3,1,1,37,11,3,2
3,1,2,44,11,3,2
3,1,2,45,11,3,2
3,1,3,54,12,13,1
3,1,3,55,12,13,1
3,1,4,64,13,10,1
3,1,4,65,13,10,1
3,1,5,70,13,10,1
3,1,5,71,13,10,1
3,2,1,39,11,19,2
3,2,1,40,11,19,2
3,2,2,44,11,19,2
3,2,2,45,11,19,2
3,2,3,57,12,12,1
3,2,3,58,12,12,1
3,2,4,64,13,12,1
3,2,4,65,13,12,1
3,2,5,64,13,12,1
3,2,5,65,13,12,1
3,3,1,52,12,18,2
3,3,1,53,12,18,2
3,3,2,51,12,18,2
3,3,2,52,12,18,2
3,3,3,60,12,7,1
3,3,3,61,13,7,1
3,3,4,64,13,7,1
3,3,4,65,13,7,1
3,3,5,63,13,7,1
3,3,5,64,13,7,1
3,4,1,33,11,16,2
3,4,1,34,11,16,2
3,4,2,55,12,6,2
3,4,2,56,12,6,2
3,4,3,64,13,8,1
3,4,3,65,13,8,1
3,4,4,71,13,8,1
3,4,4,72,13,8,1
3,4,5,70,13,8,1
3,4,5,71,13,8,1
3,5,1,21,2,16,2
3,5,1,22,2,16,2
3,5,2,50,12,2,2
3,5,2,51,12,2,2
3,5,3,61,13,14,1
3,5,3,62,13,14,1
3,5,4,75,13,14,1
3,5,4,76,13,14,1
3,5,5,76,13,14,1
3,5,5,77,13,14,1
4,1,1,25,6,9,2
4,1,1,26,6,9,2
4,1,2,57,16,13,2
4,1,2,58,16,13,2
4,1,3,65,16,10,1
4,1,3,66,16,10,1
4,1,4,74,15,10,1
4,1,4,75,15,10,1
4,1,5,83,3,4,1
4,1,5,84,3,4,1
4,2,1,23,6,17,2
4,2,1,24,6,17,2
4,2,2,54,16,12,2
4,2,2,55,16,12,2
4,2,3,66,16,12,1
4,2,3,67,15,12,1
4,2,4,75,15,11,1
4,2,4,76,15,11,1
4,2,5,85,3,11,1
4,2,5,86,3,11,1
4,3,1,28,6,17,2
4,3,1,29,6,17,2
4,3,2,52,16,18,2
4,3,2,53,16,18,2
4,3,3,64,16,7,1
4,3,3,65,16,7,1
4,3,4,77,15,1,1
4,3,4,78,15,1,1
4,3,5,84,3,1,1
4,3,5,85,3,1,1
4,4,1,30,6,16,2
4,4,1,31,6,16,2
