compliance,acceleration,deceleration,result,new,predict,,,,,,,,,,,,
5,5,5,100,5,4,0,,,,,,,,,,,
5,5,5,99,5,4,0,,,,,,,,,,,
5,4,5,99,4.857142857,4,0,,,,,,,,,,,
4,5,5,99,4.428571429,4,0,,,,,,,,,,,
4,5,5,99,4.428571429,4,0,,,,,,,,,,,
5,5,5,99,5,4,0,,,,,,,,,,,
5,5,5,98,5,4,0,,,,,,,,,,,
5,5,5,98,5,4,0,,,,,,,,,,,
5,5,5,98,5,4,0,,,,,,,,,,,
4,5,5,98,4.428571429,4,0,,,,,,,,,,,
3,5,5,98,3.857142857,4,111,,,,,,,,,,,
4,4,4,97,4,4,0,,,,,,,,,,,
5,5,5,97,5,4,0,,,,,,,,,,,
4,5,5,97,4.428571429,4,0,,,,,,,,,,,
3,5,5,97,3.857142857,4,111,,,,,,,,,,,
4,5,5,96,4.428571429,4,0,,,,,,,,,,,
3,5,5,95,3.857142857,4,111,,20,30,40,50,55,70,80,85,90,100
5,5,5,95,5,4,0,,1~2,,2~3,,,3~4,,4~5,,
5,5,5,95,5,4,0,,,,,,,,,,,
4,5,5,95,4.428571429,4,0,,,,,,,,,,,
5,3,3,95,4.142857143,4,0,,,,,,,,,,,
5,5,3,95,4.428571429,4,0,,,,,,,,,,,
3,5,4,94,3.571428571,4,111,,,,,,,,,,,
5,3,1,94,3.571428571,4,111,,,,,,,,,,,
4,5,5,94,4.428571429,4,0,,,,,,,,,,,
5,5,5,94,5,4,0,,,,,,,,,,,
5,1,5,94,4.428571429,4,0,,20,30,40,50,55,70,80,85,90,100
5,5,5,94,5,4,0,,1~2,,2~3,,,3.5~4,,4~5,,
3,5,5,94,3.857142857,4,111,,,,,,,,,,,
5,5,5,94,5,4,0,,,,,,,,,,,
3,5,5,93,3.857142857,4,111,,,,,,,,,,,
3,5,5,93,3.857142857,4,111,,,,,,,,,,,
3,5,5,93,3.857142857,4,111,,,,,,,,,,,
3,5,3,92,3.285714286,4,111,,,,,,,,,,,
5,5,5,92,5,4,0,,,,,,,,,,,
3,5,3,92,3.285714286,4,111,,,,,,,,,,,
4,4,4,92,4,4,0,,,,,,,,,,,
5,3,4,92,4.428571429,4,0,,,,,,,,,,,
3,5,5,92,3.857142857,4,111,,,,,,,,,,,
5,5,5,92,5,4,0,,,,,,,,,,,
5,5,5,91,5,4,0,,,,,,,,,,,
4,4,3,91,3.714285714,4,111,,,,,,,,,,,
3,5,5,91,3.857142857,4,111,,,,,,,,,,,
5,5,4,91,4.714285714,4,0,,,,,,,,,,,
4,4,3,91,3.714285714,4,111,,,,,,,,,,,
4,4,4,91,4,4,0,,,,,,,,,,,
5,5,5,90,5,4,0,,,,,,,,,,,
5,4,4,90,4.571428571,4,0,,,,,,,,,,,
5,5,5,90,5,4,0,,,,,,,,,,,
3,4,5,90,3.714285714,4,111,,,,,,,,,,,
3,4,3,90,3.142857143,4,111,,,,,,,,,,,
3,4,5,90,3.714285714,4,111,,,,,,,,,,,
4,5,4,89,4.142857143,4,0,,,,,,,,,,,
5,3,4,89,4.428571429,4,0,,,,,,,,,,,
4,5,2,89,3.571428571,4,111,,,,,,,,,,,
4,5,5,89,4.428571429,4,0,,,,,,,,,,,
4,5,4,89,4.142857143,4,0,,,,,,,,,,,
4,5,4,89,4.142857143,4,0,,,,,,,,,,,
4,5,4,89,4.142857143,4,0,,,,,,,,,,,
3,5,5,89,3.857142857,4,111,,,,,,,,,,,
