compl,accel,decel,answer
1,1,1,22
1,1,1,23
1,1,1,24
1,1,1,25
1,1,2,20
1,1,2,21
1,1,2,22
1,1,2,23
1,1,3,23
1,1,3,24
1,1,3,25
1,1,3,26
1,1,4,34
1,1,4,35
1,1,4,36
1,1,4,37
1,1,5,49
1,1,5,50
1,1,5,51
1,1,5,52
1,2,1,22
1,2,1,23
1,2,1,24
1,2,1,25
1,2,2,25
1,2,2,26
1,2,2,27
1,2,2,28
1,2,3,25
1,2,3,26
1,2,3,27
1,2,3,28
1,2,4,31
1,2,4,32
1,2,4,33
1,2,4,34
1,2,5,44
1,2,5,45
1,2,5,46
1,2,5,47
1,3,1,30
1,3,1,31
1,3,1,32
1,3,1,33
1,3,2,30
1,3,2,31
1,3,2,32
1,3,2,33
1,3,3,29
1,3,3,30
1,3,3,31
1,3,3,32
1,3,4,46
1,3,4,47
1,3,4,48
1,3,4,49
1,3,5,48
1,3,5,49
1,3,5,50
1,3,5,51
1,4,1,25
1,4,1,26
1,4,1,27
1,4,1,28
1,4,2,33
1,4,2,34
1,4,2,35
1,4,2,36
1,4,3,37
1,4,3,38
1,4,3,39
1,4,3,40
1,4,4,46
1,4,4,47
1,4,4,48
1,4,4,49
1,4,5,60
1,4,5,61
1,4,5,62
1,4,5,63
1,5,1,23
1,5,1,24
1,5,1,25
1,5,1,26
1,5,2,32
1,5,2,33
1,5,2,34
1,5,2,35
1,5,3,35
1,5,3,36
1,5,3,37
1,5,3,38
1,5,4,38
1,5,4,39
1,5,4,40
1,5,4,41
1,5,5,43
1,5,5,44
1,5,5,45
1,5,5,46
2,1,1,23
2,1,1,24
2,1,1,25
2,1,1,26
2,1,2,34
2,1,2,35
2,1,2,36
2,1,2,37
2,1,3,40
2,1,3,41
2,1,3,42
2,1,3,43
2,1,4,44
2,1,4,45
2,1,4,46
2,1,4,47
2,1,5,52
2,1,5,53
2,1,5,54
2,1,5,55
2,2,1,33
2,2,1,34
2,2,1,35
2,2,1,36
2,2,2,41
2,2,2,42
2,2,2,43
2,2,2,44
2,2,3,42
2,2,3,43
2,2,3,44
2,2,3,45
2,2,4,39
2,2,4,40
2,2,4,41
2,2,4,42
2,2,5,41
2,2,5,42
2,2,5,43
2,2,5,44
2,3,1,29
2,3,1,30
2,3,1,31
2,3,1,32
2,3,2,41
2,3,2,42
2,3,2,43
2,3,2,44
2,3,3,51
2,3,3,52
2,3,3,53
2,3,3,54
2,3,4,47
2,3,4,48
2,3,4,49
2,3,4,50
2,3,5,42
2,3,5,43
2,3,5,44
2,3,5,45
2,4,1,28
2,4,1,29
2,4,1,30
2,4,1,31
2,4,2,36
2,4,2,37
2,4,2,38
2,4,2,39
2,4,3,47
2,4,3,48
2,4,3,49
2,4,3,50
2,4,4,53
2,4,4,54
2,4,4,55
2,4,4,56
2,4,5,51
2,4,5,52
2,4,5,53
2,4,5,54
2,5,1,28
2,5,1,29
2,5,1,30
2,5,1,31
2,5,2,42
2,5,2,43
2,5,2,44
2,5,2,45
2,5,3,43
2,5,3,44
2,5,3,45
2,5,3,46
2,5,4,47
2,5,4,48
2,5,4,49
2,5,4,50
2,5,5,56
2,5,5,57
2,5,5,58
2,5,5,59
3,1,1,35
3,1,1,36
3,1,1,37
3,1,1,38
3,1,2,43
3,1,2,44
3,1,2,45
3,1,2,46
3,1,3,53
3,1,3,54
3,1,3,55
3,1,3,56
3,1,4,63
3,1,4,64
3,1,4,65
3,1,4,66
3,1,5,69
3,1,5,70
3,1,5,71
3,1,5,72
3,2,1,38
3,2,1,39
3,2,1,40
3,2,1,41
3,2,2,43
3,2,2,44
3,2,2,45
3,2,2,46
3,2,3,56
3,2,3,57
3,2,3,58
3,2,3,59
3,2,4,63
3,2,4,64
3,2,4,65
3,2,4,66
3,2,5,63
3,2,5,64
3,2,5,65
3,2,5,66
3,3,1,51
3,3,1,52
3,3,1,53
3,3,1,54
3,3,2,50
3,3,2,51
3,3,2,52
3,3,2,53
3,3,3,59
3,3,3,60
3,3,3,61
3,3,3,62
3,3,4,63
3,3,4,64
3,3,4,65
3,3,4,66
3,3,5,62
3,3,5,63
3,3,5,64
3,3,5,65
3,4,1,32
3,4,1,33
3,4,1,34
3,4,1,35
3,4,2,54
3,4,2,55
3,4,2,56
3,4,2,57
3,4,3,63
3,4,3,64
3,4,3,65
3,4,3,66
3,4,4,70
3,4,4,71
3,4,4,72
3,4,4,73
3,4,5,69
3,4,5,70
3,4,5,71
3,4,5,72
3,5,1,20
3,5,1,21
3,5,1,22
3,5,1,23
3,5,2,49
3,5,2,50
3,5,2,51
3,5,2,52
3,5,3,60
3,5,3,61
3,5,3,62
3,5,3,63
3,5,4,74
3,5,4,75
3,5,4,76
3,5,4,77
3,5,5,75
3,5,5,76
3,5,5,77
3,5,5,78
4,1,1,24
4,1,1,25
4,1,1,26
4,1,1,27
4,1,2,56
4,1,2,57
4,1,2,58
4,1,2,59
4,1,3,64
4,1,3,65
4,1,3,66
4,1,3,67
4,1,4,73
4,1,4,74
4,1,4,75
4,1,4,76
4,1,5,82
4,1,5,83
4,1,5,84
4,1,5,85
4,2,1,22
4,2,1,23
4,2,1,24
4,2,1,25
4,2,2,53
4,2,2,54
4,2,2,55
4,2,2,56
4,2,3,65
4,2,3,66
4,2,3,67
4,2,3,68
4,2,4,74
4,2,4,75
4,2,4,76
4,2,4,77
4,2,5,84
4,2,5,85
4,2,5,86
4,2,5,87
4,3,1,27
4,3,1,28
4,3,1,29
4,3,1,30
4,3,2,51
4,3,2,52
4,3,2,53
4,3,2,54
4,3,3,63
4,3,3,64
4,3,3,65
4,3,3,66
4,3,4,76
4,3,4,77
4,3,4,78
4,3,4,79
4,3,5,83
4,3,5,84
4,3,5,85
4,3,5,86
4,4,1,29
4,4,1,30
4,4,1,31
4,4,1,32
4,4,2,66
4,4,2,67
4,4,2,68
4,4,2,69
4,4,3,67
4,4,3,68
4,4,3,69
4,4,3,70
4,4,4,75
4,4,4,76
4,4,4,77
4,4,4,78
4,4,5,82
4,4,5,83
4,4,5,84
4,4,5,85
4,5,1,22
4,5,1,23
4,5,1,24
4,5,1,25
4,5,2,74
4,5,2,75
4,5,2,76
4,5,2,77
4,5,3,73
4,5,3,74
4,5,3,75
4,5,3,76
4,5,4,82
4,5,4,83
4,5,4,84
4,5,4,85
4,5,5,87
4,5,5,88
4,5,5,89
4,5,5,90
5,1,1,29
5,1,1,30
5,1,1,31
5,1,1,32
5,1,2,66
5,1,2,67
5,1,2,68
5,1,2,69
5,1,3,77
5,1,3,78
5,1,3,79
5,1,3,80
5,1,4,85
5,1,4,86
5,1,4,87
5,1,4,88
5,1,5,93
5,1,5,94
5,1,5,95
5,1,5,96
5,2,1,27
5,2,1,28
5,2,1,29
5,2,1,30
5,2,2,64
5,2,2,65
5,2,2,66
5,2,2,67
5,2,3,76
5,2,3,77
5,2,3,78
5,2,3,79
5,2,4,85
5,2,4,86
5,2,4,87
5,2,4,88
5,2,5,94
5,2,5,95
5,2,5,96
5,2,5,97
5,3,1,26
5,3,1,27
5,3,1,28
5,3,1,29
5,3,2,64
5,3,2,65
5,3,2,66
5,3,2,67
5,3,3,72
5,3,3,73
5,3,3,74
5,3,3,75
5,3,4,86
5,3,4,87
5,3,4,88
5,3,4,89
5,3,5,96
5,3,5,97
5,3,5,98
5,3,5,99
5,4,1,26
5,4,1,27
5,4,1,28
5,4,1,29
5,4,2,70
5,4,2,71
5,4,2,72
5,4,2,73
5,4,3,67
5,4,3,68
5,4,3,69
5,4,3,70
5,4,4,84
5,4,4,85
5,4,4,86
5,4,4,87
5,4,5,95
5,4,5,96
5,4,5,97
5,4,5,98
5,5,1,27
5,5,1,28
5,5,1,29
5,5,1,30
5,5,2,84
5,5,2,85
5,5,2,86
5,5,2,87
5,5,3,82
5,5,3,83
5,5,3,84
5,5,3,85
5,5,4,85
5,5,4,86
5,5,4,87
5,5,4,88
5,5,5,92
5,5,5,93
5,5,5,94
5,5,5,95
