compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr,cluster_car,cluster_cdr,cluster_adr
1,1,1,21,1,4,4,1,8,2
1,1,1,22,1,4,4,1,8,2
1,1,2,23,1,4,13,1,10,2
1,1,2,24,1,4,13,1,10,2
1,1,3,23,1,4,13,1,10,2
1,1,3,24,1,4,13,1,10,2
1,1,4,31,1,4,17,1,12,2
1,1,4,32,1,4,17,1,12,2
1,1,5,43,1,4,6,1,14,1
1,1,5,44,1,4,6,1,14,1
1,2,1,21,1,4,4,1,8,2
1,2,1,22,1,4,4,1,8,2
1,2,2,26,1,4,13,1,10,2
1,2,2,27,1,4,13,1,10,2
1,2,3,27,1,4,13,1,10,2
1,2,3,28,1,4,13,1,10,2
1,2,4,32,1,4,17,1,12,2
1,2,4,33,1,4,17,1,12,2
1,2,5,38,1,4,6,1,14,1
1,2,5,39,1,4,6,1,14,1
1,3,1,27,1,4,4,1,8,2
1,3,1,28,1,4,4,1,8,2
1,3,2,27,1,4,13,1,10,2
1,3,2,28,1,4,13,1,10,2
1,3,3,32,1,4,13,1,10,2
1,3,3,33,1,4,13,1,10,2
1,3,4,38,1,4,17,1,12,1
1,3,4,39,1,4,17,1,12,1
1,3,5,43,1,4,6,1,14,1
1,3,5,44,1,4,6,1,14,1
1,4,1,23,1,1,4,1,8,2
1,4,1,24,1,1,4,1,8,2
1,4,2,25,1,1,13,1,10,2
1,4,2,26,1,1,13,1,10,2
1,4,3,31,1,1,13,1,10,2
1,4,3,32,1,1,13,1,10,2
1,4,4,41,1,1,17,1,12,1
1,4,4,42,1,1,17,1,12,1
1,4,5,49,1,1,6,1,14,1
1,4,5,50,1,1,6,1,14,1
1,5,1,21,1,1,4,1,8,2
1,5,1,22,1,1,4,1,8,2
1,5,2,26,1,1,13,1,10,2
1,5,2,27,1,1,13,1,10,2
1,5,3,31,1,1,13,1,10,2
1,5,3,32,1,1,13,1,10,2
1,5,4,39,1,1,17,1,12,1
1,5,4,40,1,1,17,1,12,1
1,5,5,48,1,1,6,1,14,1
1,5,5,49,1,1,6,1,14,1
2,1,1,24,1,4,4,1,20,2
2,1,1,25,1,4,4,1,20,2
2,1,2,36,1,4,20,1,6,2
2,1,2,37,1,4,20,1,6,2
2,1,3,44,1,4,19,1,13,2
2,1,3,45,1,4,19,1,13,2
2,1,4,45,1,4,17,1,5,1
2,1,4,46,1,4,17,1,5,1
2,1,5,47,1,4,6,1,11,1
2,1,5,48,1,4,6,1,11,1
2,2,1,33,1,4,4,1,20,2
2,2,1,34,1,4,4,1,20,2
2,2,2,41,1,4,20,1,6,2
2,2,2,42,1,4,20,1,6,2
2,2,3,45,1,4,19,1,13,2
2,2,3,46,1,4,19,1,13,2
2,2,4,43,1,4,17,1,5,1
2,2,4,44,1,4,17,1,5,1
2,2,5,42,1,4,6,1,11,1
2,2,5,43,1,4,6,1,11,1
2,3,1,30,1,4,4,1,20,2
2,3,1,31,1,4,4,1,20,2
2,3,2,42,1,4,20,1,6,2
2,3,2,43,1,4,20,1,6,2
2,3,3,48,1,4,19,1,13,2
2,3,3,49,1,4,19,1,13,2
