compl,accel,decel,result,cluster_ca,cluster_cd,cluster_ad,cluster_cad
1,1,1,22,4,1,4,2
1,1,1,23,4,1,4,2
1,1,2,22,4,1,4,2
1,1,2,23,4,1,4,2
1,1,3,23,4,2,4,2
1,1,3,24,4,2,4,2
1,1,4,32,4,2,1,2
1,1,4,33,4,2,1,2
1,1,5,46,4,2,1,2
1,1,5,47,4,2,1,2
1,2,1,22,4,1,4,2
1,2,1,23,4,1,4,2
1,2,2,27,4,1,4,2
1,2,2,28,4,1,4,2
1,2,3,27,4,2,4,2
1,2,3,28,4,2,4,2
1,2,4,30,4,2,1,2
1,2,4,31,4,2,1,2
1,2,5,41,4,2,1,2
1,2,5,42,4,2,1,2
1,3,1,29,4,1,3,2
1,3,1,30,4,1,3,2
1,3,2,30,4,1,3,2
1,3,2,31,4,1,3,2
1,3,3,33,4,2,2,2
1,3,3,34,4,2,2,2
1,3,4,43,4,2,2,2
1,3,4,44,4,2,2,2
1,3,5,44,4,2,1,2
1,3,5,45,4,2,1,2
1,4,1,23,3,1,3,2
1,4,1,24,3,1,3,2
1,4,2,34,3,1,3,2
1,4,2,35,3,1,3,2
1,4,3,36,3,2,2,2
1,4,3,37,3,2,2,2
1,4,4,42,3,2,2,2
1,4,4,43,3,2,2,2
1,4,5,53,3,2,2,2
1,4,5,54,3,2,2,2
1,5,1,22,3,1,3,2
1,5,1,23,3,1,3,2
1,5,2,31,3,1,3,2
1,5,2,32,3,1,3,2
1,5,3,40,3,2,2,2
1,5,3,41,3,2,2,2
1,5,4,43,3,2,2,2
1,5,4,44,3,2,2,2
1,5,5,51,3,2,2,2
1,5,5,52,3,2,2,2
2,1,1,23,4,1,4,2
2,1,1,24,4,1,4,2
2,1,2,46,4,1,4,2
2,1,2,47,4,1,4,2
2,1,3,40,4,2,4,2
2,1,3,41,4,2,4,2
2,1,4,38,4,2,1,2
2,1,4,39,4,2,1,2
2,1,5,47,4,2,1,2
2,1,5,48,4,2,1,2
2,2,1,37,4,1,4,2
2,2,1,38,4,1,4,2
2,2,2,48,4,1,4,2
2,2,2,49,4,1,4,2
2,2,3,48,4,2,4,2
2,2,3,49,4,2,4,2
2,2,4,43,4,2,1,2
2,2,4,44,4,2,1,2
2,2,5,43,4,2,1,2
2,2,5,44,4,2,1,2
2,3,1,30,4,1,3,2
2,3,1,31,4,1,3,2
2,3,2,46,4,1,3,2
2,3,2,47,4,1,3,2
2,3,3,48,4,2,2,2
2,3,3,49,4,2,2,2
2,3,4,49,4,2,2,2
2,3,4,50,4,2,2,2
2,3,5,52,4,2,1,2
2,3,5,53,4,2,1,2
2,4,1,30,3,1,3,2
2,4,1,31,3,1,3,2
2,4,2,36,3,1,3,2
2,4,2,37,3,1,3,2
2,4,3,45,3,2,2,2
2,4,3,46,3,2,2,2
2,4,4,50,3,2,2,2
2,4,4,51,3,2,2,2
2,4,5,55,3,2,2,2
2,4,5,56,3,2,2,2
2,5,1,30,3,1,3,2
2,5,1,31,3,1,3,2
2,5,2,37,3,1,3,2
2,5,2,38,3,1,3,2
2,5,3,40,3,2,2,2
2,5,3,41,3,2,2,2
2,5,4,46,3,2,2,2
2,5,4,47,3,2,2,2
2,5,5,57,3,2,2,2
2,5,5,58,3,2,2,2
3,1,1,41,2,1,4,1
3,1,1,42,2,1,4,1
3,1,2,46,2,1,4,1
3,1,2,47,2,1,4,1
3,1,3,58,2,4,4,1
3,1,3,59,2,4,4,1
3,1,4,57,2,4,1,1
3,1,4,58,2,4,1,1
3,1,5,59,2,4,1,1
3,1,5,60,2,4,1,1
3,2,1,41,2,1,4,1
3,2,1,42,2,1,4,1
3,2,2,52,2,1,4,1
3,2,2,53,2,1,4,1
3,2,3,63,2,4,4,1
3,2,3,64,2,4,4,1
3,2,4,69,2,4,1,1
3,2,4,70,2,4,1,1
3,2,5,69,2,4,1,1
3,2,5,70,2,4,1,1
3,3,1,51,3,1,3,2
3,3,1,52,3,1,3,2
3,3,2,55,3,1,3,2
3,3,2,56,3,1,3,2
3,3,3,64,3,4,2,2
3,3,3,65,3,4,2,2
3,3,4,70,3,4,2,1
3,3,4,71,3,4,2,1
3,3,5,73,3,4,1,1
3,3,5,74,3,4,1,1
3,4,1,44,3,1,3,2
3,4,1,45,3,1,3,2
3,4,2,58,3,1,3,2
3,4,2,59,3,1,3,2
3,4,3,69,3,4,2,2
3,4,3,70,3,4,2,2
3,4,4,72,3,4,2,2
3,4,4,73,3,4,2,2
3,4,5,71,3,4,2,2
3,4,5,72,3,4,2,2
3,5,1,41,3,1,3,2
3,5,1,42,3,1,3,2
3,5,2,49,3,1,3,2
3,5,2,50,3,1,3,2
3,5,3,70,3,4,2,2
3,5,3,71,3,4,2,2
3,5,4,73,3,4,2,2
3,5,4,74,3,4,2,2
3,5,5,71,3,4,2,2
3,5,5,72,3,4,2,2
4,1,1,62,2,3,4,1
4,1,1,63,2,3,4,1
4,1,2,64,2,3,4,1
4,1,2,65,2,3,4,1
4,1,3,66,2,3,4,1
4,1,3,67,2,3,4,1
4,1,4,70,2,4,1,1
4,1,4,71,2,4,1,1
4,1,5,71,2,4,1,1
4,1,5,72,2,4,1,1
4,2,1,59,2,3,4,1
4,2,1,60,2,3,4,1
4,2,2,63,2,3,4,1
4,2,2,64,2,3,4,1
4,2,3,69,2,3,4,1
4,2,3,70,2,3,4,1
4,2,4,76,2,4,1,1
4,2,4,77,2,4,1,1
4,2,5,81,2,4,1,1
4,2,5,82,2,4,1,1
4,3,1,63,1,3,3,1
4,3,1,64,1,3,3,1
4,3,2,65,1,3,3,1
4,3,2,66,1,3,3,1
4,3,3,68,1,3,2,1
4,3,3,69,1,3,2,1
4,3,4,74,1,4,2,1
4,3,4,75,1,4,2,1
4,3,5,82,1,4,1,1
4,3,5,83,1,4,1,1
4,4,1,68,1,3,3,1
4,4,1,69,1,3,3,1
4,4,2,67,1,3,3,1
4,4,2,68,1,3,3,1
4,4,3,71,1,3,2,1
4,4,3,72,1,3,2,1
4,4,4,75,1,4,2,1
4,4,4,76,1,4,2,1
4,4,5,81,1,4,2,1
4,4,5,82,1,4,2,1
4,5,1,63,1,3,3,1
4,5,1,64,1,3,3,1
4,5,2,68,1,3,3,1
4,5,2,69,1,3,3,1
4,5,3,75,1,3,2,1
4,5,3,76,1,3,2,1
4,5,4,80,1,4,2,1
4,5,4,81,1,4,2,1
4,5,5,85,1,4,2,1
4,5,5,86,1,4,2,1
5,1,1,84,2,3,4,1
5,1,1,85,2,3,4,1
5,1,2,85,2,3,4,1
5,1,2,86,2,3,4,1
5,1,3,85,2,3,4,1
5,1,3,86,2,3,4,1
5,1,4,83,2,4,1,1
5,1,4,84,2,4,1,1
5,1,5,83,2,4,1,1
5,1,5,84,2,4,1,1
5,2,1,80,2,3,4,1
5,2,1,81,2,3,4,1
5,2,2,82,2,3,4,1
5,2,2,83,2,3,4,1
5,2,3,86,2,3,4,1
5,2,3,87,2,3,4,1
5,2,4,83,2,4,1,1
5,2,4,84,2,4,1,1
5,2,5,90,2,4,1,1
5,2,5,91,2,4,1,1
5,3,1,78,1,3,3,1
5,3,1,79,1,3,3,1
5,3,2,83,1,3,3,1
5,3,2,84,1,3,3,1
5,3,3,85,1,3,2,1
5,3,3,86,1,3,2,1
5,3,4,82,1,4,2,1
5,3,4,83,1,4,2,1
5,3,5,88,1,4,1,1
5,3,5,89,1,4,1,1
5,4,1,84,1,3,3,1
5,4,1,85,1,3,3,1
5,4,2,83,1,3,3,1
5,4,2,84,1,3,3,1
5,4,3,82,1,3,2,1
5,4,3,83,1,3,2,1
5,4,4,80,1,4,2,1
5,4,4,81,1,4,2,1
5,4,5,87,1,4,2,1
5,4,5,88,1,4,2,1
5,5,1,87,1,3,3,1
5,5,1,88,1,3,3,1
5,5,2,84,1,3,3,1
5,5,2,85,1,3,3,1
5,5,3,83,1,3,2,1
5,5,3,84,1,3,2,1
5,5,4,82,1,4,2,1
5,5,4,83,1,4,2,1
5,5,5,86,1,4,2,1
5,5,5,87,1,4,2,1
