compl,accel,decel,result,cluster_ca,cluster_cd,cluster_ad
5,5,5,100,3,1,4
5,5,5,99,3,1,4
5,4,5,99,3,1,4
4,5,5,99,3,3,4
4,5,5,99,3,1,4
5,5,5,99,3,1,4
5,5,5,98,3,1,4
5,5,5,98,3,1,4
5,5,5,98,3,1,4
4,5,5,98,3,3,4
4,4,4,97,3,1,4
5,5,5,97,3,1,4
4,5,5,97,3,3,4
4,5,5,96,3,3,4
5,5,5,95,3,1,4
5,5,5,95,3,1,4
4,5,5,95,3,3,4
5,3,3,95,1,1,3
5,5,3,95,3,1,1
4,5,5,94,3,3,4
5,5,5,94,3,1,4
5,1,5,94,1,1,2
5,5,5,94,3,1,4
5,5,5,94,3,1,4
5,5,5,92,3,1,4
4,4,4,92,3,1,4
5,3,4,92,1,1,4
5,5,5,92,3,1,4
5,5,5,91,3,1,4
5,5,4,91,3,1,4
4,4,4,91,3,1,4
5,5,5,90,3,1,4
5,4,4,90,3,1,4
5,5,5,90,3,1,4
4,5,4,89,3,1,4
5,3,4,89,1,1,4
4,5,5,89,3,1,4
4,5,4,89,3,1,4
4,5,4,89,3,1,4
4,5,4,89,3,1,4
4,5,4,88,3,1,4
5,5,5,88,3,1,4
4,5,5,88,3,1,4
5,5,5,87,3,1,4
4,5,4,85,3,1,4
5,5,3,85,3,1,1
3,5,4,83,3,3,4
3,5,3,82,3,3,1
3,5,5,82,3,3,4
2,5,5,82,4,3,4
3,5,5,82,3,3,4
3,5,4,81,3,3,4
3,5,4,81,3,3,4
3,4,3,80,4,3,1
3,5,5,79,3,3,4
3,4,5,78,4,3,4
4,5,2,77,3,1,1
3,5,5,77,3,3,4
3,5,5,76,3,3,4
3,2,5,76,1,3,2
3,5,3,76,3,3,1
3,3,3,75,1,3,3
3,5,4,74,3,3,4
3,3,3,74,1,3,3
3,5,4,74,3,3,4
3,4,3,73,4,3,1
3,5,3,73,3,3,1
3,4,3,73,4,3,1
3,3,3,65,1,3,3
1,5,5,63,4,3,4
2,5,3,63,4,4,1
2,4,3,63,4,4,1
1,5,5,58,4,3,4
3,3,1,56,1,2,3
3,3,1,56,1,2,3
2,5,3,55,4,4,1
1,1,5,53,2,3,2
2,3,4,53,2,3,4
2,4,3,53,4,4,1
1,4,4,51,4,4,4
1,3,4,50,2,4,4
1,3,4,50,2,4,4
1,3,5,49,2,3,4
2,5,4,48,4,3,4
1,5,3,46,4,4,1
1,5,3,46,4,4,1
2,5,4,46,4,3,4
1,5,5,45,4,3,4
1,5,4,43,4,4,4
2,5,3,43,4,4,1
2,5,3,43,4,4,1
1,4,3,42,4,4,1
1,4,3,42,4,4,1
2,5,3,41,4,4,1
2,4,3,41,4,4,1
1,3,1,38,2,2,3
1,4,3,38,4,4,1
1,3,2,33,2,4,3
1,3,1,31,2,2,3
1,3,1,31,2,2,3
1,3,1,31,2,2,3
1,4,3,30,4,4,1
2,3,1,29,2,2,3
1,1,1,28,2,2,3
1,5,1,27,4,2,1
1,4,1,27,4,2,1
1,1,3,25,2,4,2
1,2,3,25,2,4,2
1,1,1,25,2,2,3
1,3,3,25,2,4,3
1,2,3,25,2,4,2
1,5,1,24,4,2,1
1,2,1,24,2,2,3
1,1,1,24,2,2,3
1,2,1,24,2,2,3
1,1,1,24,2,2,3
2,1,1,24,2,2,3
1,5,1,24,4,2,1
1,1,1,23,2,2,3
1,2,1,23,2,2,3
1,1,1,23,2,2,3
