compl,accel,decel,result,cluster_ca,cluster_cd,cluster_ad,cluster_cad
5,5,5,100,1,4,2,1
5,5,5,99,1,4,2,1
5,4,5,99,1,4,2,1
4,5,5,99,1,4,2,1
4,5,5,99,1,4,2,1
5,5,5,99,1,4,2,1
5,5,5,98,1,4,2,1
5,5,5,98,1,4,2,1
5,5,5,98,1,4,2,1
4,5,5,98,1,4,2,1
4,4,4,97,1,4,2,1
5,5,5,97,1,4,2,1
4,5,5,97,1,4,2,1
4,5,5,96,1,4,2,1
5,5,5,95,1,4,2,1
5,5,5,95,1,4,2,1
4,5,5,95,1,4,2,1
5,3,3,95,1,3,2,1
5,5,3,95,1,3,2,1
4,5,5,94,1,4,2,1
5,5,5,94,1,4,2,1
5,1,5,94,2,4,1,1
5,5,5,94,1,4,2,1
5,5,5,94,1,4,2,1
5,5,5,92,1,4,2,1
4,4,4,92,1,4,2,1
5,3,4,92,1,4,2,1
5,5,5,92,1,4,2,1
5,5,5,91,1,4,2,1
5,5,4,91,1,4,2,1
4,4,4,91,1,4,2,1
5,5,5,90,1,4,2,1
5,4,4,90,1,4,2,1
5,5,5,90,1,4,2,1
4,5,4,89,1,4,2,1
5,3,4,89,1,4,2,1
4,5,5,89,1,4,2,1
4,5,4,89,1,4,2,1
4,5,4,89,1,4,2,1
4,5,4,89,1,4,2,1
4,5,4,88,1,4,2,1
5,5,5,88,1,4,2,1
4,5,5,88,1,4,2,1
5,5,5,87,1,4,2,1
4,5,4,85,1,4,2,1
5,5,3,85,1,3,2,1
3,5,4,83,3,4,2,2
3,5,3,82,3,4,2,2
3,5,5,82,3,4,2,2
2,5,5,82,3,2,2,2
3,5,5,82,3,4,2,2
3,5,4,81,3,4,2,2
3,5,4,81,3,4,2,2
3,4,3,80,3,4,2,2
3,5,5,79,3,4,2,2
3,4,5,78,3,4,2,2
4,5,2,77,1,3,3,1
3,5,5,77,3,4,2,2
3,5,5,76,3,4,2,2
3,2,5,76,2,4,1,1
3,5,3,76,3,4,2,2
3,3,3,75,3,4,2,2
3,5,4,74,3,4,2,2
3,3,3,74,3,4,2,2
3,5,4,74,3,4,2,2
3,4,3,73,3,4,2,2
3,5,3,73,3,4,2,2
3,4,3,73,3,4,2,2
3,3,3,65,3,4,2,2
1,5,5,63,3,2,2,2
2,5,3,63,3,2,2,2
2,4,3,63,3,2,2,2
1,5,5,58,3,2,2,2
3,3,1,56,3,1,3,2
3,3,1,56,3,1,3,2
2,5,3,55,3,2,2,2
1,1,5,53,4,2,1,2
2,3,4,53,4,2,2,2
2,4,3,53,3,2,2,2
1,4,4,51,3,2,2,2
1,3,4,50,4,2,2,2
1,3,4,50,4,2,2,2
1,3,5,49,4,2,1,2
2,5,4,48,3,2,2,2
1,5,3,46,3,2,2,2
1,5,3,46,3,2,2,2
2,5,4,46,3,2,2,2
1,5,5,45,3,2,2,2
1,5,4,43,3,2,2,2
2,5,3,43,3,2,2,2
2,5,3,43,3,2,2,2
1,4,3,42,3,2,2,2
1,4,3,42,3,2,2,2
2,5,3,41,3,2,2,2
2,4,3,41,3,2,2,2
1,3,1,38,4,1,3,2
1,4,3,38,3,2,2,2
1,3,2,33,4,1,3,2
1,3,1,31,4,1,3,2
1,3,1,31,4,1,3,2
1,3,1,31,4,1,3,2
1,4,3,30,3,2,2,2
2,3,1,29,4,1,3,2
1,1,1,28,4,1,4,2
1,5,1,27,3,1,3,2
1,4,1,27,3,1,3,2
1,1,3,25,4,2,4,2
1,2,3,25,4,2,4,2
1,1,1,25,4,1,4,2
1,3,3,25,4,2,2,2
1,2,3,25,4,2,4,2
1,5,1,24,3,1,3,2
1,2,1,24,4,1,4,2
1,1,1,24,4,1,4,2
1,2,1,24,4,1,4,2
1,1,1,24,4,1,4,2
2,1,1,24,4,1,4,2
1,5,1,24,3,1,3,2
1,1,1,23,4,1,4,2
1,2,1,23,4,1,4,2
1,1,1,23,4,1,4,2
