compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr,cluster_car,cluster_cdr,cluster_adr
1,1,1,23,2,3,2,2,1,1
1,1,1,24,2,3,2,2,1,1
1,1,2,21,2,3,2,2,1,1
1,1,2,22,2,3,2,2,1,1
1,1,3,24,2,3,2,2,1,1
1,1,3,25,2,3,2,2,1,1
1,1,4,35,2,3,1,2,1,2
1,1,4,36,2,3,1,2,1,2
1,1,5,50,2,1,1,2,1,2
1,1,5,51,2,1,1,2,1,2
1,2,1,23,2,3,2,2,1,1
1,2,1,24,2,3,2,2,1,1
1,2,2,26,2,3,2,2,1,1
1,2,2,27,2,3,2,2,1,1
1,2,3,26,2,3,2,2,1,1
1,2,3,27,2,3,2,2,1,1
1,2,4,32,2,7,2,2,1,2
1,2,4,33,2,7,2,2,1,2
1,2,5,45,2,7,1,2,1,2
1,2,5,46,2,7,1,2,1,2
1,3,1,31,2,14,2,2,1,1
1,3,1,32,2,14,2,2,1,1
1,3,2,31,2,14,2,2,1,1
1,3,2,32,2,14,2,2,1,1
1,3,3,30,2,14,2,2,1,1
1,3,3,31,2,14,2,2,1,1
1,3,4,47,2,6,1,2,1,2
1,3,4,48,2,6,1,2,1,2
1,3,5,49,2,6,1,2,1,2
1,3,5,50,2,6,1,2,1,2
1,4,1,26,2,4,2,4,1,1
1,4,1,27,2,4,2,4,1,1
1,4,2,34,2,4,2,4,1,1
1,4,2,35,2,4,2,4,1,1
1,4,3,38,2,4,2,4,1,3
1,4,3,39,2,4,2,4,1,3
1,4,4,47,2,16,1,4,1,3
1,4,4,48,2,16,1,4,1,3
1,4,5,61,2,10,1,4,1,3
1,4,5,62,2,10,1,4,1,3
1,5,1,24,2,2,2,4,1,1
1,5,1,25,2,2,2,4,1,1
1,5,2,33,2,2,2,4,1,1
1,5,2,34,2,2,2,4,1,1
1,5,3,36,2,8,2,4,1,3
1,5,3,37,2,8,2,4,1,3
1,5,4,39,2,8,1,4,1,3
1,5,4,40,2,8,1,4,1,3
1,5,5,44,2,8,1,4,1,3
1,5,5,45,2,8,1,4,1,3
2,1,1,24,2,3,2,2,2,1
2,1,1,25,2,3,2,2,2,1
2,1,2,35,2,3,2,2,1,1
2,1,2,36,2,3,2,2,1,1
2,1,3,41,2,1,2,2,1,2
2,1,3,42,2,1,2,2,1,2
2,1,4,45,2,1,1,2,1,2
2,1,4,46,2,1,1,2,1,2
2,1,5,53,2,1,1,2,1,2
2,1,5,54,2,1,1,2,1,2
2,2,1,34,2,7,2,2,2,1
2,2,1,35,2,7,2,2,2,1
2,2,2,42,2,7,2,2,1,1
2,2,2,43,2,7,2,2,1,1
2,2,3,43,2,7,2,2,1,2
2,2,3,44,2,7,2,2,1,2
2,2,4,40,2,7,1,2,1,2
2,2,4,41,2,7,1,2,1,2
2,2,5,42,2,7,1,2,1,2
2,2,5,43,2,7,1,2,1,2
2,3,1,30,2,14,2,2,2,1
