compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr,cluster_car,cluster_cdr,cluster_adr
3,5,4,94,6,2,1,2,3,2
1,5,1,27,7,3,2,1,2,1
1,4,3,42,9,3,2,1,1,1
1,5,1,24,7,3,2,1,2,1
4,5,5,75,10,2,1,2,3,2
1,1,3,25,7,4,2,1,1,1
3,4,5,45,6,2,1,2,3,2
5,5,5,91,1,2,1,2,3,2
3,5,4,83,6,2,1,2,3,2
1,5,3,46,9,3,2,1,1,2
2,3,2,30,16,4,2,1,2,1
3,5,5,95,6,2,1,2,3,2
5,5,5,100,1,2,1,2,3,2
3,5,5,79,6,2,1,2,3,2
4,4,3,91,14,2,1,2,3,2
4,5,4,89,10,2,1,2,3,2
3,5,4,59,6,2,1,2,3,2
4,5,4,85,12,2,1,2,3,2
5,5,5,90,1,2,1,2,3,2
3,5,3,92,6,2,1,2,3,2
5,5,5,99,1,2,1,2,3,2
3,3,1,35,2,4,2,1,2,1
5,1,1,32,15,4,2,1,2,1
1,3,1,38,7,4,2,1,2,1
1,1,1,23,7,4,2,1,2,1
2,5,5,45,11,3,1,1,1,2
4,5,5,70,10,2,1,2,3,2
5,4,4,90,17,2,1,2,3,2
5,3,1,94,15,4,2,1,2,1
5,5,1,31,15,3,2,1,2,1
3,5,5,91,6,2,1,2,3,2
3,3,1,56,13,4,2,1,2,1
1,2,1,24,7,4,2,1,2,1
3,5,5,87,6,2,1,2,3,2
3,4,3,68,6,2,1,2,3,2
1,1,5,53,9,4,1,1,1,3
1,3,4,50,9,4,1,1,1,3
5,4,3,62,4,2,1,2,3,2
5,3,4,89,17,2,1,2,3,3
2,5,5,60,11,3,1,1,1,2
5,5,1,31,15,3,2,1,2,1
1,1,1,24,7,4,2,1,2,1
1,5,4,43,9,3,1,1,1,2
5,5,5,98,1,2,1,2,3,2
4,5,4,88,12,2,1,2,3,2
1,2,1,24,7,4,2,1,2,1
3,5,4,74,6,2,1,2,3,2
3,5,3,62,6,2,1,2,3,2
