compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr,cluster_car,cluster_cdr,cluster_adr
3,5,4,94,11,4,2,2,1,1
1,5,1,27,6,17,1,3,2,2
1,4,3,42,17,19,1,3,2,2
1,5,1,24,6,17,1,3,2,2
4,5,5,75,14,4,2,2,1,1
1,1,3,25,6,16,1,1,2,3
3,4,5,45,11,4,2,2,1,1
5,5,5,91,14,4,2,2,1,1
3,5,4,83,11,4,2,2,1,1
1,5,3,46,17,17,1,3,2,2
2,3,2,30,9,16,1,1,2,3
3,5,5,95,11,4,2,2,1,1
5,5,5,100,14,4,2,2,1,1
3,5,5,79,11,4,2,2,1,1
4,4,3,91,14,5,2,2,1,1
4,5,4,89,14,4,2,2,1,1
3,5,4,59,11,4,2,2,1,1
4,5,4,85,14,4,2,2,1,1
5,5,5,90,14,4,2,2,1,1
3,5,3,92,11,4,2,2,1,2
5,5,5,99,14,4,2,2,1,1
3,3,1,35,4,18,1,1,2,3
5,1,1,32,18,3,1,1,2,3
1,3,1,38,4,16,1,1,2,3
1,1,1,23,6,8,1,1,2,3
2,5,5,45,11,17,2,3,1,1
4,5,5,70,14,4,2,2,1,1
5,4,4,90,14,13,2,2,1,1
5,3,1,94,18,3,1,2,1,3
5,5,1,31,18,19,1,2,2,2
3,5,5,91,11,4,2,2,1,1
3,3,1,56,4,16,1,1,2,3
1,2,1,24,6,16,1,1,2,3
3,5,5,87,11,4,2,2,1,1
3,4,3,68,11,5,2,2,1,1
1,1,5,53,1,2,2,1,2,1
1,3,4,50,5,19,2,1,2,1
5,4,3,62,12,13,2,2,1,1
5,3,4,89,8,10,2,2,1,1
2,5,5,60,11,17,2,3,1,1
5,5,1,31,18,19,1,2,2,2
1,1,1,24,6,8,1,1,2,3
1,5,4,43,5,17,2,3,2,2
5,5,5,98,14,4,2,2,1,1
4,5,4,88,14,4,2,2,1,1
1,2,1,24,6,16,1,1,2,3
3,5,4,74,11,4,2,2,1,1
3,5,3,62,11,4,2,2,1,2
5,4,5,99,14,13,2,2,1,1
2,5,5,68,11,17,2,3,1,1
5,5,4,91,14,4,2,2,1,1
5,5,5,98,14,4,2,2,1,1
1,2,3,25,6,16,1,1,2,3
3,5,5,76,11,4,2,2,1,1
1,1,1,25,6,16,1,1,2,3
1,5,3,31,17,17,1,3,2,2
4,5,5,96,14,4,2,2,1,1
1,1,1,28,6,16,1,1,2,3
2,5,5,68,11,17,2,3,1,1
5,3,2,67,15,6,1,2,1,3
4,5,2,89,14,7,2,2,1,2
1,3,3,40,17,16,1,1,2,3
1,3,4,50,5,19,2,1,2,1
5,5,3,82,14,4,2,2,1,1
1,4,1,27,17,16,1,3,2,2
3,5,4,81,11,4,2,2,1,1
2,5,3,43,5,17,1,3,2,2
1,3,5,49,3,19,2,1,2,1
5,5,5,90,14,4,2,2,1,1
1,5,3,32,17,17,1,3,2,2
5,5,5,92,14,4,2,2,1,1
4,5,5,89,14,4,2,2,1,1
2,5,4,48,5,17,2,3,2,2
1,5,4,39,13,17,2,3,2,2
4,5,5,99,14,4,2,2,1,1
3,5,5,93,11,4,2,2,1,1
1,5,5,58,13,17,2,3,2,2
1,5,3,46,5,17,1,3,2,2
3,3,3,75,11,6,2,2,1,1
1,3,1,31,6,16,1,1,2,3
1,1,1,24,6,16,1,1,2,3
4,5,5,94,14,4,2,2,1,1
4,5,4,89,14,4,2,2,1,1
3,5,3,82,11,4,2,2,1,2
4,5,4,81,14,4,2,2,1,1
1,3,1,31,6,16,1,1,2,3
5,4,3,62,15,13,2,2,1,1
3,2,4,68,10,9,2,1,1,1
3,3,3,74,11,6,2,2,1,1
5,5,5,98,14,4,2,2,1,1
1,4,3,30,17,19,1,3,2,2
5,5,5,87,14,4,2,2,1,1
3,4,3,73,11,5,2,2,1,1
2,3,4,53,5,19,2,1,2,1
4,5,4,89,14,4,2,2,1,1
3,5,5,82,11,4,2,2,1,1
4,5,5,77,14,4,2,2,1,1
4,4,4,97,14,13,2,2,1,1
3,4,5,90,14,5,2,2,1,1
5,5,5,95,14,4,2,2,1,1
5,5,5,94,14,4,2,2,1,1
3,5,5,87,11,4,2,2,1,1
1,5,5,28,13,17,2,3,2,2
2,1,1,24,6,8,1,1,2,3
4,5,4,89,14,4,2,2,1,1
3,3,5,66,14,5,2,2,1,1
1,5,1,24,4,17,1,3,2,2
5,5,4,76,14,4,2,2,1,1
4,4,3,91,14,5,2,2,1,1
1,4,3,42,17,19,1,3,2,2
3,5,4,74,11,4,2,2,1,1
2,5,4,46,11,17,2,3,2,2
4,5,5,98,14,4,2,2,1,1
1,5,5,63,13,17,2,3,2,2
3,5,3,92,11,4,2,2,1,2
3,4,5,78,11,4,2,2,1,1
1,5,3,38,5,17,1,3,2,2
3,2,5,76,14,11,2,2,1,1
2,5,5,82,11,17,2,3,2,1
3,5,3,63,11,4,2,2,1,2
1,2,1,23,6,16,1,1,2,3
3,5,5,98,11,4,2,2,1,1
4,5,2,77,18,17,1,2,1,2
4,4,4,92,14,13,2,2,1,1
4,5,5,75,14,4,2,2,1,1
5,5,5,97,14,4,2,2,1,1
4,5,5,99,14,4,2,2,1,1
3,4,3,90,11,5,2,2,1,1
3,4,5,90,14,5,2,2,1,1
3,3,3,65,11,6,2,2,1,1
3,3,1,56,4,16,1,1,2,3
2,5,3,63,5,17,1,3,2,2
2,5,3,55,5,17,1,3,2,2
1,4,4,51,5,19,2,3,2,2
3,5,5,56,11,4,2,2,1,1
2,5,3,41,5,17,1,3,2,2
2,4,3,41,5,19,1,3,2,2
3,4,3,49,11,5,2,2,1,1
3,5,5,82,11,4,2,2,1,1
5,5,5,95,14,4,2,2,1,1
5,3,4,92,8,10,2,2,1,1
5,1,5,94,8,11,2,2,1,1
4,5,5,97,14,4,2,2,1,1
1,3,2,33,17,16,1,1,2,3
4,5,5,95,14,4,2,2,1,1
1,1,1,23,6,16,1,1,2,3
3,5,5,93,11,4,2,2,1,1
3,5,3,73,11,4,2,2,1,2
2,5,5,48,11,17,2,3,1,1
5,5,5,94,14,4,2,2,1,1
3,5,4,81,11,4,2,2,1,1
5,5,5,99,14,4,2,2,1,1
3,5,5,97,11,4,2,2,1,1
2,4,3,63,5,19,1,3,2,2
3,4,3,73,11,5,2,2,1,1
5,3,3,95,15,10,2,2,1,1
3,5,5,94,11,4,2,2,1,1
3,5,5,92,11,4,2,2,1,1
2,4,3,53,5,19,1,3,2,2
5,5,5,94,14,4,2,2,1,1
1,3,1,31,6,16,1,1,2,3
1,3,3,25,17,16,1,1,2,3
1,5,3,31,17,17,1,3,2,2
3,5,3,76,11,4,2,2,1,2
4,4,4,91,14,13,2,2,1,1
2,3,1,29,4,16,1,1,2,3
3,5,5,93,11,4,2,2,1,1
1,5,5,28,13,17,2,3,2,2
3,5,5,77,11,4,2,2,1,1
5,5,3,95,14,4,2,2,1,1
1,2,3,25,6,16,1,1,2,3
5,5,5,88,14,4,2,2,1,1
3,3,5,43,14,5,2,2,1,1
5,5,3,85,14,4,2,2,1,1
2,5,3,43,5,17,1,3,2,2
3,4,3,80,11,5,2,2,1,1
3,5,5,89,11,4,2,2,1,1
3,3,5,66,14,5,2,2,1,1
1,4,3,38,17,19,1,3,2,2
1,5,5,45,13,17,2,3,2,2
4,5,5,88,14,4,2,2,1,1
5,5,5,92,14,4,2,2,1,1
