compliance,acceleration,deceleration,result,cluster_cr,cluster_ar,cluster_dr
1,1,1,23,2,8,3
1,1,1,24,2,8,3
1,1,2,19,2,8,3
1,1,2,20,2,8,3
1,1,3,23,2,8,3
1,1,3,24,2,8,3
1,1,4,34,2,8,4
1,1,4,35,2,8,4
1,1,5,48,2,17,4
1,1,5,49,2,17,4
1,2,1,22,2,10,3
1,2,1,23,2,10,3
1,2,2,24,2,10,3
1,2,2,25,2,10,3
1,2,3,24,2,10,3
1,2,3,25,2,10,3
1,2,4,28,2,10,4
1,2,4,29,2,10,4
1,2,5,36,2,10,4
1,2,5,37,2,10,4
1,3,1,29,2,5,3
1,3,1,30,2,5,3
1,3,2,30,2,5,3
1,3,2,31,2,5,3
1,3,3,33,2,5,4
1,3,3,34,2,5,4
1,3,4,42,2,6,4
1,3,4,43,2,6,4
1,3,5,44,2,6,4
1,3,5,45,2,6,4
1,4,1,23,2,7,3
1,4,1,24,2,7,3
1,4,2,30,2,7,3
1,4,2,31,2,7,3
1,4,3,33,2,16,4
1,4,3,34,2,16,4
1,4,4,36,2,16,4
1,4,4,37,2,16,4
1,4,5,46,2,18,4
1,4,5,47,2,18,4
1,5,1,22,2,11,3
1,5,1,23,2,11,3
1,5,2,32,2,11,3
1,5,2,33,2,11,3
1,5,3,33,2,11,4
1,5,3,34,2,11,4
1,5,4,36,2,15,4
1,5,4,37,2,15,4
1,5,5,40,2,15,4
1,5,5,41,2,15,4
2,1,1,22,2,8,3
2,1,1,23,2,8,3
2,1,2,32,2,8,3
2,1,2,33,2,8,3
2,1,3,46,2,17,4
2,1,3,47,2,17,4
2,1,4,57,2,17,4
2,1,4,58,2,17,4
2,1,5,69,1,9,1
2,1,5,70,1,9,1
2,2,1,23,2,10,3
2,2,1,24,2,10,3
2,2,2,35,2,10,3
2,2,2,36,2,10,3
2,2,3,38,2,10,4
2,2,3,39,2,10,4
2,2,4,42,2,10,4
2,2,4,43,2,10,4
2,2,5,52,2,4,4
2,2,5,53,2,4,4
2,3,1,26,2,5,3
2,3,1,27,2,5,3
2,3,2,35,2,5,3
2,3,2,36,2,5,3
