compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr
1,1,1,22,7,3,1
1,1,1,23,7,3,1
1,1,1,24,7,3,1
1,1,1,25,7,3,1
1,1,2,20,7,3,1
1,1,2,21,7,3,1
1,1,2,22,7,3,1
1,1,2,23,7,3,1
1,1,3,23,7,3,1
1,1,3,24,7,3,1
1,1,3,25,7,3,1
1,1,3,26,7,3,1
1,1,4,34,4,3,2
1,1,4,35,18,3,2
1,1,4,36,18,3,2
1,1,4,37,18,3,2
1,1,5,49,14,3,2
1,1,5,50,14,3,2
1,1,5,51,14,3,2
1,1,5,52,14,3,2
1,2,1,22,7,3,1
1,2,1,23,7,3,1
1,2,1,24,7,3,1
1,2,1,25,7,3,1
1,2,2,25,7,3,1
1,2,2,26,7,3,1
1,2,2,27,7,3,1
1,2,2,28,4,3,1
1,2,3,25,7,3,1
1,2,3,26,7,3,1
1,2,3,27,7,3,1
1,2,3,28,4,3,1
1,2,4,31,4,3,1
1,2,4,32,4,3,1
1,2,4,33,4,3,1
1,2,4,34,4,3,2
1,2,5,44,14,3,2
1,2,5,45,14,3,2
1,2,5,46,14,3,2
1,2,5,47,14,3,2
1,3,1,30,4,3,1
1,3,1,31,4,3,1
1,3,1,32,4,3,1
1,3,1,33,4,3,1
1,3,2,30,4,3,1
1,3,2,31,4,3,1
1,3,2,32,4,3,1
1,3,2,33,4,3,1
1,3,3,29,4,3,1
1,3,3,30,4,3,1
1,3,3,31,4,3,1
1,3,3,32,4,3,1
1,3,4,46,14,3,2
1,3,4,47,14,3,2
1,3,4,48,14,3,2
1,3,4,49,14,3,2
1,3,5,48,14,3,2
1,3,5,49,14,3,2
1,3,5,50,14,3,2
1,3,5,51,14,3,2
1,4,1,25,7,2,1
1,4,1,26,7,2,1
1,4,1,27,7,2,1
1,4,1,28,4,2,1
1,4,2,33,4,2,1
1,4,2,34,4,2,1
1,4,2,35,18,2,1
1,4,2,36,18,2,1
1,4,3,37,18,2,1
1,4,3,38,18,2,1
1,4,3,39,18,2,1
1,4,3,40,18,2,1
1,4,4,46,14,2,2
1,4,4,47,14,2,2
1,4,4,48,14,2,2
1,4,4,49,14,2,2
1,4,5,60,14,4,2
1,4,5,61,14,4,2
1,4,5,62,14,4,2
1,4,5,63,14,4,2
1,5,1,23,7,2,1
1,5,1,24,7,2,1
1,5,1,25,7,2,1
1,5,1,26,7,2,1
1,5,2,32,4,2,1
1,5,2,33,4,2,1
1,5,2,34,4,2,1
1,5,2,35,18,2,1
1,5,3,35,18,2,1
1,5,3,36,18,2,1
1,5,3,37,18,2,1
1,5,3,38,18,2,1
1,5,4,38,18,2,2
1,5,4,39,18,2,2
1,5,4,40,18,2,2
1,5,4,41,18,2,2
1,5,5,43,18,2,2
1,5,5,44,14,2,2
1,5,5,45,14,2,2
1,5,5,46,14,2,2
2,1,1,23,2,3,1
2,1,1,24,2,3,1
2,1,1,25,2,3,1
2,1,1,26,2,3,1
2,1,2,34,2,3,1
2,1,2,35,2,3,1
2,1,2,36,2,3,1
2,1,2,37,2,3,1
2,1,3,40,10,3,1
2,1,3,41,10,3,1
2,1,3,42,10,3,1
2,1,3,43,10,3,1
2,1,4,44,10,3,2
2,1,4,45,10,3,2
2,1,4,46,10,3,2
2,1,4,47,10,3,2
2,1,5,52,5,3,2
2,1,5,53,5,1,2
2,1,5,54,5,1,2
2,1,5,55,5,1,2
2,2,1,33,2,3,1
2,2,1,34,2,3,1
2,2,1,35,2,3,1
2,2,1,36,2,3,1
2,2,2,41,10,3,1
2,2,2,42,10,3,1
2,2,2,43,10,3,1
2,2,2,44,10,3,1
2,2,3,42,10,3,1
2,2,3,43,10,3,1
2,2,3,44,10,3,1
2,2,3,45,10,3,1
2,2,4,39,10,3,2
2,2,4,40,10,3,2
2,2,4,41,10,3,2
2,2,4,42,10,3,2
2,2,5,41,10,3,2
2,2,5,42,10,3,2
2,2,5,43,10,3,2
2,2,5,44,10,3,2
2,3,1,29,2,3,1
2,3,1,30,2,3,1
2,3,1,31,2,3,1
2,3,1,32,2,3,1
2,3,2,41,10,3,1
2,3,2,42,10,3,1
2,3,2,43,10,3,1
2,3,2,44,10,3,1
2,3,3,51,5,3,2
2,3,3,52,5,3,2
2,3,3,53,5,3,2
2,3,3,54,5,3,2
2,3,4,47,10,3,2
2,3,4,48,10,3,2
2,3,4,49,5,3,2
2,3,4,50,5,3,2
2,3,5,42,10,3,2
2,3,5,43,10,3,2
