compl,accel,decel,result,cluster_cr,cluster_ad,cluster_dr,cluster_car,cluster_cdr,cluster_adr
1,1,1,20,1,3,15,1,12,2
1,1,1,21,1,3,15,1,12,2
1,1,1,22,1,3,15,1,12,2
1,1,1,23,1,3,15,1,12,2
1,1,2,22,1,3,15,1,12,2
1,1,2,23,1,3,15,1,12,2
1,1,2,24,1,3,15,1,12,2
1,1,2,25,1,3,15,1,12,2
1,1,3,22,1,3,6,1,14,2
1,1,3,23,1,3,6,1,14,2
1,1,3,24,1,3,6,1,14,2
1,1,3,25,1,3,6,1,14,2
1,1,4,30,1,3,2,1,16,2
1,1,4,31,1,3,2,1,16,2
1,1,4,32,1,3,2,1,16,2
1,1,4,33,1,3,2,1,16,2
1,1,5,42,1,3,16,1,10,1
1,1,5,43,1,3,16,1,10,1
1,1,5,44,1,3,16,1,10,1
1,1,5,45,1,3,16,1,10,1
1,2,1,20,1,3,15,1,12,2
1,2,1,21,1,3,15,1,12,2
1,2,1,22,1,3,15,1,12,2
1,2,1,23,1,3,15,1,12,2
1,2,2,25,1,3,15,1,12,2
1,2,2,26,1,3,15,1,12,2
1,2,2,27,1,3,15,1,12,2
1,2,2,28,1,3,15,1,12,2
1,2,3,26,1,3,6,1,14,2
1,2,3,27,1,3,6,1,14,2
1,2,3,28,1,3,6,1,14,2
1,2,3,29,1,3,6,1,14,2
1,2,4,31,1,3,2,1,16,2
1,2,4,32,1,3,2,1,16,2
1,2,4,33,1,3,2,1,16,2
1,2,4,34,1,3,2,1,16,2
1,2,5,37,1,3,16,1,10,1
1,2,5,38,1,3,16,1,10,1
1,2,5,39,1,3,16,1,10,1
1,2,5,40,1,3,16,1,10,1
1,3,1,26,1,4,15,1,12,2
1,3,1,27,1,4,15,1,12,2
1,3,1,28,1,4,15,1,12,2
1,3,1,29,1,4,15,1,12,2
1,3,2,26,1,4,15,1,12,2
1,3,2,27,1,4,15,1,12,2
1,3,2,28,1,4,15,1,12,2
1,3,2,29,1,4,15,1,12,2
1,3,3,31,1,4,6,1,14,2
1,3,3,32,1,4,6,1,14,2
1,3,3,33,1,4,6,1,14,2
