compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr
3,5,4,94,12,4,2
1,5,1,27,7,2,1
1,4,3,42,18,2,1
1,5,1,24,7,2,1
4,5,5,75,16,4,2
1,1,3,25,7,3,1
3,4,5,45,12,4,2
5,5,5,91,3,4,2
3,5,4,83,12,4,2
1,5,3,46,18,2,1
2,3,2,30,10,3,1
3,5,5,95,12,4,2
5,5,5,100,3,4,2
3,5,5,79,12,4,2
4,4,3,91,6,4,2
4,5,4,89,16,4,2
3,5,4,59,12,4,2
4,5,4,85,16,4,2
5,5,5,90,3,4,2
3,5,3,92,12,4,2
5,5,5,99,3,4,2
3,3,1,35,13,3,1
5,1,1,32,1,3,1
1,3,1,38,4,3,1
1,1,1,23,7,3,1
2,5,5,45,5,2,2
4,5,5,70,16,4,2
5,4,4,90,3,4,2
5,3,1,94,1,3,1
5,5,1,31,1,2,1
3,5,5,91,12,4,2
3,3,1,56,11,3,1
1,2,1,24,7,3,1
3,5,5,87,12,4,2
3,4,3,68,12,4,2
1,1,5,53,14,3,2
1,3,4,50,14,3,2
5,4,3,62,9,4,2
5,3,4,89,3,4,2
2,5,5,60,5,2,2
5,5,1,31,1,2,1
1,1,1,24,7,3,1
1,5,4,43,18,2,2
5,5,5,98,3,4,2
4,5,4,88,16,4,2
1,2,1,24,7,3,1
3,5,4,74,12,4,2
3,5,3,62,12,4,2
5,4,5,99,3,4,2
2,5,5,68,5,2,2
5,5,4,91,3,4,2
5,5,5,98,3,4,2
1,2,3,25,7,3,1
3,5,5,76,12,4,2
1,1,1,25,7,3,1
1,5,3,31,18,2,1
4,5,5,96,16,4,2
1,1,1,28,7,3,1
2,5,5,68,5,2,2
5,3,2,67,9,4,2
4,5,2,89,16,4,2
1,3,3,40,4,3,1
1,3,4,50,14,3,2
5,5,3,82,3,4,2
1,4,1,27,7,2,1
3,5,4,81,12,4,2
2,5,3,43,10,2,1
1,3,5,49,14,3,2
5,5,5,90,3,4,2
1,5,3,32,18,2,1
5,5,5,92,3,4,2
4,5,5,89,16,4,2
2,5,4,48,5,2,2
1,5,4,39,18,2,2
4,5,5,99,16,4,2
3,5,5,93,12,4,2
1,5,5,58,14,2,2
1,5,3,46,18,2,1
3,3,3,75,13,4,2
1,3,1,31,4,3,1
1,1,1,24,7,3,1
4,5,5,94,16,4,2
4,5,4,89,16,4,2
3,5,3,82,12,4,2
4,5,4,81,16,4,2
1,3,1,31,4,3,1
5,4,3,62,9,4,2
3,2,4,68,12,1,2
3,3,3,74,13,4,2
5,5,5,98,3,4,2
1,4,3,30,18,2,1
5,5,5,87,3,4,2
3,4,3,73,12,4,2
2,3,4,53,5,3,2
4,5,4,89,16,4,2
3,5,5,82,12,4,2
4,5,5,77,16,4,2
4,4,4,97,16,4,2
3,4,5,90,12,4,2
5,5,5,95,3,4,2
5,5,5,94,3,4,2
3,5,5,87,12,4,2
1,5,5,28,14,2,2
2,1,1,24,2,3,1
4,5,4,89,16,4,2
3,3,5,66,12,4,2
1,5,1,24,7,2,1
5,5,4,76,3,4,2
4,4,3,91,6,4,2
1,4,3,42,18,2,1
3,5,4,74,12,4,2
2,5,4,46,5,2,2
4,5,5,98,16,4,2
1,5,5,63,14,2,2
3,5,3,92,12,4,2
3,4,5,78,12,4,2
1,5,3,38,18,2,1
3,2,5,76,12,1,2
2,5,5,82,5,2,2
3,5,3,63,12,4,2
1,2,1,23,7,3,1
3,5,5,98,12,4,2
4,5,2,77,16,4,2
4,4,4,92,16,4,2
4,5,5,75,16,4,2
5,5,5,97,3,4,2
4,5,5,99,16,4,2
3,4,3,90,12,4,2
3,4,5,90,12,4,2
3,3,3,65,13,4,2
3,3,1,56,13,3,1
2,5,3,63,10,2,1
2,5,3,55,10,2,1
1,4,4,51,14,2,2
3,5,5,56,12,4,2
2,5,3,41,10,2,1
2,4,3,41,5,2,2
3,4,3,49,12,4,2
3,5,5,82,12,4,2
5,5,5,95,3,4,2
5,3,4,92,3,4,2
5,1,5,94,3,1,2
4,5,5,97,16,4,2
1,3,2,33,4,3,1
4,5,5,95,16,4,2
1,1,1,23,7,3,1
3,5,5,93,12,4,2
3,5,3,73,12,4,2
2,5,5,48,5,2,2
5,5,5,94,3,4,2
3,5,4,81,12,4,2
5,5,5,99,3,4,2
3,5,5,97,12,4,2
2,4,3,63,5,2,1
3,4,3,73,12,4,2
5,3,3,95,9,4,2
3,5,5,94,12,4,2
3,5,5,92,12,4,2
2,4,3,53,5,2,1
5,5,5,94,3,4,2
1,3,1,31,4,3,1
1,3,3,25,4,3,1
1,5,3,31,18,2,1
3,5,3,76,12,4,2
4,4,4,91,16,4,2
2,3,1,29,2,3,1
3,5,5,93,12,4,2
1,5,5,28,14,2,2
3,5,5,77,12,4,2
5,5,3,95,3,4,2
1,2,3,25,4,3,1
5,5,5,88,3,4,2
3,3,5,43,12,4,2
5,5,3,85,3,4,2
2,5,3,43,10,2,1
3,4,3,80,12,4,2
3,5,5,89,12,4,2
3,3,5,66,12,4,2
1,4,3,38,18,2,1
1,5,5,45,14,2,2
4,5,5,88,16,4,2
5,5,5,92,3,4,2
