compl,accel,decel,result,cluster_cr,cluster_ad,cluster_dr,cluster_car,cluster_cdr,cluster_adr
5,5,5,100,2,2,14,2,7,1
5,5,5,99,2,2,14,2,7,1
5,4,5,99,2,2,14,2,7,1
4,5,5,99,2,2,14,2,11,1
4,5,5,99,2,2,14,2,11,1
5,5,5,99,2,2,14,2,7,1
5,5,5,98,2,2,14,2,7,1
5,5,5,98,2,2,14,2,7,1
5,5,5,98,2,2,14,2,7,1
4,5,5,98,2,2,14,2,11,1
4,4,4,97,2,2,3,2,20,1
5,5,5,97,2,2,14,2,7,1
4,5,5,97,2,2,14,2,11,1
4,5,5,96,2,2,14,2,11,1
5,5,5,95,2,2,14,2,7,1
5,5,5,95,2,2,14,2,7,1
4,5,5,95,2,2,14,2,11,1
5,3,3,95,2,1,5,2,4,1
5,5,3,95,2,2,5,2,4,1
4,5,5,94,2,2,14,2,11,1
5,5,5,94,2,2,14,2,7,1
5,1,5,94,2,1,14,3,7,1
5,5,5,94,2,2,14,2,7,1
5,5,5,94,2,2,14,2,7,1
5,5,5,92,2,2,14,2,7,1
4,4,4,92,2,2,3,2,20,1
5,3,4,92,2,1,3,2,4,1
5,5,5,92,2,2,14,2,7,1
5,5,5,91,2,2,14,2,7,1
5,5,4,91,2,2,3,2,4,1
4,4,4,91,2,2,3,2,20,1
5,5,5,90,2,2,14,2,7,1
5,4,4,90,2,2,3,2,4,1
5,5,5,90,2,2,14,2,7,1
4,5,4,89,2,2,3,2,19,1
5,3,4,89,2,1,3,2,4,1
4,5,5,89,2,2,14,2,11,1
4,5,4,89,2,2,3,2,18,1
4,5,4,89,2,2,3,2,18,1
4,5,4,89,2,2,3,2,18,1
4,5,4,88,2,2,3,2,20,1
5,5,5,88,2,2,14,2,7,1
4,5,5,88,2,2,14,2,11,1
5,5,5,87,2,2,14,2,7,1
4,5,4,85,2,2,3,2,20,1
5,5,3,85,2,2,5,2,4,1
3,5,4,83,2,2,10,2,17,1
3,5,3,82,2,2,11,2,19,1
3,5,5,82,2,2,18,2,17,1
2,5,5,82,1,4,16,1,8,1
3,5,5,82,2,2,18,2,17,1
3,5,4,81,2,2,10,2,17,1
4,5,4,81,2,2,3,2,4,1
3,5,4,81,2,2,10,2,17,1
3,4,3,80,2,2,11,2,19,1
3,5,5,79,2,2,18,2,17,1
3,4,5,78,2,2,18,2,17,1
4,5,2,77,2,2,17,2,3,2
3,5,5,77,2,2,18,2,17,1
3,5,5,76,2,2,18,2,17,1
3,2,5,76,2,1,18,3,17,1
3,5,3,76,2,2,11,2,19,1
3,3,3,75,2,1,13,2,19,1
3,5,4,74,2,2,10,2,17,1
3,3,3,74,2,1,13,2,19,1
3,5,4,74,2,2,10,2,17,1
3,4,3,73,2,2,11,2,19,1
3,5,3,73,2,2,11,2,19,1
3,4,3,73,2,2,11,2,19,1
3,4,3,68,2,2,11,2,19,1
2,5,5,68,1,4,16,1,8,1
2,5,5,68,1,4,16,1,8,1
3,2,4,68,2,1,10,3,17,1
3,3,3,65,2,1,13,2,19,1
1,5,5,63,1,4,16,1,10,1
3,5,3,63,2,2,11,2,19,1
2,5,3,63,1,4,6,1,2,2
2,4,3,63,1,4,1,1,2,2
3,5,3,62,2,2,11,2,19,1
2,5,5,60,1,4,16,1,8,1
1,5,5,58,1,4,16,1,10,1
3,3,1,56,1,4,12,1,5,2
3,3,1,56,1,4,12,1,5,2
2,5,3,55,1,4,6,1,2,2
1,1,5,53,1,3,16,1,10,1
2,3,4,53,1,4,2,1,13,1
2,4,3,53,1,4,1,1,2,2
1,4,4,51,1,4,2,1,16,1
1,3,4,50,1,4,2,1,16,1
1,3,4,50,1,4,2,1,16,1
1,3,5,49,1,4,16,1,10,1
3,4,3,49,2,2,11,2,19,1
2,5,4,48,1,4,2,1,13,1
2,5,5,48,1,4,16,1,8,1
1,5,3,46,1,4,6,1,14,2
1,5,3,46,1,4,6,1,14,2
2,5,4,46,1,4,2,1,13,1
2,5,5,45,1,4,16,1,8,1
1,5,5,45,1,4,16,1,10,1
1,5,4,43,1,4,2,1,16,1
2,5,3,43,1,4,1,1,2,2
2,5,3,43,1,4,1,1,2,2
1,4,3,42,1,4,6,1,14,2
1,4,3,42,1,4,6,1,14,2
2,5,3,41,1,4,1,1,2,2
2,4,3,41,1,4,1,1,2,2
1,3,1,38,1,4,15,1,12,2
1,5,3,38,1,4,6,1,14,2
1,4,3,38,1,4,6,1,14,2
1,3,2,33,1,4,15,1,12,2
1,5,3,32,1,4,6,1,14,2
1,5,3,31,1,4,6,1,14,2
1,3,1,31,1,4,15,1,12,2
1,3,1,31,1,4,15,1,12,2
1,3,1,31,1,4,15,1,12,2
1,5,3,31,1,4,6,1,14,2
2,3,2,30,1,4,8,1,15,2
1,4,3,30,1,4,6,1,14,2
2,3,1,29,1,4,15,1,15,2
1,1,1,28,1,3,15,1,12,2
1,5,1,27,1,4,15,1,12,2
1,4,1,27,1,4,15,1,12,2
1,1,3,25,1,3,6,1,14,2
1,2,3,25,1,3,6,1,14,2
1,1,1,25,1,3,15,1,12,2
1,3,3,25,1,4,6,1,14,2
1,2,3,25,1,3,6,1,14,2
1,5,1,24,1,4,15,1,12,2
1,2,1,24,1,3,15,1,12,2
1,1,1,24,1,3,15,1,12,2
1,2,1,24,1,3,15,1,12,2
1,1,1,24,1,3,15,1,12,2
2,1,1,24,1,3,15,1,15,2
1,5,1,24,1,4,15,1,12,2
1,1,1,23,1,3,15,1,12,2
1,2,1,23,1,3,15,1,12,2
1,1,1,23,1,3,15,1,12,2
