compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr
1,1,5,53,1,10,1
1,3,5,49,1,8,1
1,5,5,63,1,5,1
1,5,5,58,1,5,1
1,5,5,45,1,5,1
1,5,5,28,1,5,1
1,5,5,28,1,5,1
1,3,4,50,1,8,1
1,3,4,50,1,8,1
1,4,4,51,1,17,1
1,5,4,43,1,5,1
1,5,4,39,1,5,1
1,1,3,25,1,13,2
1,2,3,25,1,13,2
1,2,3,25,1,13,2
1,3,3,25,1,8,2
1,4,3,42,1,17,2
1,4,3,42,1,16,2
1,4,3,38,1,17,2
1,4,3,30,1,16,2
1,5,3,46,1,19,2
1,5,3,46,1,19,2
1,5,3,38,1,19,2
1,5,3,32,1,19,2
1,5,3,31,1,19,2
1,5,3,31,1,19,2
1,3,2,33,1,6,2
1,1,1,28,1,13,2
1,1,1,25,1,13,2
1,1,1,24,1,13,2
1,1,1,24,1,13,2
1,1,1,23,1,13,2
1,1,1,23,1,13,2
1,2,1,24,1,13,2
1,2,1,24,1,13,2
1,2,1,23,1,13,2
1,3,1,38,1,6,2
1,3,1,31,1,6,2
1,3,1,31,1,6,2
1,3,1,31,1,6,2
1,4,1,27,1,16,2
1,5,1,27,1,19,2
1,5,1,24,1,19,2
1,5,1,24,1,19,2
2,5,5,68,1,5,1
2,5,5,68,1,5,1
2,5,5,60,1,5,1
2,5,5,48,1,5,1
2,5,5,45,1,5,1
2,3,4,53,1,8,1
2,5,4,48,1,5,1
2,5,4,46,1,5,1
2,4,3,63,1,16,1
2,4,3,53,1,16,2
2,4,3,41,1,17,2
2,5,3,63,1,5,2
2,5,3,55,1,5,2
2,5,3,43,1,5,2
2,5,3,43,1,5,2
2,5,3,41,1,5,2
2,3,2,30,1,8,2
2,1,1,24,1,13,2
2,3,1,29,1,8,2
3,3,5,66,2,14,1
3,3,5,66,2,14,1
3,3,5,43,2,14,1
3,4,5,78,2,9,1
3,4,5,45,2,9,1
3,5,5,82,2,3,1
3,5,5,82,2,3,1
3,5,5,79,2,3,1
3,5,5,77,2,3,1
3,5,5,76,2,3,1
3,5,5,56,2,3,1
3,2,4,68,2,11,1
3,5,4,83,2,3,1
3,5,4,81,2,3,1
3,5,4,81,2,3,1
3,5,4,74,2,3,1
3,5,4,74,2,3,1
3,5,4,59,2,3,1
3,3,3,65,2,14,1
3,4,3,68,2,9,1
3,4,3,49,2,9,1
3,5,3,63,2,5,1
3,5,3,62,2,5,1
3,3,1,56,1,6,2
3,3,1,56,1,6,2
3,3,1,35,1,6,2
4,5,5,99,2,3,1
4,5,5,99,2,3,1
4,5,5,98,2,3,1
4,5,5,97,2,3,1
4,5,5,96,2,3,1
4,5,5,95,2,3,1
4,5,5,94,2,3,1
4,5,5,89,2,3,1
4,5,5,88,2,3,1
4,5,5,77,2,3,1
4,5,5,75,2,3,1
4,5,5,75,2,3,1
4,5,5,70,2,3,1
4,4,4,97,2,9,1
4,4,4,92,2,9,1
4,4,4,91,2,9,1
4,5,4,89,2,3,1
4,5,4,89,2,3,1
4,5,4,89,2,3,1
4,5,4,89,2,3,1
4,5,4,88,2,3,1
4,5,4,85,2,3,1
4,5,4,81,2,3,1
4,5,2,77,2,3,1
5,1,5,94,2,7,1
5,4,5,99,2,12,1
5,5,5,100,2,3,1
5,5,5,99,2,3,1
5,5,5,99,2,3,1
5,5,5,98,2,3,1
5,5,5,98,2,3,1
5,5,5,98,2,3,1
5,5,5,97,2,3,1
5,5,5,95,2,3,1
5,5,5,95,2,3,1
5,5,5,94,2,3,1
5,5,5,94,2,3,1
5,5,5,94,2,3,1
5,5,5,92,2,3,1
5,5,5,92,2,3,1
5,5,5,91,2,3,1
5,5,5,90,2,3,1
5,5,5,90,2,3,1
5,5,5,88,2,3,1
5,5,5,87,2,3,1
5,3,4,92,2,1,1
5,3,4,89,2,1,1
5,4,4,90,2,9,1
5,5,4,91,2,3,1
5,5,4,76,2,3,1
5,3,3,95,2,14,1
5,4,3,62,2,9,1
5,4,3,62,2,9,1
5,5,3,95,2,3,1
5,5,3,85,2,3,1
5,5,3,82,2,3,1
5,3,2,67,2,14,1
5,1,1,32,1,13,2
5,5,1,31,1,19,2
5,5,1,31,1,19,2
