"","compl","accel","decel","clust_ca","clust_cd","clust_ad","clust_cad","pred","answer","loss"
"1",5,5,5,10,2,2,2,100.1,100,0.0999999999999943
"2",5,5,5,10,2,2,2,100.1,99,1.09999999999999
"3",5,4,5,7,2,2,2,100.1,99,1.09999999999999
"4",4,5,5,13,2,2,2,87.8,99,11.2
"5",4,5,5,13,2,2,2,87.8,99,11.2
"6",5,5,5,10,2,2,2,100.1,99,1.09999999999999
"7",5,5,5,10,2,2,2,100.1,98,2.09999999999999
"8",5,5,5,10,2,2,2,100.1,98,2.09999999999999
"9",5,5,5,10,2,2,2,100.1,98,2.09999999999999
"10",4,5,5,13,2,2,2,87.8,98,10.2
"11",4,4,4,5,2,2,2,85.9,97,11.1
"12",5,5,5,10,2,2,2,100.1,97,3.09999999999999
"13",4,5,5,13,2,2,2,87.8,97,9.2
"14",4,5,5,13,2,2,2,87.8,96,8.2
"15",5,5,5,10,2,2,2,100.1,95,5.09999999999999
"16",5,5,5,10,2,2,2,100.1,95,5.09999999999999
"17",4,5,5,13,2,2,2,87.8,95,7.2
"18",5,3,3,9,2,1,2,85.7,95,9.3
"19",5,5,3,10,2,2,2,91.2,95,3.8
"20",4,5,5,13,2,2,2,87.8,94,6.2
"21",5,5,5,10,2,2,2,100.1,94,6.09999999999999
"22",5,1,5,15,2,1,2,88.4,94,5.59999999999999
"23",5,5,5,10,2,2,2,100.1,94,6.09999999999999
"24",5,5,5,10,2,2,2,100.1,94,6.09999999999999
"25",5,5,5,10,2,2,2,100.1,92,8.09999999999999
"26",4,4,4,5,2,2,2,85.9,92,6.09999999999999
"27",5,3,4,9,2,2,2,93.1,92,1.09999999999999
"28",5,5,5,10,2,2,2,100.1,92,8.09999999999999
"29",5,5,5,10,2,2,2,100.1,91,9.09999999999999
"30",5,5,4,10,2,2,2,95.7,91,4.7
"31",4,4,4,5,2,2,2,85.9,91,5.09999999999999
"32",5,5,5,10,2,2,2,100.1,90,10.1
"33",5,4,4,7,2,2,2,95.6,90,5.59999999999999
"34",5,5,5,10,2,2,2,100.1,90,10.1
"35",4,5,4,13,2,2,2,83.4,89,5.59999999999999
"36",5,3,4,9,2,2,2,93.1,89,4.09999999999999
"37",4,5,5,13,2,2,2,87.8,89,1.2
"38",4,5,4,13,2,2,2,83.4,89,5.59999999999999
"39",4,5,4,13,2,2,2,83.4,89,5.59999999999999
"40",4,5,4,13,2,2,2,83.4,89,5.59999999999999
"41",4,5,4,13,2,2,2,83.4,88,4.59999999999999
"42",5,5,5,10,2,2,2,100.1,88,12.1
"43",4,5,5,13,2,2,2,87.8,88,0.200000000000003
"44",5,5,5,10,2,2,2,100.1,87,13.1
"45",4,5,4,13,2,2,2,83.4,85,1.59999999999999
"46",5,5,3,10,2,2,2,91.2,85,6.2
"47",3,5,4,2,2,2,2,78.2,83,4.8
"48",3,5,3,2,1,2,2,70.7,82,11.3
"49",3,5,5,2,2,2,2,82.7,82,0.700000000000003
"50",2,5,5,14,2,2,2,65.8,82,16.2
"51",3,5,5,2,2,2,2,82.7,82,0.700000000000003
"52",3,5,4,2,2,2,2,78.2,81,2.8
"53",3,5,4,2,2,2,2,78.2,81,2.8
"54",3,4,3,5,1,2,2,67.6,80,12.4
"55",3,5,5,2,2,2,2,82.7,79,3.7
"56",3,4,5,5,2,2,2,79.6,78,1.59999999999999
"57",4,5,2,13,1,2,2,71.5,77,5.5
"58",3,5,5,2,2,2,2,82.7,77,5.7
"59",3,5,5,2,2,2,2,82.7,76,6.7
"60",3,2,5,6,2,2,2,76,76,0
"61",3,5,3,2,1,2,2,70.7,76,5.3
"62",3,3,3,6,1,1,1,58.5,75,16.5
"63",3,5,4,2,2,2,2,78.2,74,4.2
"64",3,3,3,6,1,1,1,58.5,74,15.5
"65",3,5,4,2,2,2,2,78.2,74,4.2
"66",3,4,3,5,1,2,2,67.6,73,5.40000000000001
"67",3,5,3,2,1,2,2,70.7,73,2.3
"68",3,4,3,5,1,2,2,67.6,73,5.40000000000001
"69",3,3,3,6,1,1,1,58.5,65,6.5
"70",1,5,5,11,1,2,2,53.5,63,9.5
"71",2,5,3,14,1,2,2,53.9,63,9.1
"72",2,4,3,8,1,2,1,51.3,63,11.7
"73",1,5,5,11,1,2,2,53.5,58,4.5
"74",3,3,1,6,1,1,1,49.7,56,6.3
"75",3,3,1,6,1,1,1,49.7,56,6.3
"76",2,5,3,14,1,2,2,53.9,55,1.1
"77",1,1,5,3,1,1,1,44.3,53,8.7
"78",2,3,4,4,1,2,1,56.2,53,3.2
"79",2,4,3,8,1,2,1,51.3,53,1.7
"80",1,4,4,8,1,2,1,45,51,6
"81",1,3,4,4,1,2,1,45.4,50,4.6
"82",1,3,4,4,1,2,1,45.4,50,4.6
"83",1,3,5,4,1,2,1,49.9,49,0.899999999999999
"84",2,5,4,14,1,2,2,58.3,48,10.3
"85",1,5,3,11,1,2,1,40.6,46,5.4
"86",1,5,3,11,1,2,1,40.6,46,5.4
"87",2,5,4,14,1,2,2,58.3,46,12.3
"88",1,5,5,11,1,2,2,53.5,45,8.5
"89",1,5,4,11,1,2,2,49.1,43,6.1
"90",2,5,3,14,1,2,2,53.9,43,10.9
"91",2,5,3,14,1,2,2,53.9,43,10.9
"92",1,4,3,8,1,2,1,40.5,42,1.5
"93",1,4,3,8,1,2,1,40.5,42,1.5
"94",2,5,3,14,1,2,2,53.9,41,12.9
"95",2,4,3,8,1,2,1,51.3,41,10.3
"96",1,3,1,4,1,1,1,29.2,38,8.8
"97",1,4,3,8,1,2,1,40.5,38,2.5
"98",1,3,2,4,1,1,1,33.6,33,0.600000000000001
"99",1,3,1,4,1,1,1,29.2,31,1.8
"100",1,3,1,4,1,1,1,29.2,31,1.8
"101",1,3,1,4,1,1,1,29.2,31,1.8
"102",1,4,3,8,1,2,1,40.5,30,10.5
"103",2,3,1,4,1,1,1,39.9,29,10.9
"104",1,1,1,3,1,1,1,26.6,28,1.4
"105",1,5,1,11,1,1,1,28.7,27,1.7
"106",1,4,1,8,1,1,1,28.7,27,1.7
"107",1,1,3,3,1,1,1,35.4,25,10.4
"108",1,2,3,12,1,1,1,32.4,25,7.4
"109",1,1,1,3,1,1,1,26.6,25,1.6
"110",1,3,3,4,1,1,1,38,25,13
"111",1,2,3,12,1,1,1,32.4,25,7.4
"112",1,5,1,11,1,1,1,28.7,24,4.7
"113",1,2,1,12,1,1,1,23.6,24,0.399999999999999
"114",1,1,1,3,1,1,1,26.6,24,2.6
"115",1,2,1,12,1,1,1,23.6,24,0.399999999999999
"116",1,1,1,3,1,1,1,26.6,24,2.6
"117",2,1,1,1,1,1,1,38.3,24,14.3
"118",1,5,1,11,1,1,1,28.7,24,4.7
"119",1,1,1,3,1,1,1,26.6,23,3.6
"120",1,2,1,12,1,1,1,23.6,23,0.600000000000001
"121",1,1,1,3,1,1,1,26.6,23,3.6
