compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss
5,5,5,10,2,2,2,94.7,100,5.3
5,5,5,10,2,2,2,94.7,99,4.3
5,4,5,7,2,2,2,94,99,5
4,5,5,13,2,2,2,93.3,99,5.7
4,5,5,13,2,2,2,93.3,99,5.7
5,5,5,10,2,2,2,94.7,99,4.3
5,5,5,10,2,2,2,94.7,98,3.3
5,5,5,10,2,2,2,94.7,98,3.3
5,5,5,10,2,2,2,94.7,98,3.3
4,5,5,13,2,2,2,93.3,98,4.7
4,4,4,5,2,2,2,89.3,97,7.7
5,5,5,10,2,2,2,94.7,97,2.3
4,5,5,13,2,2,2,93.3,97,3.7
4,5,5,13,2,2,2,93.3,96,2.7
5,5,5,10,2,2,2,94.7,95,0.3
5,5,5,10,2,2,2,94.7,95,0.3
4,5,5,13,2,2,2,93.3,95,1.7
5,3,3,9,2,1,2,92.3,95,2.7
5,5,3,10,2,2,2,87.7,95,7.3
4,5,5,13,2,2,2,93.3,94,0.7
5,5,5,10,2,2,2,94.7,94,0.7
5,1,5,15,2,1,2,91.3,94,2.7
5,5,5,10,2,2,2,94.7,94,0.7
5,5,5,10,2,2,2,94.7,94,0.7
5,5,5,10,2,2,2,94.7,92,2.7
4,4,4,5,2,2,2,89.3,92,2.7
5,3,4,9,2,2,2,91.7,92,0.3
5,5,5,10,2,2,2,94.7,92,2.7
5,5,5,10,2,2,2,94.7,91,3.7
5,5,4,10,2,2,2,92.3,91,1.3
4,4,4,5,2,2,2,89.3,91,1.7
5,5,5,10,2,2,2,94.7,90,4.7
5,4,4,7,2,2,2,93.1,90,3.1
5,5,5,10,2,2,2,94.7,90,4.7
4,5,4,13,2,2,2,88.8,89,0.2
5,3,4,9,2,2,2,91.7,89,2.7
4,5,5,13,2,2,2,93.3,89,4.3
4,5,4,13,2,2,2,88.8,89,0.2
4,5,4,13,2,2,2,88.8,89,0.2
4,5,4,13,2,2,2,88.8,89,0.2
4,5,4,13,2,2,2,88.8,88,0.8
5,5,5,10,2,2,2,94.7,88,6.7
4,5,5,13,2,2,2,93.3,88,5.3
5,5,5,10,2,2,2,94.7,87,7.7
4,5,4,13,2,2,2,88.8,85,3.8
5,5,3,10,2,2,2,87.7,85,2.7
3,5,4,2,2,2,2,78.3,83,4.7
3,5,3,2,1,2,2,75.7,82,6.3
3,5,5,2,2,2,2,79.3,82,2.7
2,5,5,14,2,2,2,79.3,82,2.7
3,5,5,2,2,2,2,79.3,82,2.7
3,5,4,2,2,2,2,78.3,81,2.7
3,5,4,2,2,2,2,78.3,81,2.7
3,4,3,5,1,2,2,75.7,80,4.3
3,5,5,2,2,2,2,79.3,79,0.3
3,4,5,5,2,2,2,84.9,78,6.9
4,5,2,13,1,2,2,69.1,77,7.9
3,5,5,2,2,2,2,79.3,77,2.3
3,5,5,2,2,2,2,79.3,76,3.3
3,2,5,6,2,2,2,78.3,76,2.3
3,5,3,2,1,2,2,75.7,76,0.3
3,3,3,6,1,1,1,64,75,11
3,5,4,2,2,2,2,78.3,74,4.3
3,3,3,6,1,1,1,64,74,10
3,5,4,2,2,2,2,78.3,74,4.3
3,4,3,5,1,2,2,75.7,73,2.7
3,5,3,2,1,2,2,75.7,73,2.7
3,4,3,5,1,2,2,75.7,73,2.7
3,3,3,6,1,1,1,64,65,1
1,5,5,11,1,2,2,53.6,63,9.4
2,5,3,14,1,2,2,45.7,63,17.3
2,4,3,8,1,2,1,51,63,12
1,5,5,11,1,2,2,53.6,58,4.4
3,3,1,6,1,1,1,53.3,56,2.7
3,3,1,6,1,1,1,53.3,56,2.7
2,5,3,14,1,2,2,45.7,55,9.3
1,1,5,3,1,1,1,50.3,53,2.7
2,3,4,4,1,2,1,55.6,53,2.6
2,4,3,8,1,2,1,51,53,2
1,4,4,8,1,2,1,47,51,4
1,3,4,4,1,2,1,47.3,50,2.7
1,3,4,4,1,2,1,47.3,50,2.7
1,3,5,4,1,2,1,52,49,3
2,5,4,14,1,2,2,49.6,48,1.6
1,5,3,11,1,2,1,43.3,46,2.7
1,5,3,11,1,2,1,43.3,46,2.7
2,5,4,14,1,2,2,49.6,46,3.6
1,5,5,11,1,2,2,53.6,45,8.6
1,5,4,11,1,2,2,46.4,43,3.4
2,5,3,14,1,2,2,45.7,43,2.7
2,5,3,14,1,2,2,45.7,43,2.7
1,4,3,8,1,2,1,41.4,42,0.6
1,4,3,8,1,2,1,41.4,42,0.6
2,5,3,14,1,2,2,45.7,41,4.7
2,4,3,8,1,2,1,51,41,10
1,3,1,4,1,1,1,31.4,38,6.6
1,4,3,8,1,2,1,41.4,38,3.4
1,3,2,4,1,1,1,31.6,33,1.4
1,3,1,4,1,1,1,31.4,31,0.4
1,3,1,4,1,1,1,31.4,31,0.4
1,3,1,4,1,1,1,31.4,31,0.4
1,4,3,8,1,2,1,41.4,30,11.4
2,3,1,4,1,1,1,41.2,29,12.2
1,1,1,3,1,1,1,25.3,28,2.7
1,5,1,11,1,1,1,26.7,27,0.3
1,4,1,8,1,1,1,27.8,27,0.8
1,1,3,3,1,1,1,30.5,25,5.5
1,2,3,12,1,1,1,27.7,25,2.7
1,1,1,3,1,1,1,25.3,25,0.3
1,3,3,4,1,1,1,36.5,25,11.5
1,2,3,12,1,1,1,27.7,25,2.7
1,5,1,11,1,1,1,26.7,24,2.7
1,2,1,12,1,1,1,25.7,24,1.7
1,1,1,3,1,1,1,25.3,24,1.3
1,2,1,12,1,1,1,25.7,24,1.7
1,1,1,3,1,1,1,25.3,24,1.3
2,1,1,1,1,1,1,31.4,24,7.4
1,5,1,11,1,1,1,26.7,24,2.7
1,1,1,3,1,1,1,25.3,23,2.3
1,2,1,12,1,1,1,25.7,23,2.7
1,1,1,3,1,1,1,25.3,23,2.3
