compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss
5,5,5,9,7,2,2,98.9,100,1.1
5,5,5,9,7,2,2,98.9,99,0.1
5,4,5,6,7,2,2,96.6,99,2.4
4,5,5,12,8,2,2,89.6,99,9.4
4,5,5,12,8,2,2,89.6,99,9.4
5,5,5,9,7,2,2,98.9,99,0.1
5,5,5,9,7,2,2,98.9,98,0.9
5,5,5,9,7,2,2,98.9,98,0.9
5,5,5,9,7,2,2,98.9,98,0.9
4,5,5,12,8,2,2,89.6,98,8.4
4,4,4,4,14,2,2,79.1,97,17.9
5,5,5,9,7,2,2,98.9,97,1.9
4,5,5,12,8,2,2,89.6,97,7.4
4,5,5,12,8,2,2,89.6,96,6.4
5,5,5,9,7,2,2,98.9,95,3.9
5,5,5,9,7,2,2,98.9,95,3.9
4,5,5,12,8,2,2,89.6,95,5.4
5,3,3,8,6,1,2,85.4,95,9.6
5,5,3,9,6,2,2,86.9,95,8.1
4,5,5,12,8,2,2,89.6,94,4.4
5,5,5,9,7,2,2,98.9,94,4.9
5,1,5,5,7,1,2,94.6,94,0.6
5,5,5,9,7,2,2,98.9,94,4.9
5,5,5,9,7,2,2,98.9,94,4.9
5,5,5,9,7,2,2,98.9,92,6.9
4,4,4,4,14,2,2,79.1,92,12.9
5,3,4,8,14,1,2,92.5,92,0.5
5,5,5,9,7,2,2,98.9,92,6.9
5,5,5,9,7,2,2,98.9,91,7.9
5,5,4,9,14,2,2,94,91,3
4,4,4,4,14,2,2,79.1,91,11.9
5,5,5,9,7,2,2,98.9,90,8.9
5,4,4,6,14,2,2,91.7,90,1.7
5,5,5,9,7,2,2,98.9,90,8.9
4,5,4,12,14,2,2,84.6,89,4.4
5,3,4,8,14,1,2,92.5,89,3.5
4,5,5,12,8,2,2,89.6,89,0.6
4,5,4,12,14,2,2,84.6,89,4.4
4,5,4,12,14,2,2,84.6,89,4.4
4,5,4,12,14,2,2,84.6,89,4.4
4,5,4,12,14,2,2,84.6,88,3.4
5,5,5,9,7,2,2,98.9,88,10.9
4,5,5,12,8,2,2,89.6,88,1.6
5,5,5,9,7,2,2,98.9,87,11.9
4,5,4,12,14,2,2,84.6,85,0.4
5,5,3,9,6,2,2,86.9,85,1.9
3,5,4,14,10,2,1,75.8,83,7.2
3,5,3,14,11,2,1,70.1,82,11.9
3,5,5,14,5,2,2,79.1,82,2.9
2,5,5,1,3,2,1,61,82,21
3,5,5,14,5,2,2,79.1,82,2.9
3,5,4,14,10,2,1,75.8,81,5.2
4,5,4,12,14,2,2,84.6,81,3.6
3,5,4,14,10,2,1,75.8,81,5.2
3,4,3,15,11,2,1,70.3,80,9.7
3,5,5,14,5,2,2,79.1,79,0.1
3,4,5,15,5,2,2,79.4,78,1.4
4,5,2,12,15,2,1,74.8,77,2.2
3,5,5,14,5,2,2,79.1,77,2.1
3,5,5,14,5,2,2,79.1,76,3.1
3,2,5,5,5,1,2,72,76,4
3,5,3,14,11,2,1,70.1,76,5.9
3,3,3,13,11,1,1,68.5,75,6.5
3,5,4,14,10,2,1,75.8,74,1.8
3,3,3,13,11,1,1,68.5,74,5.5
3,5,4,14,10,2,1,75.8,74,1.8
3,4,3,15,11,2,1,70.3,73,2.7
3,5,3,14,11,2,1,70.1,73,2.9
3,4,3,15,11,2,1,70.3,73,2.7
3,4,3,15,11,2,1,70.3,68,2.3
2,5,5,1,3,2,1,61,68,7
2,5,5,1,3,2,1,61,68,7
3,2,4,5,10,1,3,64.9,68,3.1
3,3,3,13,11,1,1,68.5,65,3.5
1,5,5,1,3,2,1,49.7,63,13.3
3,5,3,14,11,2,1,70.1,63,7.1
2,5,3,1,12,2,1,50.5,63,12.5
2,4,3,10,12,2,1,55.9,63,7.1
3,5,3,14,11,2,1,70.1,62,8.1
2,5,5,1,3,2,1,61,60,1
1,5,5,1,3,2,1,49.7,58,8.3
3,3,1,13,4,1,3,51.8,56,4.2
3,3,1,13,4,1,3,51.8,56,4.2
2,5,3,1,12,2,1,50.5,55,4.5
1,1,5,2,3,1,3,44.8,53,8.2
2,3,4,13,2,1,1,61.7,53,8.7
2,4,3,10,12,2,1,55.9,53,2.9
1,4,4,3,1,2,1,44.3,51,6.7
1,3,4,7,1,1,1,46.4,50,3.6
1,3,4,7,1,1,1,46.4,50,3.6
1,3,5,7,3,2,1,52.7,49,3.7
3,4,3,15,11,2,1,70.3,49,21.3
2,5,4,1,2,2,1,54.9,48,6.9
2,5,5,1,3,2,1,61,48,13
1,5,3,1,13,2,1,39.3,46,6.7
1,5,3,1,13,2,1,39.3,46,6.7
2,5,4,1,2,2,1,54.9,46,8.9
2,5,5,1,3,2,1,61,45,16
1,5,5,1,3,2,1,49.7,45,4.7
1,5,4,1,1,2,1,43.4,43,0.4
2,5,3,1,12,2,1,50.5,43,7.5
2,5,3,1,12,2,1,50.5,43,7.5
1,4,3,3,13,2,1,40.2,42,1.8
1,4,3,3,13,2,1,40.2,42,1.8
