compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss
5,5,5,9,7,2,2,94.1,100,5.9
5,5,5,9,7,2,2,94.1,99,4.9
5,4,5,6,7,2,2,94.5,99,4.5
4,5,5,12,8,2,2,94.3,99,4.7
4,5,5,12,8,2,2,94.3,99,4.7
5,5,5,9,7,2,2,94.1,99,4.9
5,5,5,9,7,2,2,94.1,98,3.9
5,5,5,9,7,2,2,94.1,98,3.9
5,5,5,9,7,2,2,94.1,98,3.9
4,5,5,12,8,2,2,94.3,98,3.7
4,4,4,4,14,2,2,91.5,97,5.5
5,5,5,9,7,2,2,94.1,97,2.9
4,5,5,12,8,2,2,94.3,97,2.7
4,5,5,12,8,2,2,94.3,96,1.7
5,5,5,9,7,2,2,94.1,95,0.9
5,5,5,9,7,2,2,94.1,95,0.9
4,5,5,12,8,2,2,94.3,95,0.7
5,3,3,8,6,1,2,87.9,95,7.1
5,5,3,9,6,2,2,89.9,95,5.1
4,5,5,12,8,2,2,94.3,94,0.3
5,5,5,9,7,2,2,94.1,94,0.1
5,1,5,5,7,1,2,89.2,94,4.8
5,5,5,9,7,2,2,94.1,94,0.1
5,5,5,9,7,2,2,94.1,94,0.1
5,5,5,9,7,2,2,94.1,92,2.1
4,4,4,4,14,2,2,91.5,92,0.5
5,3,4,8,14,1,2,89.6,92,2.4
5,5,5,9,7,2,2,94.1,92,2.1
5,5,5,9,7,2,2,94.1,91,3.1
5,5,4,9,14,2,2,90.2,91,0.8
4,4,4,4,14,2,2,91.5,91,0.5
5,5,5,9,7,2,2,94.1,90,4.1
5,4,4,6,14,2,2,91.4,90,1.4
5,5,5,9,7,2,2,94.1,90,4.1
4,5,4,12,14,2,2,88.1,89,0.9
5,3,4,8,14,1,2,89.6,89,0.6
4,5,5,12,8,2,2,94.3,89,5.3
4,5,4,12,14,2,2,88.1,89,0.9
4,5,4,12,14,2,2,88.1,89,0.9
4,5,4,12,14,2,2,88.1,89,0.9
4,5,4,12,14,2,2,88.1,88,0.1
5,5,5,9,7,2,2,94.1,88,6.1
4,5,5,12,8,2,2,94.3,88,6.3
5,5,5,9,7,2,2,94.1,87,7.1
4,5,4,12,14,2,2,88.1,85,3.1
5,5,3,9,6,2,2,89.9,85,4.9
3,5,4,14,10,2,1,77.9,83,5.1
3,5,3,14,11,2,1,71.5,82,10.5
3,5,5,14,5,2,2,79.3,82,2.7
2,5,5,1,3,2,1,59.2,82,22.8
3,5,5,14,5,2,2,79.3,82,2.7
3,5,4,14,10,2,1,77.9,81,3.1
4,5,4,12,14,2,2,88.1,81,7.1
3,5,4,14,10,2,1,77.9,81,3.1
3,4,3,15,11,2,1,68.9,80,11.1
3,5,5,14,5,2,2,79.3,79,0.3
3,4,5,15,5,2,2,78.1,78,0.1
4,5,2,12,15,2,1,74.3,77,2.7
3,5,5,14,5,2,2,79.3,77,2.3
3,5,5,14,5,2,2,79.3,76,3.3
3,2,5,5,5,1,2,77,76,1
