"","compl","accel","decel","clust_ca","clust_cd","clust_ad","clust_cad","pred","answer","loss"
"1",1,1,5,7,3,2,2,50.4,53,2.6
"2",1,3,5,9,3,1,3,51.6,49,2.6
"3",1,5,5,8,3,1,3,47.6,63,15.4
"4",1,5,5,8,3,1,3,47.6,58,10.4
"5",1,5,5,8,3,1,3,47.6,45,2.6
"6",1,5,5,8,3,1,3,47.6,28,19.6
"7",1,5,5,8,3,1,3,47.6,28,19.6
"8",1,3,4,9,2,1,3,47.4,50,2.6
"9",1,3,4,9,2,1,3,47.4,50,2.6
"10",1,4,4,2,2,1,3,47.4,51,3.6
"11",1,5,4,8,2,1,3,41.6,43,1.4
"12",1,5,4,8,2,1,3,41.6,39,2.6
"13",1,1,3,7,2,2,2,30.1,25,5.1
"14",1,2,3,14,2,2,2,27.6,25,2.6
"15",1,2,3,14,2,2,2,27.6,25,2.6
"16",1,3,3,9,2,2,2,33,25,8
"17",1,4,3,2,2,1,3,40.7,42,1.3
"18",1,4,3,2,2,1,3,40.7,42,1.3
"19",1,4,3,2,2,1,3,40.7,38,2.7
"20",1,4,3,2,2,1,3,40.7,30,10.7
"21",1,5,3,8,2,1,3,35.4,46,10.6
"22",1,5,3,8,2,1,3,35.4,46,10.6
"23",1,5,3,8,2,1,3,35.4,38,2.6
"24",1,5,3,8,2,1,3,35.4,32,3.4
"25",1,5,3,8,2,1,3,35.4,31,4.4
"26",1,5,3,8,2,1,3,35.4,31,4.4
"27",1,3,2,9,2,2,2,28.6,33,4.4
"28",1,1,1,7,2,2,2,25.4,28,2.6
"29",1,1,1,7,2,2,2,25.4,25,0.399999999999999
"30",1,1,1,7,2,2,2,25.4,24,1.4
"31",1,1,1,7,2,2,2,25.4,24,1.4
"32",1,1,1,7,2,2,2,25.4,23,2.4
"33",1,1,1,7,2,2,2,25.4,23,2.4
"34",1,2,1,14,2,2,2,25.6,24,1.6
"35",1,2,1,14,2,2,2,25.6,24,1.6
"36",1,2,1,14,2,2,2,25.6,23,2.6
"37",1,3,1,9,2,2,2,28.4,38,9.6
"38",1,3,1,9,2,2,2,28.4,31,2.6
"39",1,3,1,9,2,2,2,28.4,31,2.6
