compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss,,,,,
3,5,4,8,2,11,1,73,94,21,,,,,
1,5,1,10,1,8,2,28.2,27,1.2,,,,,
1,4,3,9,1,2,2,43.6,42,1.6,,,,,
1,5,1,10,1,8,2,28.2,24,4.2,,,,,
4,5,5,3,2,15,1,90.1,75,15.1,,,,,
1,1,3,12,1,12,2,30.7,25,5.7,,,,,
3,4,5,13,2,14,1,73.7,45,28.7,,,loss,,12.106
5,5,5,11,2,15,1,95.6,91,4.6,,,Pearson Correlation,,0.879878202
3,5,4,8,2,11,1,73,83,10,,,,,
1,5,3,10,1,9,2,41.5,46,4.5,,,,,
2,3,2,15,1,4,2,40.1,30,10.1,,,,,
3,5,5,8,2,15,1,77.9,95,17.1,,,,,
5,5,5,11,2,15,1,95.6,100,4.4,,,,,
3,5,5,8,2,15,1,77.9,79,1.1,,,,,
4,4,3,7,2,2,1,78.9,91,12.1,,,,,
4,5,4,3,2,11,1,85.3,89,3.7,,,,,
3,5,4,8,2,11,1,73,59,14,,,,,
4,5,4,3,2,11,1,85.3,85,0.3,,,,,
5,5,5,11,2,15,1,95.6,90,5.6,,,,,
3,5,3,8,1,9,1,65.4,92,26.6,,,,,
5,5,5,11,2,15,1,95.6,99,3.4,,,,,
3,3,1,6,1,4,2,47.6,35,12.6,,,,,
5,1,1,1,1,10,2,62.3,32,30.3,,,,,
1,3,1,15,1,4,2,23.5,38,14.5,,,,,
1,1,1,12,1,10,2,17.9,23,5.1,,,,,
2,5,5,10,2,15,1,67.1,45,22.1,,,,,
4,5,5,3,2,15,1,90.1,70,20.1,,,,,
5,4,4,7,2,6,1,93.4,90,3.4,,,,,
5,3,1,4,1,4,2,68,94,26,,,,,
5,5,1,11,1,8,1,69.9,31,38.9,,,,,
3,5,5,8,2,15,1,77.9,91,13.1,,,,,
3,3,1,6,1,4,2,47.6,56,8.4,,,,,
1,2,1,5,1,7,2,25.2,24,1.2,,,,,
3,5,5,8,2,15,1,77.9,87,9.1,,,,,
3,4,3,13,1,2,1,64.4,68,3.6,,,,,
1,1,5,12,2,13,2,45.7,53,7.3,,,,,
1,3,4,15,1,3,2,44.8,50,5.2,,,,,
5,4,3,7,2,2,1,88.5,62,26.5,,,,,
5,3,4,4,2,3,1,94.5,89,5.5,,,,,
2,5,5,10,2,15,1,67.1,60,7.1,,,,,
5,5,1,11,1,8,1,69.9,31,38.9,,,,,
1,1,1,12,1,10,2,17.9,24,6.1,,,,,
1,5,4,10,1,11,1,50.9,43,7.9,,,,,
5,5,5,11,2,15,1,95.6,98,2.4,,,,,
4,5,4,3,2,11,1,85.3,88,2.7,,,,,
1,2,1,5,1,7,2,25.2,24,1.2,,,,,
3,5,4,8,2,11,1,73,74,1,,,,,
3,5,3,8,1,9,1,65.4,62,3.4,,,,,
5,4,5,7,2,14,1,96.1,99,2.9,,,,,
2,5,5,10,2,15,1,67.1,68,0.9,,,,,
5,5,4,11,2,11,1,90.7,91,0.3,,,,,
5,5,5,11,2,15,1,95.6,98,2.4,,,,,
1,2,3,5,1,12,2,36.4,25,11.4,,,,,
3,5,5,8,2,15,1,77.9,76,1.9,,,,,
1,1,1,12,1,10,2,17.9,25,7.1,,,,,
1,5,3,10,1,9,2,41.5,31,10.5,,,,,
4,5,5,3,2,15,1,90.1,96,5.9,,,,,
1,1,1,12,1,10,2,17.9,28,10.1,,,,,
2,5,5,10,2,15,1,67.1,68,0.9,,,,,
5,3,2,4,2,4,2,76.6,67,9.6,,,,,
4,5,2,3,1,9,1,70.8,89,18.2,,,,,
1,3,3,15,1,1,2,38.9,40,1.1,,,,,
1,3,4,15,1,3,2,44.8,50,5.2,,,,,
5,5,3,11,2,9,1,84.9,82,2.9,,,,,
1,4,1,9,1,8,2,26.7,27,0.3,,,,,
3,5,4,8,2,11,1,73,81,8,,,,,
2,5,3,10,1,9,1,54.7,43,11.7,,,,,
1,3,5,15,2,5,2,52.4,49,3.4,,,,,
5,5,5,11,2,15,1,95.6,90,5.6,,,,,
1,5,3,10,1,9,2,41.5,32,9.5,,,,,
5,5,5,11,2,15,1,95.6,92,3.6,,,,,
4,5,5,3,2,15,1,90.1,89,1.1,,,,,
2,5,4,10,1,11,1,60.6,48,12.6,,,,,
1,5,4,10,1,11,1,50.9,39,11.9,,,,,
4,5,5,3,2,15,1,90.1,99,8.9,,,,,
3,5,5,8,2,15,1,77.9,93,15.1,,,,,
1,5,5,10,2,15,1,57.5,58,0.5,,,,,
1,5,3,10,1,9,2,41.5,46,4.5,,,,,
3,3,3,6,1,1,2,63,75,12,,,,,
1,3,1,15,1,4,2,23.5,31,7.5,,,,,
1,1,1,12,1,10,2,17.9,24,6.1,,,,,
4,5,5,3,2,15,1,90.1,94,3.9,,,,,
4,5,4,3,2,11,1,85.3,89,3.7,,,,,
3,5,3,8,1,9,1,65.4,82,16.6,,,,,
4,5,4,3,2,11,1,85.3,81,4.3,,,,,
1,3,1,15,1,4,2,23.5,31,7.5,,,,,
5,4,3,7,2,2,1,88.5,62,26.5,,,,,
3,2,4,2,2,12,2,65.9,68,2.1,,,,,
3,3,3,6,1,1,2,63,74,11,,,,,
5,5,5,11,2,15,1,95.6,98,2.4,,,,,
1,4,3,9,1,2,2,43.6,30,13.6,,,,,
5,5,5,11,2,15,1,95.6,87,8.6,,,,,
3,4,3,13,1,2,1,64.4,73,8.6,,,,,
2,3,4,15,1,3,2,54.4,53,1.4,,,,,
4,5,4,3,2,11,1,85.3,89,3.7,,,,,
3,5,5,8,2,15,1,77.9,82,4.1,,,,,
4,5,5,3,2,15,1,90.1,77,13.1,,,,,
4,4,4,7,2,6,1,83.7,97,13.3,,,,,
3,4,5,13,2,14,1,73.7,90,16.3,,,,,
5,5,5,11,2,15,1,95.6,95,0.6,,,,,
5,5,5,11,2,15,1,95.6,94,1.6,,,,,
3,5,5,8,2,15,1,77.9,87,9.1,,,,,
1,5,5,10,2,15,1,57.5,28,29.5,,,,,
2,1,1,12,1,10,2,27.6,24,3.6,,,,,
4,5,4,3,2,11,1,85.3,89,3.7,,,,,
3,3,5,6,2,5,1,80,66,14,,,,,
1,5,1,10,1,8,2,28.2,24,4.2,,,,,
5,5,4,11,2,11,1,90.7,76,14.7,,,,,
4,4,3,7,2,2,1,78.9,91,12.1,,,,,
1,4,3,9,1,2,2,43.6,42,1.6,,,,,
3,5,4,8,2,11,1,73,74,1,,,,,
2,5,4,10,1,11,1,60.6,46,14.6,,,,,
4,5,5,3,2,15,1,90.1,98,7.9,,,,,
1,5,5,10,2,15,1,57.5,63,5.5,,,,,
3,5,3,8,1,9,1,65.4,92,26.6,,,,,
3,4,5,13,2,14,1,73.7,78,4.3,,,,,
1,5,3,10,1,9,2,41.5,38,3.5,,,,,
3,2,5,2,2,13,2,72.3,76,3.7,,,,,
2,5,5,10,2,15,1,67.1,82,14.9,,,,,
