compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss,,,,,
3,5,4,8,2,11,1,79.8,94,14.2,,,,,
1,5,1,10,1,8,2,27.4,27,0.4,,,,,
1,4,3,9,1,2,2,38.9,42,3.1,,,,,
1,5,1,10,1,8,2,27.4,24,3.4,,,,,
4,5,5,3,2,15,1,88.2,75,13.2,,,,,
1,1,3,12,1,12,2,28.2,25,3.2,,,,,
3,4,5,13,2,14,1,77,45,32,,,loss,,8.935
5,5,5,11,2,15,1,92.2,91,1.2,,,Pearson Correlation,,0.937671296
3,5,4,8,2,11,1,79.8,83,3.2,,,,,
1,5,3,10,1,9,2,36.9,46,9.1,,,,,
2,3,2,15,1,4,2,34.1,30,4.1,,,,,
3,5,5,8,2,15,1,86.3,95,8.7,,,,,
5,5,5,11,2,15,1,92.2,100,7.8,,,,,
3,5,5,8,2,15,1,86.3,79,7.3,,,,,
4,4,3,7,2,2,1,82.2,91,8.8,,,,,
4,5,4,3,2,11,1,86.7,89,2.3,,,,,
3,5,4,8,2,11,1,79.8,59,20.8,,,,,
4,5,4,3,2,11,1,86.7,85,1.7,,,,,
5,5,5,11,2,15,1,92.2,90,2.2,,,,,
3,5,3,8,1,9,1,76.8,92,15.2,,,,,
5,5,5,11,2,15,1,92.2,99,6.8,,,,,
3,3,1,6,1,4,2,52.1,35,17.1,,,,,
5,1,1,1,1,10,2,45.5,32,13.5,,,,,
1,3,1,15,1,4,2,32.8,38,5.2,,,,,
1,1,1,12,1,10,2,25.1,23,2.1,,,,,
2,5,5,10,2,15,1,60.8,45,15.8,,,,,
4,5,5,3,2,15,1,88.2,70,18.2,,,,,
5,4,4,7,2,6,1,88.6,90,1.4,,,,,
5,3,1,4,1,4,2,65.2,94,28.8,,,,,
5,5,1,11,1,8,1,40.1,31,9.1,,,,,
3,5,5,8,2,15,1,86.3,91,4.7,,,,,
3,3,1,6,1,4,2,52.1,56,3.9,,,,,
1,2,1,5,1,7,2,25.2,24,1.2,,,,,
3,5,5,8,2,15,1,86.3,87,0.7,,,,,
3,4,3,13,1,2,1,71.8,68,3.8,,,,,
1,1,5,12,2,13,2,51.8,53,1.2,,,,,
1,3,4,15,1,3,2,47,50,3,,,,,
5,4,3,7,2,2,1,76.4,62,14.4,,,,,
5,3,4,4,2,3,1,87.3,89,1.7,,,,,
2,5,5,10,2,15,1,60.8,60,0.8,,,,,
5,5,1,11,1,8,1,40.1,31,9.1,,,,,
1,1,1,12,1,10,2,25.1,24,1.1,,,,,
1,5,4,10,1,11,1,43.9,43,0.9,,,,,
5,5,5,11,2,15,1,92.2,98,5.8,,,,,
