compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss,,,,,
3,5,4,8,2,11,1,80.4,94,13.6,,,,,
1,5,1,10,1,8,2,26.6,27,0.4,,,,,
1,4,3,9,1,2,2,40.6,42,1.4,,,,,
1,5,1,10,1,8,2,26.6,24,2.6,,,,,
4,5,5,3,2,15,1,91.6,75,16.6,,,,,
1,1,3,12,1,12,2,27.6,25,2.6,,,,,
3,4,5,13,2,14,1,77.3,45,32.3,,,,,
5,5,5,11,2,15,1,94.6,91,3.6,,,,,
3,5,4,8,2,11,1,80.4,83,2.6,,,,,
1,5,3,10,1,9,2,35,46,11,,,,,
2,3,2,15,1,4,2,35.2,30,5.2,,,,,
3,5,5,8,2,15,1,86.4,95,8.6,,,,,
5,5,5,11,2,15,1,94.6,100,5.4,,,,,
3,5,5,8,2,15,1,86.4,79,7.4,,,,,
4,4,3,7,2,2,1,88.4,91,2.6,,,loss,,9.351
4,5,4,3,2,11,1,87,89,2,,,Pearson Correlation,,0.93076104
3,5,4,8,2,11,1,80.4,59,21.4,,,,,
4,5,4,3,2,11,1,87,85,2,,,,,
5,5,5,11,2,15,1,94.6,90,4.6,,,,,
3,5,3,8,1,9,1,70.4,92,21.6,,,,,
5,5,5,11,2,15,1,94.6,99,4.4,,,,,
3,3,1,6,1,4,2,53.4,35,18.4,,,,,
5,1,1,1,1,10,2,40.9,32,8.9,,,,,
1,3,1,15,1,4,2,30,38,8,,,,,
1,1,1,12,1,10,2,25.4,23,2.4,,,,,
2,5,5,10,2,15,1,65.5,45,20.5,,,,,
4,5,5,3,2,15,1,91.6,70,21.6,,,,,
5,4,4,7,2,6,1,92.6,90,2.6,,,,,
5,3,1,4,1,4,2,70.2,94,23.8,,,,,
5,5,1,11,1,8,1,43.2,31,12.2,,,,,
3,5,5,8,2,15,1,86.4,91,4.6,,,,,
3,3,1,6,1,4,2,53.4,56,2.6,,,,,
1,2,1,5,1,7,2,25.5,24,1.5,,,,,
3,5,5,8,2,15,1,86.4,87,0.6,,,,,
3,4,3,13,1,2,1,70.4,68,2.4,,,,,
1,1,5,12,2,13,2,50.4,53,2.6,,,,,
1,3,4,15,1,3,2,47.4,50,2.6,,,,,
5,4,3,7,2,2,1,88.8,62,26.8,,,,,
5,3,4,4,2,3,1,89.4,89,0.4,,,,,
2,5,5,10,2,15,1,65.5,60,5.5,,,,,
5,5,1,11,1,8,1,43.2,31,12.2,,,,,
1,1,1,12,1,10,2,25.4,24,1.4,,,,,
1,5,4,10,1,11,1,40.4,43,2.6,,,,,
5,5,5,11,2,15,1,94.6,98,3.4,,,,,
4,5,4,3,2,11,1,87,88,1,,,,,
1,2,1,5,1,7,2,25.5,24,1.5,,,,,
3,5,4,8,2,11,1,80.4,74,6.4,,,,,
3,5,3,8,1,9,1,70.4,62,8.4,,,,,
5,4,5,7,2,14,1,100.5,99,1.5,,,,,
2,5,5,10,2,15,1,65.5,68,2.5,,,,,
5,5,4,11,2,11,1,90,91,1,,,,,
5,5,5,11,2,15,1,94.6,98,3.4,,,,,
1,2,3,5,1,12,2,27.5,25,2.5,,,,,
3,5,5,8,2,15,1,86.4,76,10.4,,,,,
1,1,1,12,1,10,2,25.4,25,0.4,,,,,
1,5,3,10,1,9,2,35,31,4,,,,,
4,5,5,3,2,15,1,91.6,96,4.4,,,,,
1,1,1,12,1,10,2,25.4,28,2.6,,,,,
2,5,5,10,2,15,1,65.5,68,2.5,,,,,
5,3,2,4,2,4,2,69.6,67,2.6,,,,,
4,5,2,3,1,9,1,79.6,89,9.4,,,,,
1,3,3,15,1,1,2,41.6,40,1.6,,,,,
1,3,4,15,1,3,2,47.4,50,2.6,,,,,
5,5,3,11,2,9,1,82.4,82,0.4,,,,,
1,4,1,9,1,8,2,24.4,27,2.6,,,,,
3,5,4,8,2,11,1,80.4,81,0.6,,,,,
2,5,3,10,1,9,1,52.3,43,9.3,,,,,
1,3,5,15,2,5,2,51.6,49,2.6,,,,,
5,5,5,11,2,15,1,94.6,90,4.6,,,,,
1,5,3,10,1,9,2,35,32,3,,,,,
5,5,5,11,2,15,1,94.6,92,2.6,,,,,
4,5,5,3,2,15,1,91.6,89,2.6,,,,,
2,5,4,10,1,11,1,52.5,48,4.5,,,,,
1,5,4,10,1,11,1,40.4,39,1.4,,,,,
4,5,5,3,2,15,1,91.6,99,7.4,,,,,
3,5,5,8,2,15,1,86.4,93,6.6,,,,,
1,5,5,10,2,15,1,48.4,58,9.6,,,,,
1,5,3,10,1,9,2,35,46,11,,,,,
3,3,3,6,1,1,2,69.5,75,5.5,,,,,
1,3,1,15,1,4,2,30,31,1,,,,,
1,1,1,12,1,10,2,25.4,24,1.4,,,,,
4,5,5,3,2,15,1,91.6,94,2.4,,,,,
4,5,4,3,2,11,1,87,89,2,,,,,
3,5,3,8,1,9,1,70.4,82,11.6,,,,,
4,5,4,3,2,11,1,87,81,6,,,,,
1,3,1,15,1,4,2,30,31,1,,,,,
5,4,3,7,2,2,1,88.8,62,26.8,,,,,
3,2,4,2,2,12,2,68.4,68,0.4,,,,,
3,3,3,6,1,1,2,69.5,74,4.5,,,,,
5,5,5,11,2,15,1,94.6,98,3.4,,,,,
1,4,3,9,1,2,2,40.6,30,10.6,,,,,
5,5,5,11,2,15,1,94.6,87,7.6,,,,,
3,4,3,13,1,2,1,70.4,73,2.6,,,,,
2,3,4,15,1,3,2,52.3,53,0.7,,,,,
4,5,4,3,2,11,1,87,89,2,,,,,
3,5,5,8,2,15,1,86.4,82,4.4,,,,,
4,5,5,3,2,15,1,91.6,77,14.6,,,,,
4,4,4,7,2,6,1,89.6,97,7.4,,,,,
3,4,5,13,2,14,1,77.3,90,12.7,,,,,
5,5,5,11,2,15,1,94.6,95,0.4,,,,,
5,5,5,11,2,15,1,94.6,94,0.6,,,,,
3,5,5,8,2,15,1,86.4,87,0.6,,,,,
1,5,5,10,2,15,1,48.4,28,20.4,,,,,
2,1,1,12,1,10,2,26.6,24,2.6,,,,,
4,5,4,3,2,11,1,87,89,2,,,,,
3,3,5,6,2,5,1,68.6,66,2.6,,,,,
