compl,accel,decel,result,cluster_ca,cluster_cd,cluster_ad,cluster_cad
3,5,4,94,3,1,1,2
1,5,1,27,10,2,4,1
1,4,3,42,10,2,3,1
1,5,1,24,10,2,4,1
4,5,5,75,2,1,1,2
1,1,3,25,7,2,2,1
3,4,5,45,3,1,1,2
5,5,5,91,2,1,1,2
3,5,4,83,3,1,1,2
1,5,3,46,10,2,4,1
2,3,2,30,4,2,2,1
3,5,5,95,3,1,1,2
5,5,5,100,2,1,1,2
3,5,5,79,3,1,1,2
4,4,3,91,1,1,3,2
4,5,4,89,2,1,1,2
3,5,4,59,3,1,1,2
4,5,4,85,2,1,1,2
5,5,5,90,2,1,1,2
3,5,3,92,3,2,4,2
5,5,5,99,2,1,1,2
3,3,1,35,8,2,2,1
5,1,1,32,5,2,2,1
1,3,1,38,4,2,2,1
1,1,1,23,7,2,2,1
2,5,5,45,3,1,1,2
4,5,5,70,2,1,1,2
5,4,4,90,1,1,3,2
5,3,1,94,9,2,2,1
5,5,1,31,2,2,4,2
3,5,5,91,3,1,1,2
3,3,1,56,8,2,2,1
1,2,1,24,7,2,2,1
3,5,5,87,3,1,1,2
3,4,3,68,3,2,3,2
1,1,5,53,7,1,3,1
1,3,4,50,4,2,3,1
5,4,3,62,1,1,3,2
5,3,4,89,9,1,3,2
2,5,5,60,3,1,1,2
5,5,1,31,2,2,4,2
1,1,1,24,7,2,2,1
1,5,4,43,10,2,1,2
5,5,5,98,2,1,1,2
4,5,4,88,2,1,1,2
1,2,1,24,7,2,2,1
3,5,4,74,3,1,1,2
3,5,3,62,3,2,4,2
5,4,5,99,1,1,1,2
2,5,5,68,3,1,1,2
5,5,4,91,2,1,1,2
5,5,5,98,2,1,1,2
1,2,3,25,7,2,3,1
3,5,5,76,3,1,1,2
1,1,1,25,7,2,2,1
1,5,3,31,10,2,4,1
4,5,5,96,2,1,1,2
1,1,1,28,7,2,2,1
2,5,5,68,3,1,1,2
5,3,2,67,9,1,2,1
4,5,2,89,2,2,4,2
1,3,3,40,4,2,3,1
1,3,4,50,4,2,3,1
5,5,3,82,2,1,4,2
1,4,1,27,10,2,4,1
3,5,4,81,3,1,1,2
2,5,3,43,3,2,4,2
1,3,5,49,4,1,3,1
5,5,5,90,2,1,1,2
1,5,3,32,10,2,4,1
5,5,5,92,2,1,1,2
4,5,5,89,2,1,1,2
2,5,4,48,3,2,1,2
1,5,4,39,10,2,1,2
4,5,5,99,2,1,1,2
3,5,5,93,3,1,1,2
1,5,5,58,10,1,1,2
1,5,3,46,10,2,4,1
3,3,3,75,8,2,3,1
1,3,1,31,4,2,2,1
1,1,1,24,7,2,2,1
4,5,5,94,2,1,1,2
4,5,4,89,2,1,1,2
3,5,3,82,3,2,4,2
4,5,4,81,2,1,1,2
1,3,1,31,4,2,2,1
5,4,3,62,1,1,3,2
3,2,4,68,6,1,3,1
3,3,3,74,8,2,3,1
5,5,5,98,2,1,1,2
1,4,3,30,10,2,3,1
5,5,5,87,2,1,1,2
3,4,3,73,3,2,3,2
2,3,4,53,4,2,3,1
4,5,4,89,2,1,1,2
3,5,5,82,3,1,1,2
4,5,5,77,2,1,1,2
4,4,4,97,1,1,3,2
3,4,5,90,3,1,1,2
5,5,5,95,2,1,1,2
5,5,5,94,2,1,1,2
3,5,5,87,3,1,1,2
1,5,5,28,10,1,1,2
2,1,1,24,7,2,2,1
4,5,4,89,2,1,1,2
3,3,5,66,8,1,3,2
1,5,1,24,10,2,4,1
5,5,4,76,2,1,1,2
4,4,3,91,1,1,3,2
1,4,3,42,10,2,3,1
3,5,4,74,3,1,1,2
2,5,4,46,3,2,1,2
4,5,5,98,2,1,1,2
1,5,5,63,10,1,1,2
3,5,3,92,3,2,4,2
3,4,5,78,3,1,1,2
1,5,3,38,10,2,4,1
3,2,5,76,6,1,3,1
2,5,5,82,3,1,1,2
3,5,3,63,3,2,4,2
1,2,1,23,7,2,2,1
3,5,5,98,3,1,1,2
4,5,2,77,2,2,4,2
4,4,4,92,1,1,3,2
4,5,5,75,2,1,1,2
5,5,5,97,2,1,1,2
4,5,5,99,2,1,1,2
3,4,3,90,3,2,3,2
3,4,5,90,3,1,1,2
3,3,3,65,8,2,3,1
3,3,1,56,8,2,2,1
2,5,3,63,3,2,4,2
2,5,3,55,3,2,4,2
1,4,4,51,10,2,3,1
3,5,5,56,3,1,1,2
2,5,3,41,3,2,4,2
2,4,3,41,3,2,3,1
3,4,3,49,3,2,3,2
3,5,5,82,3,1,1,2
5,5,5,95,2,1,1,2
5,3,4,92,9,1,3,2
5,1,5,94,5,1,3,2
4,5,5,97,2,1,1,2
1,3,2,33,4,2,2,1
4,5,5,95,2,1,1,2
1,1,1,23,7,2,2,1
3,5,5,93,3,1,1,2
3,5,3,73,3,2,4,2
2,5,5,48,3,1,1,2
5,5,5,94,2,1,1,2
3,5,4,81,3,1,1,2
5,5,5,99,2,1,1,2
3,5,5,97,3,1,1,2
2,4,3,63,3,2,3,1
3,4,3,73,3,2,3,2
5,3,3,95,9,1,3,2
3,5,5,94,3,1,1,2
3,5,5,92,3,1,1,2
2,4,3,53,3,2,3,1
5,5,5,94,2,1,1,2
1,3,1,31,4,2,2,1
1,3,3,25,4,2,3,1
1,5,3,31,10,2,4,1
3,5,3,76,3,2,4,2
4,4,4,91,1,1,3,2
2,3,1,29,4,2,2,1
3,5,5,93,3,1,1,2
1,5,5,28,10,1,1,2
3,5,5,77,3,1,1,2
5,5,3,95,2,1,4,2
1,2,3,25,7,2,3,1
5,5,5,88,2,1,1,2
3,3,5,43,8,1,3,2
5,5,3,85,2,1,4,2
2,5,3,43,3,2,4,2
3,4,3,80,3,2,3,2
3,5,5,89,3,1,1,2
3,3,5,66,8,1,3,2
1,4,3,38,10,2,3,1
1,5,5,45,10,1,1,2
4,5,5,88,2,1,1,2
5,5,5,92,2,1,1,2
