compl,accel,decel,result,cluster_ca,cluster_cd,cluster_ad,cluster_cad
1,1,5,53,3,8,8,2
1,3,5,49,3,8,7,3
1,5,5,63,2,8,9,3
1,5,5,58,2,8,9,3
1,5,5,45,2,8,9,3
1,5,5,28,2,8,9,3
1,5,5,28,2,8,9,3
1,3,4,50,3,7,10,3
1,3,4,50,3,7,10,3
1,4,4,51,2,7,7,3
1,5,4,43,2,7,9,3
1,5,4,39,2,7,9,3
1,1,3,25,3,5,6,2
1,2,3,25,3,5,6,2
1,2,3,25,3,5,6,2
1,3,3,25,3,5,10,2
1,4,3,42,2,5,1,3
1,4,3,42,2,5,1,3
1,4,3,38,2,5,1,3
1,4,3,30,2,5,1,3
1,5,3,46,2,5,1,3
1,5,3,46,2,5,1,3
1,5,3,38,2,5,1,3
1,5,3,32,2,5,1,3
1,5,3,31,2,5,1,3
1,5,3,31,2,5,1,3
1,3,2,33,3,3,3,2
1,1,1,28,3,3,4,2
1,1,1,25,3,3,4,2
1,1,1,24,3,3,4,2
1,1,1,24,3,3,4,2
1,1,1,23,3,3,4,2
1,1,1,23,3,3,4,2
1,2,1,24,3,3,4,2
1,2,1,24,3,3,4,2
1,2,1,23,3,3,4,2
1,3,1,38,3,3,3,2
1,3,1,31,3,3,3,2
1,3,1,31,3,3,3,2
1,3,1,31,3,3,3,2
1,4,1,27,2,3,2,2
1,5,1,27,2,3,5,3
1,5,1,24,2,3,5,3
1,5,1,24,2,3,5,3
2,5,5,68,2,9,9,3
2,5,5,68,2,9,9,3
2,5,5,60,2,9,9,3
2,5,5,48,2,9,9,3
2,5,5,45,2,9,9,3
2,3,4,53,3,7,10,3
2,5,4,48,2,7,9,3
2,5,4,46,2,7,9,3
2,4,3,63,2,5,1,3
2,4,3,53,2,5,1,3
2,4,3,41,2,5,1,3
2,5,3,63,2,5,1,3
2,5,3,55,2,5,1,3
2,5,3,43,2,5,1,3
2,5,3,43,2,5,1,3
2,5,3,41,2,5,1,3
2,3,2,30,3,3,3,2
2,1,1,24,3,3,4,2
2,3,1,29,3,3,3,2
3,3,5,66,3,9,7,1
3,3,5,66,3,9,7,1
3,3,5,43,3,9,7,1
3,4,5,78,2,9,7,1
3,4,5,45,2,9,7,1
3,5,5,82,2,9,9,1
3,5,5,82,2,9,9,1
3,5,5,79,2,9,9,1
3,5,5,77,2,9,9,1
3,5,5,76,2,9,9,1
3,5,5,56,2,9,9,1
3,2,4,68,3,10,6,2
3,5,4,83,2,10,9,1
3,5,4,81,2,10,9,1
3,5,4,81,2,10,9,1
3,5,4,74,2,10,9,1
3,5,4,74,2,10,9,1
3,5,4,59,2,10,9,1
3,3,3,65,3,4,10,2
3,4,3,68,2,4,1,3
3,4,3,49,2,4,1,3
3,5,3,63,2,4,1,3
3,5,3,62,2,4,1,3
3,3,1,56,3,3,3,2
3,3,1,56,3,3,3,2
3,3,1,35,3,3,3,2
4,5,5,99,1,1,9,1
4,5,5,99,1,1,9,1
4,5,5,98,1,1,9,1
4,5,5,97,1,1,9,1
4,5,5,96,1,1,9,1
4,5,5,95,1,1,9,1
4,5,5,94,1,1,9,1
4,5,5,89,1,1,9,1
4,5,5,88,1,1,9,1
4,5,5,77,1,1,9,1
4,5,5,75,1,1,9,1
4,5,5,75,1,1,9,1
4,5,5,70,1,1,9,1
4,4,4,97,1,10,7,1
4,4,4,92,1,10,7,1
4,4,4,91,1,10,7,1
4,5,4,89,1,10,9,1
4,5,4,89,1,10,9,1
4,5,4,89,1,10,9,1
4,5,4,89,1,10,9,1
4,5,4,88,1,10,9,1
4,5,4,85,1,10,9,1
4,5,4,81,1,10,9,1
4,5,2,77,1,6,5,1
5,1,5,94,3,1,8,1
5,4,5,99,1,1,7,1
5,5,5,100,1,1,9,1
5,5,5,99,1,1,9,1
5,5,5,99,1,1,9,1
5,5,5,98,1,1,9,1
5,5,5,98,1,1,9,1
5,5,5,98,1,1,9,1
5,5,5,97,1,1,9,1
5,5,5,95,1,1,9,1
5,5,5,95,1,1,9,1
5,5,5,94,1,1,9,1
5,5,5,94,1,1,9,1
5,5,5,94,1,1,9,1
5,5,5,92,1,1,9,1
5,5,5,92,1,1,9,1
5,5,5,91,1,1,9,1
5,5,5,90,1,1,9,1
5,5,5,90,1,1,9,1
5,5,5,88,1,1,9,1
5,5,5,87,1,1,9,1
5,3,4,92,1,2,10,1
5,3,4,89,1,2,10,1
5,4,4,90,1,2,7,1
5,5,4,91,1,2,9,1
5,5,4,76,1,2,9,1
5,3,3,95,1,2,10,1
5,4,3,62,1,2,1,1
5,4,3,62,1,2,1,1
5,5,3,95,1,2,1,1
5,5,3,85,1,2,1,1
5,5,3,82,1,2,1,1
5,3,2,67,1,6,3,1
5,1,1,32,3,6,4,2
5,5,1,31,1,6,5,1
5,5,1,31,1,6,5,1
