compl,accel,decel,result,cluster_r,cluster_cr,cluster_ar,cluster_dr,cluster_car,cluster_cdr,cluster_adr,cluster_cadr
3,5,5,80,3,12,7,2,2,1,2,2
1,3,3,35,1,21,15,1,1,2,1,1
5,5,4,85,3,6,11,2,2,1,2,2
4,2,3,58,2,2,14,2,2,1,1,1
4,4,4,97,3,24,19,2,2,1,2,2
2,3,3,42,2,23,14,1,1,2,1,1
4,5,3,74,3,24,11,2,2,1,2,2
3,4,3,67,2,17,22,2,2,1,2,2
3,5,5,83,3,12,7,2,2,1,2,2
3,3,3,40,2,17,14,2,2,1,1,1
3,5,5,91,3,12,7,2,2,1,2,2
3,4,3,45,2,17,22,2,2,1,2,2
3,3,3,45,2,17,14,2,2,1,1,1
4,4,4,85,3,24,19,2,2,1,2,2
5,4,3,89,3,1,19,2,2,1,2,2
