compliance,acceleration,deceleration,result,cluster_cr,cluster_ar,cluster_dr
3,5,4,94,3,5,2
1,5,1,27,1,1,5
1,4,3,42,4,3,1
1,5,1,24,1,1,5
4,5,5,75,3,5,3
1,1,3,25,1,1,5
3,4,5,45,4,4,1
5,5,5,91,3,5,2
3,5,4,83,3,5,2
1,5,3,46,4,4,1
2,3,2,30,1,1,5
3,5,5,95,3,5,2
5,5,5,100,3,5,2
3,5,5,79,3,5,2
4,4,3,91,3,5,2
4,5,4,89,3,5,2
3,5,4,59,2,2,4
4,5,4,85,3,5,2
5,5,5,90,3,5,2
3,5,3,92,3,5,2
5,5,5,99,3,5,2
3,3,1,35,4,3,1
5,1,1,32,1,1,5
1,3,1,38,4,3,1
1,1,1,23,1,1,5
2,5,5,45,4,4,1
4,5,5,70,5,2,3
5,4,4,90,3,5,2
5,3,1,94,3,5,2
5,5,1,31,1,1,5
3,5,5,91,3,5,2
3,3,1,56,2,4,4
1,2,1,24,1,1,5
3,5,5,87,3,5,2
3,4,3,68,5,2,3
1,1,5,53,2,4,4
1,3,4,50,4,4,1
5,4,3,62,2,2,4
5,3,4,89,3,5,2
2,5,5,60,2,2,4
5,5,1,31,1,1,5
1,1,1,24,1,1,5
1,5,4,43,4,3,1
5,5,5,98,3,5,2
4,5,4,88,3,5,2
1,2,1,24,1,1,5
3,5,4,74,3,5,3
3,5,3,62,2,2,4
5,4,5,99,3,5,2
2,5,5,68,5,2,3
5,5,4,91,3,5,2
5,5,5,98,3,5,2
1,2,3,25,1,1,5
3,5,5,76,3,5,3
1,1,1,25,1,1,5
1,5,3,31,1,3,5
4,5,5,96,3,5,2
1,1,1,28,1,1,5
2,5,5,68,5,2,3
5,3,2,67,5,2,3
4,5,2,89,3,5,2
1,3,3,40,4,3,1
1,3,4,50,4,4,1
5,5,3,82,3,5,2
1,4,1,27,1,1,5
3,5,4,81,3,5,2
2,5,3,43,4,3,1
1,3,5,49,4,4,1
5,5,5,90,3,5,2
1,5,3,32,1,3,5
5,5,5,92,3,5,2
4,5,5,89,3,5,2
2,5,4,48,4,4,1
1,5,4,39,4,3,1
4,5,5,99,3,5,2
3,5,5,93,3,5,2
1,5,5,58,2,4,4
1,5,3,46,4,4,1
3,3,3,75,3,5,3
1,3,1,31,1,1,5
1,1,1,24,1,1,5
4,5,5,94,3,5,2
4,5,4,89,3,5,2
3,5,3,82,3,5,2
4,5,4,81,3,5,2
1,3,1,31,1,1,5
5,4,3,62,2,2,4
3,2,4,68,5,2,3
3,3,3,74,5,2,3
5,5,5,98,3,5,2
1,4,3,30,1,1,5
5,5,5,87,3,5,2
3,4,3,73,5,5,3
2,3,4,53,2,4,4
4,5,4,89,3,5,2
3,5,5,82,3,5,2
4,5,5,77,3,5,3
4,4,4,97,3,5,2
3,4,5,90,3,5,2
5,5,5,95,3,5,2
5,5,5,94,3,5,2
3,5,5,87,3,5,2
1,5,5,28,1,1,5
2,1,1,24,1,1,5
4,5,4,89,3,5,2
3,3,5,66,5,2,3
1,5,1,24,1,1,5
5,5,4,76,3,5,3
4,4,3,91,3,5,2
1,4,3,42,4,3,1
3,5,4,74,3,5,3
2,5,4,46,4,4,1
4,5,5,98,3,5,2
1,5,5,63,5,2,3
3,5,3,92,3,5,2
3,4,5,78,3,5,3
1,5,3,38,4,3,1
3,2,5,76,5,5,3
2,5,5,82,3,5,2
3,5,3,63,5,2,3
1,2,1,23,1,1,5
3,5,5,98,3,5,2
4,5,2,77,3,5,3
4,4,4,92,3,5,2
4,5,5,75,3,5,3
5,5,5,97,3,5,2
4,5,5,99,3,5,2
3,4,3,90,3,5,2
3,4,5,90,3,5,2
3,3,3,65,5,2,3
3,3,1,56,2,4,4
2,5,3,63,5,2,3
2,5,3,55,2,4,4
1,4,4,51,4,4,1
3,5,5,56,2,4,4
2,5,3,41,4,3,1
2,4,3,41,4,3,1
3,4,3,49,4,4,1
3,5,5,82,3,5,2
5,5,5,95,3,5,2
5,3,4,92,3,5,2
5,1,5,94,3,5,2
4,5,5,97,3,5,2
1,3,2,33,1,3,5
4,5,5,95,3,5,2
1,1,1,23,1,1,5
3,5,5,93,3,5,2
3,5,3,73,5,5,3
2,5,5,48,4,4,1
5,5,5,94,3,5,2
3,5,4,81,3,5,2
5,5,5,99,3,5,2
3,5,5,97,3,5,2
2,4,3,63,2,2,4
3,4,3,73,5,5,3
5,3,3,95,3,5,2
3,5,5,94,3,5,2
3,5,5,92,3,5,2
2,4,3,53,2,4,4
5,5,5,94,3,5,2
1,3,1,31,1,1,5
1,3,3,25,1,1,5
1,5,3,31,1,3,5
3,5,3,76,3,5,3
4,4,4,91,3,5,2
2,3,1,29,1,1,5
3,5,5,93,3,5,2
1,5,5,28,1,1,5
3,5,5,77,3,5,3
5,5,3,95,3,5,2
1,2,3,25,1,1,5
5,5,5,88,3,5,2
3,3,5,43,4,3,1
5,5,3,85,3,5,2
2,5,3,43,4,3,1
3,4,3,80,3,5,2
3,5,5,89,3,5,2
3,3,5,66,5,2,3
1,4,3,38,4,3,1
1,5,5,45,4,4,1
4,5,5,88,3,5,2
5,5,5,92,3,5,2
