compliance,acceleration,deceleration,result,cluster
3,5,4,94,4
1,5,1,27,2
1,4,3,42,3
1,5,1,24,2
4,5,5,75,5
1,1,3,25,2
3,4,5,45,3
5,5,5,91,4
3,5,4,83,5
1,5,3,46,3
2,3,2,30,2
3,5,5,95,4
5,5,5,100,4
3,5,5,79,5
4,4,3,91,4
4,5,4,89,4
3,5,4,59,1
4,5,4,85,5
5,5,5,90,4
3,5,3,92,4
5,5,5,99,4
3,3,1,35,2
5,1,1,32,2
1,3,1,38,3
1,1,1,23,2
2,5,5,45,3
4,5,5,70,1
5,4,4,90,4
5,3,1,94,4
5,5,1,31,2
3,5,5,91,4
3,3,1,56,1
1,2,1,24,2
3,5,5,87,4
3,4,3,68,1
1,1,5,53,3
1,3,4,50,3
5,4,3,62,1
5,3,4,89,4
2,5,5,60,1
5,5,1,31,2
1,1,1,24,2
1,5,4,43,3
5,5,5,98,4
4,5,4,88,4
1,2,1,24,2
3,5,4,74,5
3,5,3,62,1
5,4,5,99,4
2,5,5,68,1
5,5,4,91,4
5,5,5,98,4
1,2,3,25,2
3,5,5,76,5
1,1,1,25,2
1,5,3,31,2
4,5,5,96,4
1,1,1,28,2
2,5,5,68,1
5,3,2,67,1
4,5,2,89,4
1,3,3,40,3
1,3,4,50,3
5,5,3,82,5
1,4,1,27,2
3,5,4,81,5
2,5,3,43,3
1,3,5,49,3
5,5,5,90,4
1,5,3,32,2
5,5,5,92,4
4,5,5,89,4
2,5,4,48,3
1,5,4,39,3
4,5,5,99,4
3,5,5,93,4
1,5,5,58,1
1,5,3,46,3
3,3,3,75,5
1,3,1,31,2
1,1,1,24,2
4,5,5,94,4
4,5,4,89,4
3,5,3,82,5
4,5,4,81,5
1,3,1,31,2
5,4,3,62,1
3,2,4,68,1
3,3,3,74,5
5,5,5,98,4
1,4,3,30,2
5,5,5,87,4
3,4,3,73,5
2,3,4,53,3
4,5,4,89,4
3,5,5,82,5
4,5,5,77,5
4,4,4,97,4
3,4,5,90,4
5,5,5,95,4
5,5,5,94,4
3,5,5,87,4
1,5,5,28,2
2,1,1,24,2
4,5,4,89,4
3,3,5,66,1
1,5,1,24,2
5,5,4,76,5
4,4,3,91,4
1,4,3,42,3
3,5,4,74,5
2,5,4,46,3
4,5,5,98,4
1,5,5,63,1
3,5,3,92,4
3,4,5,78,5
1,5,3,38,3
3,2,5,76,5
2,5,5,82,5
3,5,3,63,1
1,2,1,23,2
3,5,5,98,4
4,5,2,77,5
4,4,4,92,4
4,5,5,75,5
5,5,5,97,4
4,5,5,99,4
3,4,3,90,4
3,4,5,90,4
3,3,3,65,1
3,3,1,56,1
2,5,3,63,1
2,5,3,55,1
1,4,4,51,3
3,5,5,56,1
2,5,3,41,3
2,4,3,41,3
3,4,3,49,3
3,5,5,82,5
5,5,5,95,4
5,3,4,92,4
5,1,5,94,4
4,5,5,97,4
1,3,2,33,2
4,5,5,95,4
1,1,1,23,2
3,5,5,93,4
3,5,3,73,5
2,5,5,48,3
5,5,5,94,4
3,5,4,81,5
5,5,5,99,4
3,5,5,97,4
2,4,3,63,1
3,4,3,73,5
5,3,3,95,4
3,5,5,94,4
3,5,5,92,4
2,4,3,53,3
5,5,5,94,4
1,3,1,31,2
1,3,3,25,2
1,5,3,31,2
3,5,3,76,5
4,4,4,91,4
2,3,1,29,2
3,5,5,93,4
1,5,5,28,2
3,5,5,77,5
5,5,3,95,4
1,2,3,25,2
5,5,5,88,4
3,3,5,43,3
5,5,3,85,5
2,5,3,43,3
3,4,3,80,5
3,5,5,89,4
3,3,5,66,1
1,4,3,38,3
1,5,5,45,3
4,5,5,88,4
5,5,5,92,4
