compliance,acceleration,deceleration,result,cluster
3,5,4,94,5
1,5,1,27,4
1,4,3,42,2
1,5,1,24,4
4,5,5,75,1
1,1,3,25,4
3,4,5,45,2
5,5,5,91,5
3,5,4,83,5
1,5,3,46,2
2,3,2,30,3
3,5,5,95,5
5,5,5,100,5
3,5,5,79,1
4,4,3,91,5
4,5,4,89,5
3,5,4,59,2
4,5,4,85,5
5,5,5,90,5
3,5,3,92,5
5,5,5,99,5
3,3,1,35,3
5,1,1,32,3
1,3,1,38,3
1,1,1,23,4
2,5,5,45,2
4,5,5,70,1
5,4,4,90,5
5,3,1,94,5
5,5,1,31,3
3,5,5,91,5
3,3,1,56,2
1,2,1,24,4
3,5,5,87,5
3,4,3,68,1
1,1,5,53,2
1,3,4,50,2
5,4,3,62,1
5,3,4,89,5
2,5,5,60,2
5,5,1,31,3
1,1,1,24,4
1,5,4,43,2
5,5,5,98,5
4,5,4,88,5
1,2,1,24,4
3,5,4,74,1
3,5,3,62,1
5,4,5,99,5
2,5,5,68,1
5,5,4,91,5
5,5,5,98,5
1,2,3,25,4
3,5,5,76,1
1,1,1,25,4
1,5,3,31,3
4,5,5,96,5
1,1,1,28,4
2,5,5,68,1
5,3,2,67,1
4,5,2,89,5
1,3,3,40,3
1,3,4,50,2
5,5,3,82,5
1,4,1,27,4
3,5,4,81,1
2,5,3,43,2
1,3,5,49,2
5,5,5,90,5
1,5,3,32,3
5,5,5,92,5
4,5,5,89,5
2,5,4,48,2
1,5,4,39,3
4,5,5,99,5
3,5,5,93,5
1,5,5,58,2
1,5,3,46,2
3,3,3,75,1
1,3,1,31,3
1,1,1,24,4
4,5,5,94,5
4,5,4,89,5
3,5,3,82,5
4,5,4,81,1
1,3,1,31,3
5,4,3,62,1
3,2,4,68,1
3,3,3,74,1
5,5,5,98,5
1,4,3,30,3
5,5,5,87,5
3,4,3,73,1
2,3,4,53,2
4,5,4,89,5
3,5,5,82,5
4,5,5,77,1
4,4,4,97,5
3,4,5,90,5
5,5,5,95,5
5,5,5,94,5
3,5,5,87,5
1,5,5,28,4
2,1,1,24,4
4,5,4,89,5
3,3,5,66,1
1,5,1,24,4
5,5,4,76,1
4,4,3,91,5
1,4,3,42,2
3,5,4,74,1
2,5,4,46,2
4,5,5,98,5
1,5,5,63,1
3,5,3,92,5
3,4,5,78,1
1,5,3,38,3
3,2,5,76,1
2,5,5,82,5
3,5,3,63,1
1,2,1,23,4
3,5,5,98,5
4,5,2,77,1
4,4,4,92,5
4,5,5,75,1
5,5,5,97,5
4,5,5,99,5
3,4,3,90,5
3,4,5,90,5
3,3,3,65,1
3,3,1,56,2
2,5,3,63,1
2,5,3,55,2
1,4,4,51,2
3,5,5,56,2
2,5,3,41,3
2,4,3,41,3
3,4,3,49,2
3,5,5,82,5
5,5,5,95,5
5,3,4,92,5
5,1,5,94,5
4,5,5,97,5
1,3,2,33,3
4,5,5,95,5
1,1,1,23,4
3,5,5,93,5
3,5,3,73,1
2,5,5,48,2
5,5,5,94,5
3,5,4,81,1
5,5,5,99,5
3,5,5,97,5
2,4,3,63,1
3,4,3,73,1
5,3,3,95,5
3,5,5,94,5
3,5,5,92,5
2,4,3,53,2
5,5,5,94,5
1,3,1,31,3
1,3,3,25,4
1,5,3,31,3
3,5,3,76,1
4,4,4,91,5
2,3,1,29,4
3,5,5,93,5
1,5,5,28,4
3,5,5,77,1
5,5,3,95,5
1,2,3,25,4
5,5,5,88,5
3,3,5,43,2
5,5,3,85,5
2,5,3,43,2
3,4,3,80,1
3,5,5,89,5
3,3,5,66,1
1,4,3,38,3
1,5,5,45,2
4,5,5,88,5
5,5,5,92,5
