compliance,acceleration,deceleration,result,cluster
1,5,1,19,3
2,4,1,20,3
3,1,1,21,4
2,1,1,21,4
2,4,1,21,3
4,1,1,23,4
2,1,1,23,4
2,5,1,23,3
3,1,1,24,4
2,2,1,25,4
1,3,2,26,4
4,5,1,26,1
1,2,3,27,4
3,4,1,27,1
1,2,1,27,4
1,4,1,28,3
1,4,2,29,3
1,1,4,30,4
1,3,3,30,3
1,4,2,30,3
4,1,1,30,4
2,3,1,30,4
5,5,1,31,5
1,2,5,32,2
1,2,5,33,2
1,4,4,33,2
2,1,2,33,4
1,2,5,34,2
2,2,3,34,4
1,3,2,34,4
5,2,1,34,5
1,2,5,35,2
1,5,4,36,2
1,5,3,36,2
2,2,3,38,4
2,3,2,39,3
1,3,5,40,2
1,4,4,40,2
1,5,5,41,5
1,5,4,41,2
2,2,3,41,4
2,4,3,41,2
4,2,1,41,1
2,5,4,42,5
2,3,4,43,2
2,5,2,43,1
5,4,1,43,1
1,3,5,44,2
2,1,3,44,4
4,2,1,44,1
5,4,2,46,5
2,5,4,47,5
3,3,1,47,4
2,3,5,48,5
1,4,5,48,2
1,1,5,49,2
5,1,3,49,1
2,3,5,50,2
4,1,3,50,1
5,4,2,50,5
2,2,5,51,1
2,3,5,51,5
1,4,5,51,2
3,3,5,52,5
1,1,5,52,2
3,2,2,52,4
2,3,5,53,5
2,4,5,53,5
1,1,5,53,2
3,2,1,53,4
2,1,4,54,4
5,1,3,54,1
5,1,3,56,1
3,2,3,57,1
4,2,2,58,1
3,2,2,58,4
3,5,2,60,1
5,5,2,61,5
5,4,3,62,5
5,5,2,62,5
3,4,5,63,5
5,2,3,63,5
5,3,2,63,5
4,4,2,63,5
3,5,2,63,1
3,4,3,65,1
4,4,2,65,1
3,5,2,65,1
5,2,3,66,5
3,3,3,67,1
3,4,5,68,5
3,3,3,68,1
3,4,3,68,1
4,4,2,69,1
4,5,2,69,5
3,4,4,71,5
4,4,5,72,5
3,5,4,72,5
4,2,3,72,1
4,4,3,72,5
4,5,2,72,5
2,1,5,74,1
3,5,4,74,5
5,1,4,75,5
3,1,4,75,1
4,4,5,76,5
4,3,4,77,5
4,5,4,77,5
4,4,5,78,5
4,2,4,78,5
4,5,2,78,5
4,4,4,79,5
3,1,5,80,1
4,5,5,81,5
4,4,3,81,5
5,5,5,82,5
5,3,4,82,5
3,1,5,83,1
5,1,5,84,5
4,2,5,87,5
5,4,5,88,5
4,1,5,89,1
4,2,5,89,5
5,2,5,94,5
5,2,5,96,5
1,5,1,18,3
1,1,2,20,4
1,1,2,21,4
1,2,3,22,4
1,1,2,22,4
4,4,1,22,1
2,2,1,23,4
1,2,2,24,4
4,1,1,24,4
3,4,1,25,1
5,5,1,26,5
1,4,2,27,3
2,3,1,27,4
2,5,1,27,3
2,5,1,28,3
1,3,3,29,3
2,1,2,29,4
5,1,1,29,1
3,4,1,29,1
1,4,3,30,2
1,3,2,30,4
5,5,1,30,5
1,5,2,31,3
1,1,4,32,4
1,3,3,32,3
4,1,2,32,4
1,5,4,33,2
3,1,2,33,4
1,3,3,34,3
3,1,2,34,4
1,4,2,34,3
1,3,1,34,4
4,1,2,35,4
3,1,2,36,4
2,3,2,36,3
1,5,3,37,2
5,2,1,37,5
2,2,2,38,4
5,4,1,38,1
2,2,4,39,1
1,3,4,39,2
4,1,2,39,4
2,2,2,39,4
2,4,2,39,3
4,2,1,39,1
1,5,4,40,2
5,2,2,41,5
4,1,2,41,4
2,4,2,41,3
1,3,5,42,2
3,3,1,42,4
2,2,4,43,1
2,5,4,43,5
2,4,2,43,3
1,4,5,44,2
1,5,5,44,5
2,2,4,45,1
3,3,1,46,4
1,3,4,47,2
2,5,2,47,1
2,5,3,48,1
3,3,1,48,4
2,3,5,49,5
3,2,2,54,4
4,1,3,55,1
3,3,5,56,5
5,5,2,56,5
4,2,2,56,1
2,5,5,57,5
4,1,3,57,1
3,2,1,57,4
2,1,4,58,4
5,4,3,58,5
2,1,4,59,4
3,3,5,60,5
5,3,2,61,5
4,4,2,61,5
4,2,2,62,1
4,2,2,64,1
3,2,5,65,5
2,1,5,65,1
3,2,4,65,1
3,5,3,65,1
3,1,4,66,1
4,3,3,66,5
3,3,2,66,1
4,3,1,66,1
5,2,3,67,5
3,3,2,68,1
4,3,1,68,1
3,2,5,69,5
