compliance,acceleration,deceleration,result,cluster_cd,cluster_ca
1,1,1,23,1,3
1,1,1,24,1,3
1,1,2,19,1,1
1,1,2,20,1,1
1,1,3,23,1,1
1,1,3,24,1,1
1,1,4,34,1,1
1,1,4,35,1,1
1,1,5,48,4,1
1,1,5,49,4,1
1,2,1,22,1,1
1,2,1,23,1,1
1,2,2,24,1,1
1,2,2,25,1,1
1,2,3,24,1,1
1,2,3,25,1,1
1,2,4,28,1,1
1,2,4,29,1,1
1,2,5,36,4,1
1,2,5,37,4,1
1,3,1,29,1,1
1,3,1,30,1,1
1,3,2,30,1,1
1,3,2,31,1,1
1,3,3,33,1,1
1,3,3,34,1,1
1,3,4,42,1,1
1,3,4,43,1,5
1,3,5,44,4,1
1,3,5,45,4,5
1,4,1,23,1,1
1,4,1,24,1,1
1,4,2,30,1,5
1,4,2,31,1,5
1,4,3,33,1,5
1,4,3,34,1,5
1,4,4,36,1,5
1,4,4,37,1,5
1,4,5,46,4,5
1,4,5,47,4,5
1,5,1,22,1,5
1,5,1,23,1,5
1,5,2,32,1,5
1,5,2,33,1,5
1,5,3,33,1,5
1,5,3,34,1,5
1,5,4,36,4,5
1,5,4,37,4,5
1,5,5,40,4,5
1,5,5,41,4,5
2,1,1,22,1,1
2,1,1,23,1,1
2,1,2,32,1,1
2,1,2,33,1,3
2,1,3,46,1,3
2,1,3,47,1,3
2,1,4,57,4,1
2,1,4,58,4,4
2,1,5,69,4,4
2,1,5,70,4,4
2,2,1,23,1,1
2,2,1,24,1,1
2,2,2,35,1,1
2,2,2,36,1,1
2,2,3,38,1,1
2,2,3,39,1,1
2,2,4,42,4,1
2,2,4,43,4,4
2,2,5,52,4,1
2,2,5,53,4,1
2,3,1,26,1,1
2,3,1,27,1,1
2,3,2,35,1,1
2,3,2,36,1,1
2,3,3,40,1,1
2,3,3,41,1,1
2,3,4,47,4,4
2,3,4,48,4,4
2,3,5,48,4,5
2,3,5,49,4,5
2,4,1,24,1,1
2,4,1,25,1,1
2,4,2,40,1,5
2,4,2,41,1,5
2,4,3,43,1,5
2,4,3,44,1,5
2,4,4,48,4,5
2,4,4,49,4,5
2,4,5,55,4,2
2,4,5,56,4,2
2,5,1,24,1,5
2,5,1,25,1,5
2,5,2,43,1,5
2,5,2,44,1,5
2,5,3,43,1,5
2,5,3,44,1,5
2,5,4,45,4,5
2,5,4,46,4,5
2,5,5,54,4,2
2,5,5,55,4,2
3,1,1,23,1,3
3,1,1,24,1,3
3,1,2,37,1,3
3,1,2,38,1,3
3,1,3,53,1,4
3,1,3,54,1,4
3,1,4,70,4,4
3,1,4,71,4,4
3,1,5,84,4,4
3,1,5,85,4,4
3,2,1,55,1,1
3,2,1,56,1,1
3,2,2,56,1,4
3,2,2,57,1,1
3,2,3,60,1,2
3,2,3,61,1,2
3,2,4,60,4,2
3,2,4,61,4,2
3,2,5,68,4,4
3,2,5,69,4,4
3,3,1,43,1,1
3,3,1,44,1,1
3,3,2,66,1,2
3,3,2,67,1,2
3,3,3,65,1,2
3,3,3,66,1,2
3,3,4,60,4,2
3,3,4,61,4,2
3,3,5,55,4,2
3,3,5,56,4,2
3,4,1,26,1,2
3,4,1,27,1,2
3,4,2,66,1,2
3,4,2,67,1,2
3,4,3,66,1,2
3,4,3,67,1,2
3,4,4,68,4,2
3,4,4,69,4,2
3,4,5,67,4,2
3,4,5,68,4,2
3,5,1,27,1,2
3,5,1,28,1,2
3,5,2,60,1,2
3,5,2,61,1,2
3,5,3,67,1,2
3,5,3,68,1,2
3,5,4,70,4,2
3,5,4,71,4,2
3,5,5,76,4,2
3,5,5,77,4,2
4,1,1,26,1,4
