compliance,acceleration,deceleration,result,cluster3,cluster2
3,5,4,94,2,5
1,5,1,27,5,3
1,4,3,42,3,2
1,5,1,24,5,3
4,5,5,75,1,1
1,1,3,25,5,3
3,4,5,45,3,2
5,5,5,91,2,5
3,5,4,83,1,4
1,5,3,46,3,2
2,3,2,30,5,3
3,5,5,95,2,5
5,5,5,100,2,5
3,5,5,79,1,4
4,4,3,91,2,5
4,5,4,89,2,4
3,5,4,59,4,1
4,5,4,85,1,4
5,5,5,90,2,4
3,5,3,92,2,5
5,5,5,99,2,5
3,3,1,35,5,3
5,1,1,32,5,3
1,3,1,38,3,2
1,1,1,23,5,3
2,5,5,45,3,2
4,5,5,70,1,1
5,4,4,90,2,4
5,3,1,94,2,5
5,5,1,31,5,3
3,5,5,91,2,5
3,3,1,56,4,2
1,2,1,24,5,3
3,5,5,87,2,4
3,4,3,68,4,1
1,1,5,53,4,2
1,3,4,50,3,2
5,4,3,62,4,1
5,3,4,89,2,4
2,5,5,60,4,1
5,5,1,31,5,3
1,1,1,24,5,3
1,5,4,43,3,2
5,5,5,98,2,5
4,5,4,88,2,4
1,2,1,24,5,3
3,5,4,74,1,1
3,5,3,62,4,1
5,4,5,99,2,5
2,5,5,68,4,1
5,5,4,91,2,5
5,5,5,98,2,5
1,2,3,25,5,3
3,5,5,76,1,1
1,1,1,25,5,3
1,5,3,31,5,3
4,5,5,96,2,5
1,1,1,28,5,3
2,5,5,68,4,1
5,3,2,67,4,1
4,5,2,89,2,4
1,3,3,40,3,2
1,3,4,50,3,2
5,5,3,82,1,4
1,4,1,27,5,3
3,5,4,81,1,4
2,5,3,43,3,2
1,3,5,49,3,2
5,5,5,90,2,4
1,5,3,32,5,3
5,5,5,92,2,5
4,5,5,89,2,4
2,5,4,48,3,2
1,5,4,39,3,2
4,5,5,99,2,5
3,5,5,93,2,5
1,5,5,58,4,2
1,5,3,46,3,2
3,3,3,75,1,1
1,3,1,31,5,3
1,1,1,24,5,3
4,5,5,94,2,5
4,5,4,89,2,4
3,5,3,82,1,4
4,5,4,81,1,4
1,3,1,31,5,3
5,4,3,62,4,1
3,2,4,68,4,1
3,3,3,74,1,1
5,5,5,98,2,5
1,4,3,30,5,3
5,5,5,87,2,4
3,4,3,73,1,1
2,3,4,53,4,2
4,5,4,89,2,4
3,5,5,82,1,4
4,5,5,77,1,1
4,4,4,97,2,5
3,4,5,90,2,4
5,5,5,95,2,5
5,5,5,94,2,5
3,5,5,87,2,4
1,5,5,28,5,3
2,1,1,24,5,3
4,5,4,89,2,4
3,3,5,66,4,1
1,5,1,24,5,3
5,5,4,76,1,1
4,4,3,91,2,5
1,4,3,42,3,2
3,5,4,74,1,1
2,5,4,46,3,2
4,5,5,98,2,5
1,5,5,63,4,1
3,5,3,92,2,5
3,4,5,78,1,4
1,5,3,38,3,2
3,2,5,76,1,1
2,5,5,82,1,4
3,5,3,63,4,1
1,2,1,23,5,3
3,5,5,98,2,5
4,5,2,77,1,1
4,4,4,92,2,5
4,5,5,75,1,1
5,5,5,97,2,5
4,5,5,99,2,5
3,4,3,90,2,4
3,4,5,90,2,4
3,3,3,65,4,1
3,3,1,56,4,2
2,5,3,63,4,1
2,5,3,55,4,2
1,4,4,51,3,2
3,5,5,56,4,2
2,5,3,41,3,2
2,4,3,41,3,2
3,4,3,49,3,2
3,5,5,82,1,4
5,5,5,95,2,5
5,3,4,92,2,5
5,1,5,94,2,5
4,5,5,97,2,5
1,3,2,33,5,3
4,5,5,95,2,5
1,1,1,23,5,3
3,5,5,93,2,5
3,5,3,73,1,1
2,5,5,48,3,2
5,5,5,94,2,5
3,5,4,81,1,4
5,5,5,99,2,5
3,5,5,97,2,5
2,4,3,63,4,1
3,4,3,73,1,1
5,3,3,95,2,5
3,5,5,94,2,5
3,5,5,92,2,5
2,4,3,53,4,2
5,5,5,94,2,5
1,3,1,31,5,3
1,3,3,25,5,3
1,5,3,31,5,3
3,5,3,76,1,1
4,4,4,91,2,5
2,3,1,29,5,3
3,5,5,93,2,5
1,5,5,28,5,3
3,5,5,77,1,1
5,5,3,95,2,5
1,2,3,25,5,3
5,5,5,88,2,4
3,3,5,43,3,2
5,5,3,85,1,4
2,5,3,43,3,2
3,4,3,80,1,4
3,5,5,89,2,4
3,3,5,66,4,1
1,4,3,38,3,2
1,5,5,45,3,2
4,5,5,88,2,4
5,5,5,92,2,5
