compliance,acceleration,deceleration,result,cluster3,cluster2
1,5,1,19,4,6
2,4,1,20,4,6
3,1,1,21,4,6
2,1,1,21,4,6
2,4,1,21,4,6
4,1,1,23,4,6
2,1,1,23,4,6
2,5,1,23,4,6
3,1,1,24,4,6
2,2,1,25,4,6
1,3,2,26,4,6
4,5,1,26,2,1
1,2,3,27,4,6
3,4,1,27,4,6
1,2,1,27,4,6
1,4,1,28,4,6
1,4,2,29,4,6
1,1,4,30,4,6
1,3,3,30,5,5
1,4,2,30,4,6
4,1,1,30,4,6
2,3,1,30,4,6
5,5,1,31,1,3
1,2,5,32,5,5
1,2,5,33,5,5
1,4,4,33,5,5
2,1,2,33,4,6
1,2,5,34,5,5
2,2,3,34,4,6
1,3,2,34,4,6
5,2,1,34,1,3
1,2,5,35,5,5
1,5,4,36,5,5
1,5,3,36,5,5
2,2,3,38,4,6
2,3,2,39,4,6
1,3,5,40,5,5
1,4,4,40,5,5
1,5,5,41,5,5
1,5,4,41,5,5
2,2,3,41,4,6
2,4,3,41,5,5
4,2,1,41,4,6
2,5,4,42,5,5
2,3,4,43,5,5
2,5,2,43,5,5
5,4,1,43,3,4
1,3,5,44,5,5
2,1,3,44,4,6
4,2,1,44,4,6
5,4,2,46,1,3
2,5,4,47,5,5
3,3,1,47,4,6
2,3,5,48,5,5
1,4,5,48,5,5
1,1,5,49,5,5
5,1,3,49,2,1
2,3,5,50,5,5
4,1,3,50,2,1
5,4,2,50,1,3
2,2,5,51,5,5
2,3,5,51,5,5
1,4,5,51,5,5
3,3,5,52,1,3
1,1,5,52,4,5
3,2,2,52,4,6
2,3,5,53,5,5
2,4,5,53,5,5
1,1,5,53,5,6
3,2,1,53,4,6
2,1,4,54,4,6
5,1,3,54,2,1
5,1,3,56,2,1
3,2,3,57,4,6
4,2,2,58,1,1
3,2,2,58,4,6
3,5,2,60,3,4
5,5,2,61,1,3
5,4,3,62,1,3
5,5,2,62,1,3
3,4,5,63,3,4
5,2,3,63,2,1
5,3,2,63,1,3
4,4,2,63,3,4
3,5,2,63,3,4
3,4,3,65,3,4
4,4,2,65,3,4
3,5,2,65,3,4
5,2,3,66,2,1
3,3,3,67,2,1
3,4,5,68,3,4
3,3,3,68,2,1
3,4,3,68,3,4
4,4,2,69,3,4
4,5,2,69,1,3
3,4,4,71,3,3
4,4,5,72,6,3
3,5,4,72,3,3
4,2,3,72,2,1
4,4,3,72,1,3
4,5,2,72,1,3
2,1,5,74,5,5
3,5,4,74,3,3
5,1,4,75,1,3
3,1,4,75,5,5
4,4,5,76,6,3
