compliance,acceleration,deceleration,result,cluster3,cluster_cd,cluster_ca,cluster_ad
3,5,4,94,4,1,4,4
1,5,1,27,1,2,3,2
1,4,3,42,3,3,2,3
1,5,1,24,1,2,3,2
4,5,5,75,2,4,1,1
1,1,3,25,1,2,3,2
3,4,5,45,3,3,2,3
5,5,5,91,4,1,4,4
3,5,4,83,4,4,4,1
1,5,3,46,3,3,2,3
2,3,2,30,1,2,3,2
3,5,5,95,4,1,4,4
5,5,5,100,4,1,4,4
3,5,5,79,2,4,1,1
4,4,3,91,4,1,4,4
4,5,4,89,4,1,4,4
3,5,4,59,3,3,2,3
4,5,4,85,4,1,4,4
5,5,5,90,4,1,4,4
3,5,3,92,4,1,4,4
5,5,5,99,4,1,4,4
3,3,1,35,1,2,3,2
5,1,1,32,1,2,3,2
1,3,1,38,3,2,2,2
1,1,1,23,1,2,3,2
2,5,5,45,3,3,2,3
4,5,5,70,2,4,1,1
5,4,4,90,4,1,4,4
5,3,1,94,4,1,4,4
5,5,1,31,1,2,3,2
3,5,5,91,4,1,4,4
3,3,1,56,3,3,2,3
1,2,1,24,1,2,3,2
3,5,5,87,4,1,4,4
3,4,3,68,2,4,1,1
1,1,5,53,3,3,2,3
1,3,4,50,3,3,2,3
5,4,3,62,2,3,1,3
5,3,4,89,4,1,4,4
2,5,5,60,2,3,1,3
5,5,1,31,1,2,3,2
1,1,1,24,1,2,3,2
1,5,4,43,3,3,2,3
5,5,5,98,4,1,4,4
4,5,4,88,4,1,4,4
1,2,1,24,1,2,3,2
3,5,4,74,2,4,1,1
3,5,3,62,2,3,1,3
5,4,5,99,4,1,4,4
2,5,5,68,2,4,1,1
5,5,4,91,4,1,4,4
5,5,5,98,4,1,4,4
1,2,3,25,1,2,3,2
3,5,5,76,2,4,1,1
1,1,1,25,1,2,3,2
1,5,3,31,1,2,3,2
4,5,5,96,4,1,4,4
1,1,1,28,1,2,3,2
2,5,5,68,2,4,1,1
5,3,2,67,2,4,1,1
4,5,2,89,4,1,4,4
1,3,3,40,3,2,2,2
1,3,4,50,3,3,2,3
5,5,3,82,4,4,4,1
1,4,1,27,1,2,3,2
3,5,4,81,2,4,1,1
2,5,3,43,3,3,2,3
1,3,5,49,3,3,2,3
5,5,5,90,4,1,4,4
1,5,3,32,1,2,3,2
5,5,5,92,4,1,4,4
4,5,5,89,4,1,4,4
2,5,4,48,3,3,2,3
1,5,4,39,3,2,2,2
4,5,5,99,4,1,4,4
3,5,5,93,4,1,4,4
1,5,5,58,3,3,2,3
1,5,3,46,3,3,2,3
3,3,3,75,2,4,1,1
1,3,1,31,1,2,3,2
1,1,1,24,1,2,3,2
4,5,5,94,4,1,4,4
4,5,4,89,4,1,4,4
3,5,3,82,4,4,4,1
4,5,4,81,2,4,1,1
1,3,1,31,1,2,3,2
5,4,3,62,2,3,1,3
3,2,4,68,2,4,1,1
3,3,3,74,2,4,1,1
5,5,5,98,4,1,4,4
1,4,3,30,1,2,3,2
5,5,5,87,4,1,4,4
3,4,3,73,2,4,1,1
2,3,4,53,3,3,2,3
4,5,4,89,4,1,4,4
3,5,5,82,4,4,4,1
4,5,5,77,2,4,1,1
4,4,4,97,4,1,4,4
3,4,5,90,4,1,4,4
5,5,5,95,4,1,4,4
5,5,5,94,4,1,4,4
3,5,5,87,4,1,4,4
1,5,5,28,1,2,3,2
2,1,1,24,1,2,3,2
4,5,4,89,4,1,4,4
3,3,5,66,2,4,1,1
1,5,1,24,1,2,3,2
5,5,4,76,2,4,1,1
4,4,3,91,4,1,4,4
1,4,3,42,3,3,2,3
3,5,4,74,2,4,1,1
2,5,4,46,3,3,2,3
4,5,5,98,4,1,4,4
1,5,5,63,2,3,1,3
3,5,3,92,4,1,4,4
3,4,5,78,2,4,1,1
1,5,3,38,3,2,2,2
3,2,5,76,2,4,1,1
2,5,5,82,4,4,4,1
3,5,3,63,2,3,1,3
1,2,1,23,1,2,3,2
3,5,5,98,4,1,4,4
4,5,2,77,2,4,1,1
4,4,4,92,4,1,4,4
4,5,5,75,2,4,1,1
5,5,5,97,4,1,4,4
4,5,5,99,4,1,4,4
3,4,3,90,4,1,4,4
3,4,5,90,4,1,4,4
3,3,3,65,2,4,1,1
3,3,1,56,3,3,2,3
2,5,3,63,2,3,1,3
2,5,3,55,3,3,2,3
1,4,4,51,3,3,2,3
3,5,5,56,3,3,2,3
2,5,3,41,3,3,2,3
