compliance,acceleration,deceleration,result,cluster3,cluster_cd,cluster_ca,cluster_ad
1,5,1,19,4,5,1,5
2,4,1,20,2,5,3,5
3,1,1,21,2,5,3,5
2,1,1,21,2,5,3,5
2,4,1,21,2,5,3,5
4,1,1,23,2,5,3,5
2,1,1,23,2,5,3,5
2,5,1,23,2,5,3,5
3,1,1,24,2,5,3,5
2,2,1,25,2,5,3,5
1,3,2,26,2,5,3,5
4,5,1,26,5,1,2,2
1,2,3,27,2,5,3,5
3,4,1,27,2,5,3,5
1,2,1,27,2,5,3,5
1,4,1,28,2,5,3,5
1,4,2,29,2,5,1,5
1,1,4,30,2,5,3,5
1,3,3,30,4,3,1,3
1,4,2,30,2,5,3,5
4,1,1,30,2,5,3,5
2,3,1,30,2,5,3,5
5,5,1,31,3,2,5,4
1,2,5,32,4,3,1,3
1,2,5,33,4,3,1,3
1,4,4,33,4,3,1,3
2,1,2,33,2,5,3,5
1,2,5,34,4,3,1,3
2,2,3,34,2,5,3,5
1,3,2,34,2,5,3,5
5,2,1,34,5,2,2,4
1,2,5,35,4,3,1,3
1,5,4,36,4,3,1,3
1,5,3,36,4,3,1,3
2,2,3,38,2,5,3,5
2,3,2,39,2,5,3,5
1,3,5,40,4,3,1,3
1,4,4,40,4,3,1,3
1,5,5,41,4,2,1,3
1,5,4,41,4,3,1,3
2,2,3,41,2,5,3,5
2,4,3,41,4,3,1,3
4,2,1,41,2,5,3,5
2,5,4,42,4,3,1,3
2,3,4,43,4,3,1,3
2,5,2,43,4,3,1,3
5,4,1,43,5,4,2,1
1,3,5,44,4,3,1,3
2,1,3,44,2,5,3,5
4,2,1,44,2,5,3,5
5,4,2,46,5,2,5,4
2,5,4,47,4,3,1,3
3,3,1,47,2,5,3,5
2,3,5,48,4,3,1,3
1,4,5,48,4,3,1,3
1,1,5,49,4,3,1,5
5,1,3,49,5,2,2,4
2,3,5,50,4,3,1,3
4,1,3,50,5,2,2,4
5,4,2,50,5,2,5,4
2,2,5,51,4,3,1,3
2,3,5,51,4,3,1,3
1,4,5,51,4,3,1,3
3,3,5,52,1,2,5,4
1,1,5,52,4,5,1,5
3,2,2,52,2,5,3,5
2,3,5,53,4,3,1,3
2,4,5,53,4,2,1,4
1,1,5,53,4,3,1,5
3,2,1,53,2,5,3,5
2,1,4,54,2,5,3,5
5,1,3,54,5,2,2,4
5,1,3,56,5,2,2,4
3,2,3,57,5,2,2,2
4,2,2,58,5,2,2,4
3,2,2,58,2,5,3,5
3,5,2,60,5,4,5,1
5,5,2,61,3,2,5,4
5,4,3,62,1,2,5,4
5,5,2,62,3,2,5,4
3,4,5,63,1,2,4,4
5,2,3,63,5,2,2,4
5,3,2,63,5,2,5,4
4,4,2,63,5,2,2,4
3,5,2,63,3,4,5,1
3,4,3,65,5,4,2,1
4,4,2,65,5,2,2,4
3,5,2,65,3,4,5,1
5,2,3,66,5,2,2,4
3,3,3,67,5,1,2,2
3,4,5,68,1,2,4,4
3,3,3,68,5,1,2,2
3,4,3,68,5,4,2,1
4,4,2,69,5,2,2,4
4,5,2,69,3,4,5,4
3,4,4,71,3,2,5,4
4,4,5,72,1,2,4,4
3,5,4,72,3,2,5,4
4,2,3,72,5,2,2,4
4,4,3,72,3,2,5,4
4,5,2,72,5,4,5,1
2,1,5,74,4,3,1,3
3,5,4,74,3,2,5,4
5,1,4,75,5,2,2,4
3,1,4,75,5,2,2,4
4,4,5,76,1,2,4,4
4,3,4,77,3,2,5,4
4,5,4,77,1,2,4,4
4,4,5,78,1,2,4,4
4,2,4,78,5,2,5,4
4,5,2,78,3,2,5,1
4,4,4,79,3,2,5,4
3,1,5,80,5,2,2,4
4,5,5,81,1,2,4,4
4,4,3,81,3,2,5,4
5,5,5,82,1,2,4,4
5,3,4,82,1,2,4,4
3,1,5,83,5,2,2,4
5,1,5,84,1,2,4,4
4,2,5,87,5,2,2,4
5,4,5,88,1,2,4,4
4,1,5,89,5,2,2,4
4,2,5,89,1,2,2,4
5,2,5,94,1,2,4,4
5,2,5,96,1,2,4,4
1,5,1,18,2,5,3,5
1,1,2,20,2,5,3,5
1,1,2,21,2,5,3,5
1,2,3,22,2,5,3,5
1,1,2,22,2,5,3,5
4,4,1,22,5,4,2,1
2,2,1,23,2,5,3,5
1,2,2,24,2,5,3,5
4,1,1,24,2,5,3,5
3,4,1,25,2,5,2,5
5,5,1,26,3,2,5,4
1,4,2,27,2,5,1,5
2,3,1,27,2,5,3,5
2,5,1,27,2,5,3,5
2,5,1,28,2,5,3,5
1,3,3,29,4,3,1,3
2,1,2,29,2,5,3,5
5,1,1,29,2,5,3,5
3,4,1,29,2,5,2,5
1,4,3,30,4,3,1,3
1,3,2,30,2,5,3,5
5,5,1,30,3,2,5,4
1,5,2,31,4,3,1,3
1,1,4,32,2,5,3,5
1,3,3,32,4,3,1,3
4,1,2,32,2,5,3,5
1,5,4,33,4,3,1,3
3,1,2,33,2,5,3,5
1,3,3,34,4,3,1,3
3,1,2,34,2,5,3,5
1,4,2,34,2,5,3,5
1,3,1,34,2,5,3,5
4,1,2,35,2,5,3,5
3,1,2,36,2,5,3,5
2,3,2,36,2,5,3,5
1,5,3,37,4,3,1,3
5,2,1,37,5,2,2,4
2,2,2,38,2,5,3,5
5,4,1,38,5,4,2,1
2,2,4,39,4,3,1,3
1,3,4,39,4,3,1,3
4,1,2,39,2,5,3,5
2,2,2,39,2,5,3,5
2,4,2,39,4,5,1,5
4,2,1,39,2,5,3,5
1,5,4,40,4,3,1,3
5,2,2,41,5,2,2,4
4,1,2,41,2,5,3,5
2,4,2,41,4,5,1,5
1,3,5,42,4,3,1,3
3,3,1,42,2,5,3,5
2,2,4,43,4,3,1,3
2,5,4,43,4,3,1,3
2,4,2,43,4,5,1,5
1,4,5,44,4,3,1,3
1,5,5,44,4,3,1,3
2,2,4,45,4,3,1,3
3,3,1,46,2,5,3,5
1,3,4,47,4,3,1,3
2,5,2,47,4,3,1,3
2,5,3,48,4,3,1,3
3,3,1,48,2,5,3,5
2,3,5,49,4,3,1,3
3,2,2,54,2,5,3,5
