compliance,acceleration,deceleration,result,cluster3,cluster_cd,cluster_ca,cluster_ad
1,1,1,23,2,3,5,5
1,1,1,24,2,3,5,5
1,1,2,19,2,3,5,5
1,1,2,20,2,3,5,5
1,1,3,23,2,3,5,5
1,1,3,24,2,3,5,5
1,1,4,34,2,3,5,5
1,1,4,35,2,3,5,5
1,1,5,48,3,5,1,1
1,1,5,49,3,5,1,1
1,2,1,22,2,3,5,5
1,2,1,23,2,3,5,5
1,2,2,24,2,3,5,5
1,2,2,25,2,3,5,5
1,2,3,24,2,3,5,5
1,2,3,25,2,3,5,5
1,2,4,28,3,5,1,1
1,2,4,29,3,5,1,1
1,2,5,36,3,5,1,1
1,2,5,37,3,5,1,1
1,3,1,29,2,3,5,5
1,3,1,30,2,3,5,5
1,3,2,30,2,3,5,5
1,3,2,31,2,3,5,5
1,3,3,33,3,5,1,1
1,3,3,34,3,5,1,1
1,3,4,42,3,5,1,1
1,3,4,43,3,5,1,1
1,3,5,44,3,5,1,1
1,3,5,45,3,5,1,1
1,4,1,23,2,3,5,5
1,4,1,24,2,3,5,5
1,4,2,30,2,3,5,5
1,4,2,31,2,3,5,5
1,4,3,33,3,5,1,1
1,4,3,34,3,5,1,1
1,4,4,36,3,5,1,1
1,4,4,37,3,5,1,1
1,4,5,46,3,5,1,1
1,4,5,47,3,5,1,1
1,5,1,22,2,3,5,5
1,5,1,23,2,3,5,5
1,5,2,32,3,5,1,1
1,5,2,33,3,5,1,1
1,5,3,33,3,5,1,1
1,5,3,34,3,5,1,1
1,5,4,36,3,5,1,1
1,5,4,37,3,5,1,1
1,5,5,40,3,5,1,1
1,5,5,41,3,5,1,1
2,1,1,22,2,3,5,5
2,1,1,23,2,3,5,5
2,1,2,32,2,3,5,5
2,1,2,33,2,3,5,5
2,1,3,46,2,3,5,5
2,1,3,47,2,3,5,5
2,1,4,57,5,5,3,1
2,1,4,58,3,5,3,1
2,1,5,69,3,5,1,1
2,1,5,70,5,5,1,1
2,2,1,23,2,3,5,5
2,2,1,24,2,3,5,5
2,2,2,35,2,3,5,5
2,2,2,36,2,3,5,5
2,2,3,38,3,3,5,5
2,2,3,39,3,5,1,5
2,2,4,42,5,5,3,1
2,2,4,43,5,5,3,1
2,2,5,52,3,5,1,1
2,2,5,53,3,5,1,1
2,3,1,26,2,3,5,5
2,3,1,27,2,3,5,5
2,3,2,35,2,3,5,5
2,3,2,36,2,3,5,5
2,3,3,40,3,5,1,1
2,3,3,41,3,5,1,1
2,3,4,47,3,5,1,1
2,3,4,48,3,5,1,1
2,3,5,48,3,5,1,1
2,3,5,49,3,5,1,1
2,4,1,24,2,3,5,5
