compliance,acceleration,deceleration,result,cluster3,cluster_cd,cluster_ca,cluster_ad
3,5,4,94,2,3,5,4
1,5,1,27,4,5,5,1
1,4,3,42,4,2,5,1
1,5,1,24,4,5,5,1
4,5,5,75,1,4,3,4
1,1,3,25,5,2,2,3
3,4,5,45,2,3,5,5
5,5,5,91,1,4,4,4
3,5,4,83,2,3,5,4
1,5,3,46,4,2,5,1
2,3,2,30,3,5,2,2
3,5,5,95,2,3,5,4
5,5,5,100,1,4,4,4
3,5,5,79,2,3,5,4
4,4,3,91,4,1,3,1
4,5,4,89,1,4,3,4
3,5,4,59,2,3,5,4
4,5,4,85,1,4,3,4
5,5,5,90,1,4,4,4
3,5,3,92,4,1,5,1
5,5,5,99,1,4,4,4
3,3,1,35,3,5,2,2
5,1,1,32,3,1,1,2
1,3,1,38,3,5,2,2
1,1,1,23,3,5,2,2
2,5,5,45,2,3,5,4
4,5,5,70,1,4,3,4
5,4,4,90,1,4,4,5
5,3,1,94,4,1,1,2
5,5,1,31,4,1,4,1
3,5,5,91,2,3,5,4
3,3,1,56,3,5,2,2
1,2,1,24,3,5,2,2
3,5,5,87,2,3,5,4
3,4,3,68,4,1,5,1
1,1,5,53,5,3,2,3
1,3,4,50,5,2,2,5
5,4,3,62,1,1,4,1
5,3,4,89,1,4,1,5
2,5,5,60,2,3,5,4
5,5,1,31,4,1,4,1
1,1,1,24,3,5,2,2
1,5,4,43,2,2,5,4
5,5,5,98,1,4,4,4
4,5,4,88,1,4,3,4
1,2,1,24,3,5,2,2
3,5,4,74,2,3,5,4
3,5,3,62,4,1,5,1
5,4,5,99,1,4,4,5
2,5,5,68,2,3,5,4
5,5,4,91,1,4,4,4
5,5,5,98,1,4,4,4
1,2,3,25,5,2,2,3
3,5,5,76,2,3,5,4
1,1,1,25,3,5,2,2
1,5,3,31,4,2,5,1
4,5,5,96,1,4,3,4
1,1,1,28,3,5,2,2
2,5,5,68,2,3,5,4
5,3,2,67,4,1,1,2
4,5,2,89,4,1,3,1
1,3,3,40,5,2,2,1
1,3,4,50,5,2,2,5
5,5,3,82,1,1,4,1
1,4,1,27,3,5,5,2
3,5,4,81,2,3,5,4
2,5,3,43,4,2,5,1
1,3,5,49,5,3,2,5
5,5,5,90,1,4,4,4
1,5,3,32,4,2,5,1
5,5,5,92,1,4,4,4
4,5,5,89,1,4,3,4
2,5,4,48,2,3,5,4
1,5,4,39,2,2,5,4
4,5,5,99,1,4,3,4
3,5,5,93,2,3,5,4
1,5,5,58,2,3,5,4
1,5,3,46,4,2,5,1
3,3,3,75,4,1,2,1
1,3,1,31,3,5,2,2
1,1,1,24,3,5,2,2
4,5,5,94,1,4,3,4
4,5,4,89,1,4,3,4
3,5,3,82,4,1,5,1
4,5,4,81,1,4,3,4
1,3,1,31,3,5,2,2
5,4,3,62,1,1,4,1
3,2,4,68,5,3,2,3
3,3,3,74,4,1,2,1
5,5,5,98,1,4,4,4
1,4,3,30,4,2,5,1
5,5,5,87,1,4,4,4
3,4,3,73,4,1,5,1
2,3,4,53,5,3,2,5
4,5,4,89,1,4,3,4
3,5,5,82,2,3,5,4
4,5,5,77,1,4,3,4
4,4,4,97,1,4,3,5
3,4,5,90,2,3,5,5
5,5,5,95,1,4,4,4
5,5,5,94,1,4,4,4
3,5,5,87,2,3,5,4
1,5,5,28,2,3,5,4
2,1,1,24,3,5,2,2
4,5,4,89,1,4,3,4
3,3,5,66,5,3,2,5
1,5,1,24,4,5,5,1
5,5,4,76,1,4,4,4
4,4,3,91,4,1,3,1
1,4,3,42,4,2,5,1
3,5,4,74,2,3,5,4
2,5,4,46,2,3,5,4
4,5,5,98,1,4,3,4
1,5,5,63,2,3,5,4
3,5,3,92,4,1,5,1
3,4,5,78,2,3,5,5
1,5,3,38,4,2,5,1
3,2,5,76,5,3,2,3
2,5,5,82,2,3,5,4
3,5,3,63,4,1,5,1
1,2,1,23,3,5,2,2
3,5,5,98,2,3,5,4
4,5,2,77,4,1,3,1
4,4,4,92,1,4,3,5
4,5,5,75,1,4,3,4
5,5,5,97,1,4,4,4
4,5,5,99,1,4,3,4
3,4,3,90,4,1,5,1
3,4,5,90,2,3,5,5
3,3,3,65,4,1,2,1
3,3,1,56,3,5,2,2
2,5,3,63,4,2,5,1
2,5,3,55,4,2,5,1
1,4,4,51,5,2,5,5
3,5,5,56,2,3,5,4
2,5,3,41,4,2,5,1
2,4,3,41,4,2,5,1
3,4,3,49,4,1,5,1
3,5,5,82,2,3,5,4
5,5,5,95,1,4,4,4
5,3,4,92,1,4,1,5
5,1,5,94,5,4,1,3
4,5,5,97,1,4,3,4
1,3,2,33,3,5,2,2
4,5,5,95,1,4,3,4
1,1,1,23,3,5,2,2
3,5,5,93,2,3,5,4
3,5,3,73,4,1,5,1
2,5,5,48,2,3,5,4
5,5,5,94,1,4,4,4
3,5,4,81,2,3,5,4
5,5,5,99,1,4,4,4
3,5,5,97,2,3,5,4
2,4,3,63,4,2,5,1
3,4,3,73,4,1,5,1
5,3,3,95,1,1,1,1
3,5,5,94,2,3,5,4
3,5,5,92,2,3,5,4
2,4,3,53,4,2,5,1
5,5,5,94,1,4,4,4
1,3,1,31,3,5,2,2
1,3,3,25,5,2,2,1
1,5,3,31,4,2,5,1
3,5,3,76,4,1,5,1
4,4,4,91,1,4,3,5
2,3,1,29,3,5,2,2
3,5,5,93,2,3,5,4
1,5,5,28,2,3,5,4
3,5,5,77,2,3,5,4
5,5,3,95,1,1,4,1
1,2,3,25,5,2,2,3
5,5,5,88,1,4,4,4
3,3,5,43,5,3,2,5
5,5,3,85,1,1,4,1
2,5,3,43,4,2,5,1
3,4,3,80,4,1,5,1
3,5,5,89,2,3,5,4
3,3,5,66,5,3,2,5
1,4,3,38,4,2,5,1
1,5,5,45,2,3,5,4
4,5,5,88,1,4,3,4
5,5,5,92,1,4,4,4
