compliance,acceleration,deceleration,result,cluster3,cluster_cd,cluster_ca,cluster_ad
1,1,1,23,3,5,2,2
1,1,1,24,3,5,2,2
1,1,2,19,3,5,2,2
1,1,2,20,3,5,2,2
1,1,3,23,3,5,2,2
1,1,3,24,3,5,2,2
1,1,4,34,5,5,2,2
1,1,4,35,5,5,2,5
1,1,5,48,5,3,2,5
1,1,5,49,5,3,2,5
1,2,1,22,3,5,2,2
1,2,1,23,3,5,2,2
1,2,2,24,3,5,2,2
1,2,2,25,3,5,2,2
1,2,3,24,5,2,2,1
1,2,3,25,5,2,2,1
1,2,4,28,5,2,2,1
1,2,4,29,5,2,2,1
1,2,5,36,5,3,2,5
1,2,5,37,5,2,2,5
1,3,1,29,3,5,2,2
1,3,1,30,3,5,2,2
1,3,2,30,3,5,2,2
1,3,2,31,3,5,2,2
1,3,3,33,5,2,2,1
1,3,3,34,5,2,2,1
1,3,4,42,5,2,2,1
1,3,4,43,5,2,5,1
1,3,5,44,5,3,2,5
1,3,5,45,5,3,2,5
1,4,1,23,3,5,2,2
1,4,1,24,3,5,2,2
1,4,2,30,4,2,5,1
1,4,2,31,4,2,5,1
1,4,3,33,4,2,5,1
1,4,3,34,4,2,5,1
1,4,4,36,4,2,5,1
1,4,4,37,4,2,5,1
1,4,5,46,2,3,5,4
1,4,5,47,2,3,5,4
1,5,1,22,4,2,5,1
1,5,1,23,4,2,5,1
1,5,2,32,4,2,5,1
1,5,2,33,4,2,5,1
1,5,3,33,4,2,5,1
1,5,3,34,4,2,5,1
1,5,4,36,2,2,5,4
1,5,4,37,2,2,5,4
1,5,5,40,2,3,5,4
1,5,5,41,2,3,5,4
2,1,1,22,3,5,2,2
2,1,1,23,3,5,2,2
2,1,2,32,3,5,2,2
2,1,2,33,3,5,2,2
2,1,3,46,3,5,2,2
2,1,3,47,5,5,2,2
2,1,4,57,5,3,2,5
2,1,4,58,5,3,2,5
2,1,5,69,5,3,2,5
2,1,5,70,5,3,2,3
2,2,1,23,3,5,2,2
2,2,1,24,3,5,2,2
2,2,2,35,3,5,2,2
2,2,2,36,3,5,2,2
2,2,3,38,5,2,2,1
2,2,3,39,5,2,2,1
2,2,4,42,5,3,2,5
2,2,4,43,5,3,2,5
2,2,5,52,5,3,2,5
2,2,5,53,5,3,2,5
2,3,1,26,3,5,2,2
2,3,1,27,3,5,2,2
2,3,2,35,3,5,2,2
2,3,2,36,3,5,2,2
2,3,3,40,4,2,5,1
2,3,3,41,4,2,5,1
2,3,4,47,5,2,2,1
2,3,4,48,5,2,2,1
2,3,5,48,5,3,5,5
2,3,5,49,5,3,5,5
2,4,1,24,3,5,2,2
2,4,1,25,3,5,2,2
2,4,2,40,4,2,5,1
2,4,2,41,4,2,5,1
2,4,3,43,4,2,5,1
2,4,3,44,4,2,5,1
2,4,4,48,2,3,5,1
2,4,4,49,2,3,5,1
2,4,5,55,2,3,5,4
2,4,5,56,2,3,5,4
2,5,1,24,4,2,5,1
2,5,1,25,4,2,5,1
2,5,2,43,4,2,5,1
2,5,2,44,4,2,5,1
2,5,3,43,4,2,5,1
2,5,3,44,4,2,5,1
2,5,4,45,2,3,5,4
2,5,4,46,2,3,5,4
2,5,5,54,2,3,5,4
2,5,5,55,2,3,5,4
3,1,1,23,3,5,2,2
3,1,1,24,3,5,2,2
3,1,2,37,3,5,2,2
3,1,2,38,3,5,2,2
3,1,3,53,5,5,2,2
3,1,3,54,5,5,2,2
3,1,4,70,5,3,2,5
3,1,4,71,5,3,2,5
3,1,5,84,5,3,2,5
3,1,5,85,5,3,2,5
3,2,1,55,3,5,2,2
3,2,1,56,3,5,2,2
3,2,2,56,4,5,2,2
3,2,2,57,3,5,2,2
3,2,3,60,4,1,2,1
3,2,3,61,4,1,2,1
3,2,4,60,5,3,2,5
3,2,4,61,5,3,2,5
3,2,5,68,5,3,2,5
3,2,5,69,5,3,2,5
3,3,1,43,3,5,2,2
3,3,1,44,3,5,2,2
3,3,2,66,4,1,5,1
3,3,2,67,4,1,5,1
3,3,3,65,4,1,5,1
3,3,3,66,4,1,5,1
3,3,4,60,4,3,5,5
3,3,4,61,4,3,5,5
3,3,5,55,2,3,5,4
3,3,5,56,2,3,5,4
3,4,1,26,4,1,5,1
3,4,1,27,4,1,5,1
3,4,2,66,4,1,5,1
3,4,2,67,4,1,5,1
3,4,3,66,4,1,5,1
3,4,3,67,4,1,5,1
3,4,4,68,2,3,5,4
3,4,4,69,2,3,5,4
3,4,5,67,2,3,5,4
3,4,5,68,2,3,5,4
3,5,1,27,4,1,5,1
3,5,1,28,4,1,5,1
3,5,2,60,4,1,5,1
3,5,2,61,4,1,5,1
3,5,3,67,4,1,5,1
3,5,3,68,4,1,5,1
3,5,4,70,2,3,5,4
3,5,4,71,2,3,5,4
3,5,5,76,2,3,5,4
3,5,5,77,2,3,5,4
4,1,1,26,3,5,2,2
4,1,1,27,3,5,2,2
4,1,2,36,3,1,2,2
4,1,2,37,3,1,2,2
4,1,3,53,5,1,2,2
4,1,3,54,5,1,2,2
4,1,4,70,5,4,2,5
4,1,4,71,5,3,2,5
4,1,5,85,5,3,2,5
4,1,5,86,5,3,2,5
4,2,1,41,4,1,2,2
4,2,1,42,4,1,2,2
4,2,2,60,4,1,2,1
4,2,2,61,4,1,2,1
4,2,3,73,4,1,5,1
4,2,3,74,4,1,5,1
4,2,4,75,5,4,2,5
4,2,4,76,1,4,2,5
4,2,5,85,5,3,2,5
4,2,5,86,5,3,2,5
4,3,1,65,4,1,2,1
4,3,1,66,4,1,2,1
4,3,2,52,4,1,2,1
4,3,2,53,4,1,5,1
4,3,3,69,4,1,5,1
4,3,3,70,4,1,5,1
4,3,4,76,1,1,2,5
4,3,4,77,1,1,2,5
4,3,5,74,1,3,2,5
4,3,5,75,1,3,2,5
4,4,1,26,4,1,5,1
4,4,1,27,4,1,5,1
4,4,2,65,4,1,5,1
4,4,2,66,4,1,5,1
4,4,3,76,4,1,3,1
4,4,3,77,4,1,3,1
4,4,4,78,1,4,3,4
